"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","year","month","day","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","dayIdentified","class","individualCount","relatedCatalogItem","sex"
"1","2016-09-28 15:35:00-03","NY","NYBG","158126","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Agrianthus","corymbosus","Agrianthus corymbosus","isotype","J. S. Blanchet","2535","South America","Brazil","Bahia","Serra de Jacobina","sheet","The 1839 on the lower left corner of the label is not the Collection Date; the species name was published in 1838. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=164236' target='other'> <mi>dwc_moreinfo</mi></a>","NY00158126","NY00158126_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","158127","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Agrianthus","corymbosus","Agrianthus corymbosus","isotype","J. S. Blanchet","2535","South America","Brazil","Bahia","Serra de Jacobina","sheet","The 1839 on the lower left corner of the label is not the Collection Date; the species name was published in 1838. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=164237' target='other'> <mi>dwc_moreinfo</mi></a>","NY00158127","NY00158127_01","DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:36:59-03","EAO","IAN","18586","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Agrianthus","corymbosus","Agrianthus corymbosus",NA,"Blanchet, JS","s.n.","Southern America","Brasil",NA,NA,NA,NA,"IAN018586",NA,"DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:11:22-03","UFBA","ALCB","97251","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stylotrichium","corymbosum","Stylotrichium corymbosum",NA,"Hurbath, F; Aguiar, LGPA","48","Southern America","Brasil","Bahia","Chapada Diamantina, Rio Piaba. Próximo ao Projeto Sempre Viva. Início da trilhas para a Cachoeira do Tiburtino",NA,"Ca. de 1 m. de alt. Eixo floral verde - amarelado.",NA,NA,"(DC.) Mattf.","Roque, N","2010","10","2010","10","08","Mucugê","-41","-13","-41","-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:11:22-03","UFBA","ALCB","030731","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stylotrichium","corymbosum","Stylotrichium corymbosum",NA,"Guedes, ML","5093","Southern America","Brasil","Bahia","Piemonte da Diamantina, Serra da Jacobina",NA,"Ca. 60 cm. Folhas discolores, face abaxial tomentosa. Inflorescência com botões verdes.",NA,NA,"(DC.) Mattf.","Bautista, HP; Hind, DJN","2000","09","1997","07","12","Jacobina","-40.483333","-11.3","-40.483333","-11.3","1010","1010",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:11:22-03","UFBA","ALCB","04399","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stylotrichium","corymbosum","Stylotrichium corymbosum",NA,"Costa, AL","s/n","Southern America","Brasil","Bahia","Piemonte da Diamantina, Encosta da Serrra atraz da cidade",NA,NA,NA,NA,"(DC.) Mattf.","Ferreira, SC","2010","05","1960","09","10","Jacobina","-40.489444","-11.306111","-40.489444","-11.306111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:11:22-03","UFBA","ALCB","04399","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stylotrichium","corymbosum","Stylotrichium corymbosum",NA,"Costa, AL","s/n","Southern America","Brasil","Bahia","Piemonte da Diamantina, encosta da Serra, atrás da cidade",NA,NA,NA,NA,"(DC.) Mattf.","Hind, DJN","1991","12","1960","09","10","Jacobina","-40.483333","-11.3","-40.483333","-11.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:11:22-03","UFBA","ALCB","04400","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stylotrichium","corymbosum","Stylotrichium corymbosum",NA,"s.col.","s/n","Southern America","Brasil","Bahia","Piemonte da Diamantina",NA,NA,NA,NA,"(DC.) Mattf.","Hind, DJN","1991","12","1960","09","10","Jacobina","-40.489444","-11.306111","-40.489444","-11.306111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:11:22-03","UFBA","ALCB","102677","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stylotrichium","corymbosum","Stylotrichium corymbosum",NA,"Moura, L; Vieira, TL; Stadnik, A","104","Southern America","Brasil","Bahia","Piemonte da Diamantina, Trilha dos Bandeirantes",NA,"ca. 1.5m, folhas discolores, brácteas involucrais verdes, corola alva, estiletes alvos.",NA,NA,"(DC.) Mattf.","Moura, L","2012","01","2011","09","24","Jacobina","-40.495278","-11.152778","-40.495278","-11.152778","647","647",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:11:22-03","UFBA","ALCB","134799","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stylotrichium","corymbosum","Stylotrichium corymbosum",NA,"Amorim, VO","497","Southern America","Brasil","Bahia","Serra do Brito.",NA,"Alt.: 1,0. Folhas coriáceas, discolores. Inflorescência em capítulos, brácteas involucrais verdes, flores e ramos do estilete alvos. DNA: S. População: G.; Solo pedregoso.","ALCB060634","ALCB060634","(DC.) Mattf.","Amorim, VO","2016","09","2016","09","13","Jacobina","-40.495556","-11.163056","-40.495556","-11.163056","717","717",NA,NA,NA,NA,NA,NA,NA,NA
