"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","yearIdentified","monthIdentified","recordNumber","locality","occurrenceRemarks","order","continentOcean","typeStatus","preparationType","individualCount","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","previousCatalogNumber","fieldNumber","sex"
"1","2020-11-04 12:17:29-03","ESALQ","ESA","87697","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Cyrtopodium","latifolium","Cyrtopodium latifolium","Bianchetti & J.A.N.Bat.","Batista, J.A.N.","Batista, J.A.N.","2003","10","01","Brasil","Distrito Federal","Brasília","-47.9296989440918","-15.7797002792358","70570","ESA087697","ESA087697","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:40:49-03","MN","R","3000","PreservedSpecimen","Plantae",NA,"Orchidaceae","Cyrtopodium","latifolium","Cyrtopodium latifolium","Bianch. & J.A.N. Bat.","Biachetti, L.B. & Batista, J.A.N.","Hoehne, F.C.","1908","10",NA,"Brasil","Mato Grosso","Cáceres","-57.6789016723633","-16.0706005096436","172193",NA,NA,"auto","2000","09","668","Água Limpa","Commissão Rondon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:20:10-03","UNICAMP","UEC","127173","S","Plantae","Liliopsida","Orchidaceae","Cyrtopodium","latifolium","Cyrtopodium latifolium","Bianchetti & J.A.N.Batista","Bianchetti, LB; Batista, JAN","Batista, JAN; Bianchetti, LB","1998","10","28","Brazil","Distrito Federal","Brasília","-47.9296989440918","-15.7797002792358","70570","UEC064359","UEC064359","auto","2000","12","795","Campo as margens do Córrego do Gama, Atrás do aeroporto, do outro lado do córrego a nordeste e um pouco após a quadra 25 do SMPW em direção a QI 17 do Lago Sul. Erva terrestre em bolsão de campo sujo entre mata ciliar e campo limpo úmido. Solo acinze","Erva terrestre. Abundante no local, observadas mais de 150 plantas em floração. Pseudobulbos completamente enterrados. Em plena floração. Sépalos e pétalos uniformemente marron-esverdeados ou com pintas mais escuras próximas a base. Lo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-10-01 14:25:53-03","JBB","HEPH","18321","S","Plantae","Monocotyledon","Orchidaceae","Cyrtopodium","latifolium","Cyrtopodium latifolium","Bianch. & J.A.N.Bat.","Batista, JAN","Rodrigues Silva, R; Jesus, FPR de; Wantuil","2002","10","01","Brasil","Distrito Federal","Riacho Fundo",NA,NA,NA,NA,NA,NA,"2003","02","609","Santuário de Vida Silvestre",NA,"Asparagales","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-10-01 14:25:53-03","JBB","HEPH","6885","S","Plantae","Monocotyledon","Orchidaceae","Cyrtopodium","latifolium","Cyrtopodium latifolium","Bianch. & J.A.N.Bat.","Batista, JAN","Salles, AEH","1989","10","16","Brasil","Distrito Federal","Brasília","-47.9296989440918","-15.7797002792358","70570",NA,NA,"auto","2003","02","1514","Margem da estrada que liga ao Jardim Zoológico",NA,"Asparagales","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-10-01 14:25:53-03","JBB","HEPH","22107","S","Plantae","Monocotyledon","Orchidaceae","Cyrtopodium","latifolium","Cyrtopodium latifolium","Bianch. & J.A.N.Bat.","Bianchetti, LB","Jesus, FPR de","2005","10","14","Brasil","Tocantins","Paranã","-47.8830986022949","-12.6153001785278","96675",NA,NA,"auto","2006","10","289",NA,NA,"Asparagales","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-19 17:59:23-03","UFMG","BHCB","70017","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Cyrtopodium","latifolium","Cyrtopodium latifolium","Bianch. & J.A.N.Bat.",NA,"Batista, JAN; Bianchetti, LB","1998","10","28","Brasil","Distrito Federal","Brasília","-47.9296989440918","-15.7797002792358","70570","BHCB5409",NA,"auto","2010","05","795","Campo às margens do Córrego do Gama, atrás do aero, Campo às margens do Córrego do Gama, atrás do aeroporto, do outro lado do córrego a nordeste e um pouco após a quadra 25 do SMPW em direção a QI 17 do Lago Sul.","Erva terrestre em bolsão de campo sujo. Solo acinzentado, argilo-arenoso, seco. Área anteriormente queimada. Abundante no local, observadas mais de 150 plantas em floração. Pseudobulbos completamente enterrados. Em plena floração. Sépal",NA,"Southern America","Paratypus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-11 11:44:26-03","UFMG","BHCB","170434","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Cyrtopodium","latifolium","Cyrtopodium latifolium","Bianch. & J.A.N.Bat.",NA,"Batista, JAN; Bianchetti, LB","2004","10","16","Brasil","Distrito Federal","Brasília","-47.9296989440918","-15.7797002792358","70570","BHCB015002",NA,"auto","2004","10","795B","Córrego do Gama, Campo as margens do Córrego do Gama, atrás do aeroporto, do lado do córrego oposto ao aeroporto, a nordeste e um pouco após a quadra 25 do SMPW em direção a QI 17 do Lago Sul.","Erva terrestre. Comum no local. Pseudobulbos completamente enterrados, externamente vinosos. Ovário e pedicelo amarronzado. Sépalas com a base esverdeada, do meio para o ápice mesclado de marrom; face externa amarronzada. Pétalas verd",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-11 11:44:26-03","UFMG","BHCB","89457","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Cyrtopodium","latifolium","Cyrtopodium latifolium","Bianch. & J.A.N.Bat.",NA,"Batista, JAN; Bianchetti, LB","2003","10",NA,"Brasil","Distrito Federal","Brasília","-47.9296989440918","-15.7797002792358","70570","BHCB001170","BHCB001170","auto","2003","10","795a","RA-I, campo às margens do Córrego do Gama, atrás d","Erva terrestre. Comum no local. Pseudobulbos completamente enterrados, externamente vinosos. Ovário e pedicelo marrom escuro. Sépalas com a base clara.; Em bolsão de campo sujo entre mata ciliar e campo limpo úmido. Solo acinzentado,",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-02 16:34:44-03","Cenargen","CEN","21194","PreservedSpecimen","Plantae",NA,"Orchidaceae","Cyrtopodium","latifolium","Cyrtopodium latifolium","Bianch. & J.A.N.Bat.","J. A. N. Batista & L. B. Bianchetti","João Aguiar Nogueira Batista","1995","01","04","Brasil","DF","BRASILIA","-47.9296989440918","-15.7797002792358","70570","CEN00021194","CEN00021194","auto","2000","12","455","Campo às margens do córrego do Gama, atrás do aeroporto, após a QI - 17. Lago Sul.","Observado grande número de plantas com inflorescência, mas sem nenhuma flor, com os frutos em desenvolvimento. Pseudo-bulbos completamente enterrados. Ocorrendo lado a lado com C. brandonianum. Segunda população conhecida desta espécie para o Distrito Federal.",NA,NA,NA,"Exsicatas","1",NA,NA,NA,NA,NA,NA,NA,NA
