"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","class","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00664338","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb.Rodr.","L. R. Noblick","4857","1992","04","03","South America","Brazil","Minas Gerais","Juiz de Fora","Muséu Mariano Procopio located within the city limits.","-43.33","-21.75","650","750","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187463' target='other'> <mi>dwc_moreinfo</mi></a>","NY00664338","NY00664338_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-28 16:03:00-03","NY","NYBG","00568040","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa",NA,"H. Q. B. Fernandes","2886","1989","11","03","South America","Brazil","Espírito Santo","Linhares","Próxima de Rio do Norte, ca., 2 km da divisa municípal. Lado esquesdo da BR 101 indo para o N.","-40.17","-19.55","50","50","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187460' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568040","NY00568040_01 NY00568040_02 NY00568040_03 NY00568040_04 NY00568040_05","A. J. Henderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00664130","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb.Rodr.","L. R. Noblick","4857","1992","04","03","South America","Brazil","Minas Gerais","Juiz de Fora","Muséu Mariano Procopio located within the city limits.","-43.33","-21.75","650","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187461' target='other'> <mi>dwc_moreinfo</mi></a>","NY00664130","NY00664130_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00664237","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb.Rodr.","L. R. Noblick","4841","1992","03","15","South America","Brazil","Minas Gerais","Governador Valadares","Cultivated at the edge of town","-41.93","-18.85","150","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187462' target='other'> <mi>dwc_moreinfo</mi></a>","NY00664237","NY00664237_01 NY00664237_02 NY00664237_03 NY00664237_04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-28 16:03:00-03","NY","NYBG","00568041","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa",NA,"H. Q. B. Fernandes","2885","1989","11","03","South America","Brazil","Espírito Santo","Aracruz","Jucupemba, ca. 2 km da divisa, beira da BR 101, lado esquerdo, indo para o norte.","-40.22","-19.55","50","50","boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187459' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568041","NY00568041_01 NY00568041_02 NY00568041_03 NY00568041_04 NY00568041_05 NY00568041_06 NY00568041_07","A. J. Henderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 17:44:42-03","EAO","IAN","18233","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Arecaceae","Cocos","procopiana","Cocos procopiana","Glaz.","Glaziou, AFM","9015",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN018233","IAN018233_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-07-02 14:42:04-03","JBP","HPL","11868","S","Plantae",NA,NA,"Arecaeae","Syagrus","macrocarpa","Syagrus macrocarpa",NA,"H. Lorenzi & F. C. Campos","6801","2010","01","20",NA,"Brasil","MG","Turmalina","Na estrada de acesso à Rod. BR-367, ca. 4 km desta rodovia, em mata semidecídua para cerradão.","-42.73","-17.2856","670","670",NA,NA,NA,NA,NA,"42o49#?#30,7 W","17o16#?#39 S","36128","auto",NA,NA,NA,NA,NA,NA,NA
"8","2015-07-02 14:42:03-03","JBP","HPL","7272","S","Plantae",NA,NA,"Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa",NA,"H. Lorenzi","4954","2004","10","14",NA,"Brasil","RJ","Rio de Janeiro","Coletado no Sítio Roberto Burle Marx","-43.2075","-22.9028",NA,NA,NA,NA,NA,NA,"H. Lorenzi",NA,NA,"57442","auto","2004","10","14",NA,NA,NA,NA
"9","2016-02-02 14:38:51-02","BGBM","B","B 18 0002623","S","Plantae",NA,NA,"Palmae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb.Rodr.","Burret","16",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"bei Alberto Torres.",NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B180002623 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B180002623",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-02-15 11:33:27-02","IPA","IPA","53320","S","Plantae","Plantae",NA,"Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb. Rodr.","Noblick, L.R.; Duarte, Mª das G; Duarte, Mª das G","4857","1992","04","03","Southern America","Brasil","Minas Gerais","Juiz de Fora","Museu Mariano Procópio, located within the city limits.","-43.333333","-21.75",NA,NA,NA,"Solitary palm with 8m x 10-12cm trunk. 15 Leaves in crown, spirally arranged and spreading. Androgynous inflorescence with 35cm long peduncle and 30cm long rachis. Fruits green in color (even when mature).; No species of this plam, wa","IPA0053320",NA,"Noblick, L.R.","-43.333333","-21.75",NA,NA,"1992",NA,NA,NA,NA,NA,NA
