"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","identifiedBy","fieldNumber","year","locality","preparationType","occurrenceRemarks","imagecode","class","typeStatus","decimalLongitude","decimalLatitude"
"1","2021-03-30 12:44:18-03","EAO","IAN","40138","PreservedSpecimen","Plantae","Dicotiledônea","Melastomataceae","Cambessedesia","striatella","Cambessedesia striatella","Naudin","Saint-Hilaire","s.n.","Southern America","Brasil","IAN040138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-11-07 08:27:40-02","MNHN","RECOLNAT_MNHN_P","P02274276","PreservedSpecimen",NA,NA,"Melastomataceae","Cambessedesia","striatella","Cambessedesia striatella","(Naudin) A.B.Martins","Saint-Hilaire, A. de",NA,NA,"Brésil","P02274276","Bernardo","779","1816","Province de Minas Graes","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02274276' target='other'> <mi>dwc_moreinfo</mi></a>","P02274276_01",NA,NA,NA,NA
"3","2015-11-07 08:27:50-02","MNHN","RECOLNAT_MNHN_P","P02274277","PreservedSpecimen",NA,NA,"Melastomataceae","Cambessedesia","striatella","Cambessedesia striatella","(Naudin) A.B.Martins","Saint-Hilaire, A. de",NA,NA,"Brésil","P02274277","Bernardo","779","1816","Province de Minas Graes","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02274277' target='other'> <mi>dwc_moreinfo</mi></a>","P02274277_01",NA,NA,NA,NA
"4","2015-11-07 08:32:38-02","MNHN","RECOLNAT_MNHN_P","P02274278","PreservedSpecimen",NA,NA,"Melastomataceae","Cambessedesia","striatella","Cambessedesia striatella","(Naudin) A.B.Martins","Saint-Hilaire, A. de",NA,NA,"Brésil","P02274278","Bernardo","779","1816","Province de Minas Graes","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02274278' target='other'> <mi>dwc_moreinfo</mi></a>","P02274278_01",NA,NA,NA,NA
"5","2019-09-04 18:56:21-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Melastomataceae","Pyramia","striatella","Pyramia striatella",NA,"A. Saint-Hilaire",NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Type [status unknown]","-52.8731","-10.8339"
