"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","individualCount","minimumElevationInMeters","maximumElevationInMeters","class","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1239478","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","lanigera","Lychnophora lanigera","Pohl ex Sch.Bip.","isotype","J. E. Pohl","3167 (569 d.)","South America","Brazil","[From prtologue: Inter Viera do Matro et Columbis]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1470550' target='other'> <mi>dwc_moreinfo</mi></a>","NY01239478","NY01239478_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:37:05-03","EAO","IAN","26003","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Lychnophora","lanigera","Lychnophora lanigera","Pohl",NA,"Pohl, RW","3167","Southern America","Brasil",NA,NA,NA,"IAN026003","IAN026003_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:37:05-03","EAO","IAN","26003","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Lychnophora","lanigera","Lychnophora lanigera","Pohl",NA,"Pohl, RW","3167","Southern America","Brasil",NA,NA,NA,"IAN026003","IAN026003_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:01:55-03","ESALQ","ESA","78795","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Lychnophora","martiana","Lychnophora martiana","Gardner",NA,"Lombardi, J.A. et al.","4473.0",NA,"Brasil",NA,NA,NA,"ESA078795","ESA078795","Semir, J.","2001","10","20","Minas Gerais","Itacambira","-43.3088989257812","-17.0646991729736","48089","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:36:08-03","MN","R","15571","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","martiana","Lychnophora martiana","Gardner",NA,"Glaziou, A.F.M.","19496",NA,"Brasil",NA,NA,"Plantas do Brasil Central","R000015571","R000015571_001","Semir, J.","1892","03","26","Minas Gerais",NA,NA,NA,NA,NA,"1992","11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:24:33-03","UNICAMP","UEC","193826","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","martiana","Lychnophora martiana","Gardner",NA,"Cota, MMT","822",NA,"Brazil","Escarpas do rio Jequitinhonha na rodovia olhos d'água - São gonçalo do Rio Preto (Br-451), próximo da divisa com a cidade de Diamantina",NA,"Arbusto de 0,8-5,5m de alt. Flores liláses. Frutos imaturos e maduros; Cerrado de encosta Pedregoso","UEC154941","UEC154941","Loeuille, B","2016","05","02","Minas Gerais","Olhos D Água","-43.523056","-17.546944",NA,NA,"2017","07","-43.523056","-17.546944",NA,NA,NA,NA,NA,NA,NA
"7","2019-08-20 10:05:57-03","UNICAMP","UEC","27980","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","martiana","Lychnophora martiana","Gardner",NA,"Duarte, AP","12821",NA,"Brazil","Estrada e exploração de Diamantinha Jequitinhonha, à 110 km de Diamantina.",NA,NA,"UEC121015","UEC121015","Semir, J","1970","08","26","Minas Gerais","Diamantina","-43.6002998352051","-18.2493991851807","101169","auto","1992","11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-05 16:45:09-03","UFOP","OUPR","8481","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","martiana","Lychnophora martiana","Gardner",NA,"Ferreira, F.A.","s.n.",NA,"Brasil","Estrada na Margem direita, direção à Senador Modestino Gonçalves",NA,"Campo pedregoso. Arbusto. Capítulos de flores lilazes. 2m de altura",NA,NA,"Castro, M.S.","1999","05","17","Minas Gerais",NA,NA,NA,NA,NA,"2015","12",NA,NA,"15",NA,NA,NA,NA,NA,NA
"9","2019-11-05 16:45:09-03","UFOP","OUPR","8482","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","martiana","Lychnophora martiana","Gardner",NA,"Argolo, A.M.","s.n.",NA,"Brasil","Estrada na Margem direita, direção à Senador Modestino Gonçalves",NA,"Campo pedregoso. Arbusto. Capítulos de flores lilazes. 2m de altura",NA,NA,"Castro, M.S.","1999","05","19","Minas Gerais",NA,NA,NA,NA,NA,"2015","12",NA,NA,"15",NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:16:30-03","MBM","MBM","266228","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","martiana","Lychnophora martiana","Gardner",NA,"Lombardi, J.A.; et al.; et al.","4473","Southern America","Brazil","Estrada para Pau d'Óleo",NA,NA,"MBM266228","MBM266228","Semir, J.","2001","10","20","Minas Gerais","Itacambira","-43.3088989257812","-17.0646991729736","48089","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
