"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","order","scientificNameAuthorship","identifiedBy","county","imagecode","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:42:03-03","E","E","226245","PreservedSpecimen","Plantae","Opiliaceae","Agonandra","brasiliensis","Agonandra brasiliensis","Kröll","117","1988","09","30","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:236061","<a href=http://data.rbge.org.uk/herb/E00226245 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00226245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:03-03","E","E","12941","PreservedSpecimen","Plantae","Opiliaceae","Agonandra","brasiliensis","Agonandra brasiliensis","Smith, Herbert Huntington","1950","1905","03","12","W. Tropical South America","CO","herbarium specimen of unspecif","BGBASE:21052","<a href=http://data.rbge.org.uk/herb/E00012941 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00012941","isolectotype","610","610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:03-03","E","E","12942","PreservedSpecimen","Plantae","Opiliaceae","Agonandra","brasiliensis","Agonandra brasiliensis","Smith, Herbert Huntington","1771","1905","03","12","W. Tropical South America","CO","herbarium specimen of unspecif","BGBASE:21051","<a href=http://data.rbge.org.uk/herb/E00012942 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00012942","isosyntype","46","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:42:03-03","E","E","53470","PreservedSpecimen","Plantae","Opiliaceae","Agonandra","brasiliensis","Agonandra brasiliensis","Bridgewater, S.",NA,"1997","08","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:58806","<a href=http://data.rbge.org.uk/herb/E00053470 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00053470",NA,NA,NA,"State of Maranaho","Between Sao Joao dos Patos and Balsas","-44.7","-6.666667","-44.700000","-6.666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00841095","PreservedSpecimen","Plantae","Opiliaceae","Agonandra","brasiliensis","Agonandra brasiliensis","E. P. Heringer","5425","1980","09","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=922876' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841095",NA,NA,NA,"Distrito Federal","Bacia do Rio Sao Bartolomeu.","-47.9294","-15.7797",NA,NA,"Magnoliophyta","Santalales","Miers ex Benth. & Hook.f.","B. A. S. Pereira","Brasília","NY00841095_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00841092","PreservedSpecimen","Plantae","Opiliaceae","Agonandra","brasiliensis","Agonandra brasiliensis","E. P. Heringer","10567","1965","09","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=922750' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841092",NA,NA,NA,"Goiás","Rio Corumbá",NA,NA,NA,NA,"Magnoliophyta","Santalales","Miers ex Benth. & Hook.f.","P. H. Hiepko",NA,"NY00841092_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00841094","PreservedSpecimen","Plantae","Opiliaceae","Agonandra","brasiliensis","Agonandra brasiliensis","J. A. Ratter","R4779","1982","09","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=922753' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841094",NA,NA,NA,"Distrito Federal","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km SSW of Brasília TV tower. Next cabeceira S of the Córrego da Onça.","-47.9294","-15.7797",NA,NA,"Magnoliophyta","Santalales","Miers ex Benth. & Hook.f.",NA,"Brasília","NY00841094_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00841114","PreservedSpecimen","Plantae","Opiliaceae","Agonandra","brasiliensis","Agonandra brasiliensis","L. Riedel","706","1824","10","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=922973' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841114",NA,NA,NA,"Minas Gerais",NA,"-43.8514","-19.7697",NA,NA,"Magnoliophyta","Santalales","Miers ex Benth. & Hook.f.","P. H. Hiepko","Santa Luzia","NY00841114_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00841099","PreservedSpecimen","Plantae","Opiliaceae","Agonandra","brasiliensis","Agonandra brasiliensis","J. M. Pires","4753","1954","07",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=922881' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841099",NA,NA,NA,"Maranhão","Camo de Perizes.","-44.235","-2.9344",NA,NA,"Magnoliophyta","Santalales","Miers ex Benth. & Hook.f.","P. H. Hiepko","Rosário","NY00841099_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","273762","PreservedSpecimen","Plantae","Opiliaceae","Agonandra","brasiliensis","Agonandra brasiliensis","G. Gardner","2506","1841",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=138374' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273762","syntype",NA,NA,"Piauí","Brasilia tropica",NA,NA,NA,NA,"Magnoliophyta","Santalales","Miers ex Benth. & Hook.f.",NA,NA,"NY00273762_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
