"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","scientificNameAuthorship","identifiedBy","locality","imagecode","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","eventTime","fieldNumber","individualCount"
"1","2020-09-23 10:41:46-03","E","E","116438","PreservedSpecimen","Plantae","Myrsinaceae","Cybianthus","detergens","Cybianthus detergens","Glaziou, A.","21694","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:123501","<a href=http://data.rbge.org.uk/herb/E00116438 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00116438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:46-03","E","E","104967","PreservedSpecimen","Plantae","Myrsinaceae","Cybianthus","detergens","Cybianthus detergens","Gottsberger, I.",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:114675","<a href=http://data.rbge.org.uk/herb/E00104967 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104967","1985","10","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:46-03","E","E","116435","PreservedSpecimen","Plantae","Myrsinaceae","Cybianthus","detergens","Cybianthus detergens","Ratter, J., Ribeiro, F., Silva, J.C.S., Cozac, F., Ferreira, M.S.G., Da Silva, J.A. & Da Silva, F.C.",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:123504","<a href=http://data.rbge.org.uk/herb/E00116435 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00116435","1978","11","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:46-03","E","E","116431","PreservedSpecimen","Plantae","Myrsinaceae","Cybianthus","detergens","Cybianthus detergens","Gardner, George","3877","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:123508","<a href=http://data.rbge.org.uk/herb/E00116431 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00116431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:46-03","E","E","116434","PreservedSpecimen","Plantae","Myrsinaceae","Cybianthus","detergens","Cybianthus detergens","Ratter, J.A. & Filho, J. Fonsêca",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:123505","<a href=http://data.rbge.org.uk/herb/E00116434 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00116434","1978","11","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:46-03","E","E","116433","PreservedSpecimen","Plantae","Myrsinaceae","Cybianthus","detergens","Cybianthus detergens","Ratter, J.A.; Da Fonsêca, S.G. & Fonsêca Filho, J.",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:123506","<a href=http://data.rbge.org.uk/herb/E00116433 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00116433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:41:46-03","E","E","116432","PreservedSpecimen","Plantae","Myrsinaceae","Cybianthus","detergens","Cybianthus detergens","Ratter, J.A.; Da Fonsêca, S.G.; Filho, J. Fonsêca; Ribeiro, J.F. & Silva, J.C.S.",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:123507","<a href=http://data.rbge.org.uk/herb/E00116432 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00116432","1976","10","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:41:46-03","E","E","146928","PreservedSpecimen","Plantae","Myrsinaceae","Cybianthus","detergens","Cybianthus detergens","Juracy, A.R.M.;","11","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:171305","<a href=http://data.rbge.org.uk/herb/E00146928 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00146928","1992","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:41:46-03","E","E","116460","PreservedSpecimen","Plantae","Myrsinaceae","Cybianthus","detergens","Cybianthus detergens","Harley, R.","21277","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:123409","<a href=http://data.rbge.org.uk/herb/E00116460 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00116460","1980","04","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:41:46-03","E","E","116430","PreservedSpecimen","Plantae","Myrsinaceae","Cybianthus","detergens","Cybianthus detergens","Philcox, D. & Fereira, A.","4613","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:123509","<a href=http://data.rbge.org.uk/herb/E00116430 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00116430","1968","03","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-23 10:41:46-03","E","E","116427","PreservedSpecimen","Plantae","Myrsinaceae","Cybianthus","detergens","Cybianthus detergens","Philcox, D., Ramos, J. & Sousa, R.","3234","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:123512","<a href=http://data.rbge.org.uk/herb/E00116427 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00116427","1967","11","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-09-23 10:41:46-03","E","E","116429","PreservedSpecimen","Plantae","Myrsinaceae","Cybianthus","detergens","Cybianthus detergens","Ratter, J.A.; Ferreira, A.; de Castro, R.A. & Andrelinho",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:123510","<a href=http://data.rbge.org.uk/herb/E00116429 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00116429","1968","07","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-23 10:41:46-03","E","E","116428","PreservedSpecimen","Plantae","Myrsinaceae","Cybianthus","detergens","Cybianthus detergens","Philcox, D. & Fereira, A.","4172","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:123511","<a href=http://data.rbge.org.uk/herb/E00116428 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00116428","1968","01","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-23 10:41:46-03","E","E","100002","PreservedSpecimen","Plantae","Myrsinaceae","Cybianthus","detergens","Cybianthus detergens","Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109511","<a href=http://data.rbge.org.uk/herb/E00100002 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100002","1999","08","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-09-23 10:41:46-03","E","E","116436","PreservedSpecimen","Plantae","Myrsinaceae","Cybianthus","detergens","Cybianthus detergens","Ratter, J.A.; Da Fonsêca, S.G.; Filho, J. Fonsêca; Ribeiro, J.F. & Silva, J.C.S.",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:123503","<a href=http://data.rbge.org.uk/herb/E00116436 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00116436","1976","09","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-23 10:41:46-03","E","E","116439","PreservedSpecimen","Plantae","Myrsinaceae","Cybianthus","detergens","Cybianthus detergens","Ratter, J.A.",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:123500","<a href=http://data.rbge.org.uk/herb/E00116439 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00116439","1976","08","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-09-23 10:41:46-03","E","E","116437","PreservedSpecimen","Plantae","Myrsinaceae","Cybianthus","detergens","Cybianthus detergens","Cesar, H.L.","659","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:123502","<a href=http://data.rbge.org.uk/herb/E00116437 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00116437","1979","09","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
