"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","615927","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","scutellata","Myrceugenia scutellata","D.Legrand","M. A. Nadruz Coelho","441","1988","11","22","South America","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Nascente do Rio das Flores. Parc. 1B, microp. 9e","-42.05","-22","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239875' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615927","NY00615927_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","615928","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","scutellata","Myrceugenia scutellata","D.Legrand","G. G. Hatschbach","49937","1985","10","18","South America","Brazil","Espírito Santo","Conceiçao do Castelo","Alto Bananal","-41.256612","-20.378333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239873' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615928","NY00615928_01","L. R. Landrum","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","615930","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","scutellata","Myrceugenia scutellata","D.Legrand","P. K. H. Dusén","13324","1911","11","07","South America","Brazil","Paraná",NA,"Carvalho","-48.981355","-25.49628","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239872' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615930","NY00615930_01","L. R. Landrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","615929","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","scutellata","Myrceugenia scutellata","D.Legrand","G. G. Hatschbach","30712","1972","11","19","South America","Brazil","Paraná","General Carneiro","Basso da Galinha","-51.3156","-26.4275","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239871' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615929","NY00615929_01","L. R. Landrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","615926","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","scutellata","Myrceugenia scutellata","D.Legrand","G. G. Hatschbach","30670","1972","11","17","South America","Brazil","Paraná","Paula Freitas","Paula Freitas","-50.9381","-26.2083","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239870' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615926","NY00615926_01","L. R. Landrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","615925","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","scutellata","Myrceugenia scutellata","D.Legrand","G. G. Hatschbach","61504","1995","01","15","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Alto Bananal","-41.1344","-20.3397","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239874' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615925","NY00615925_01","L. R. Landrum","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:06:48-03","NBC","NL-BOTANY","WAG.1116176","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrceugenia","scutellata","Myrceugenia scutellata","D.Legrand","Hatschbach GG; Silva JM",NA,"1985","10","18","Southern America","Brazil",NA,NA,"Alto Bananal (mun. Conceição do Castelo) Espirito Santo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1116176 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1116176","NL-WAG1116176",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:06:48-03","NBC","NL-BOTANY","WAG.1116177","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrceugenia","scutellata","Myrceugenia scutellata","D.Legrand","Hatschbach GG; Silva JM",NA,"1985","10","18","Southern America","Brazil",NA,NA,"Alto Bananal (mun. Conceição do Castelo) Espirito Santo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1116177 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1116177","NL-WAG1116177",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:14:49-03","ESALQ","ESA","7148","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrceugenia","scutellata","Myrceugenia scutellata","Legr.","Moraes, P.L.R.","638.0","1992","01","18",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,"ESA007148",NA,"Moraes, P.L.R.",NA,NA,NA,"27904","auto",NA,NA,NA,NA,NA,NA,NA
"10","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0060654","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","scutellata","Myrceugenia scutellata","D.Legrand","G. Hatschbach; J.M. Silva","49937","1985","10","18",NA,"Brazil","Espirito Santo","Conceicao do Castelo","Alto Bananal.","-41.25","-20.3667",NA,"Coor from www.fallingrain.com/world; Arbusto 3m; flores alvas.",NA,NA,"L.R. Landrum, 1987.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
