"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","individualCount","occurrenceRemarks","dayIdentified","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordedBy","recordNumber","year","month","day","continentOcean","locality","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude"
"1","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","2849","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","minutum","Nidularium minutum","Mez.","Elton. C. M. Leme","2009","05","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","1105","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","minutum","Nidularium minutum","Mez.",NA,"2008","04","2","254","28","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","75","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","minutum","Nidularium minutum","Mez.","Elton. C. M. Leme","2011","08","1","254",NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,"Roberto A. Kautsky;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","376512","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","minutum","Nidularium minutum","Mez","M. das G. L. Wanderley",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=160486' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Brazil","São Paulo","Ribeirao Pires","-46.4097","-23.71",NA,NA,"F. C. Hoehne","9480","1936","10","28","South America","Est. Biol., A. Serra, Sao Paulo","sheet","NY00376512","NY00376512_01",NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","822286","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","minutum","Nidularium minutum","Mez","E. M. C. Leme",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=911348' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,"K. Mizoguchi","2500","1979","12","03","South America","Altoda Serra, Caracatatuba. Along the route BR-383","sheet","NY00822286","NY00822286_01","300","600",NA,NA,NA
"6","2020-12-21 16:19:25-03","MBM","MBM","156970","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","minutum","Nidularium minutum","Mez","Leme, E.M.C.","1996","07",NA,"Brácteas verdes com ápice vermelho. Flor verde pálido com ápice alvo.",NA,"Brazil","Santa Catarina",NA,NA,NA,NA,NA,"Zalewski, B.","2",NA,NA,NA,"Southern America",NA,NA,"MBM156970","MBM156970 MBM156970_1",NA,NA,NA,NA,NA
"7","2021-02-11 17:18:25-03","UFPR","UPCB","23814","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Wittrockia","minuta","Wittrockia minuta","(Mez) L.B.Sm.","Tardivo, R.C.","1994","03",NA,"Epífita, brácteas primárias amareladas na base e vermelho escura no restante, pétalas verdes no tubo e alvescentes nos lacínios..","17","Brasil","Paraná","Morretes","-48.834400177002","-25.476900100708","30514","auto","Tardivo, R.C.","156","1994","03","17",NA,"Caminho dos Jesuítas, Serra da Gracios",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2790643","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Nidularium","minutum","Nidularium minutum","Mez",NA,NA,NA,"1",NA,NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,"M. Lima","4","1976","2","21","South America - Neotropics","Município de Salesópolis, Casa Grande.",NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA
"9","2020-09-12 05:00:02-03","US","US","2106374","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Nidularium","minutum","Nidularium minutum","Mez",NA,NA,NA,"1",NA,NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,"F. C. Hoehne, A. Gehrt & -- Lemos","9480","1936","10","28","South America - Neotropics","Est. Biol., A. Serra.",NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA
"10","2020-09-12 05:00:02-03","US","US","1618814","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Nidularium","minutum","Nidularium minutum","Mez",NA,NA,NA,"1",NA,NA,"Brazil","São Paulo",NA,"-46.32","-23.78",NA,NA,"L. Smith, F. C. Hoehne & M. Kuhlmann","1829","1929","2","5","South America - Neotropics","Dense forest, Estação Biologica, Alto da Serra.",NA,NA,NA,"800","900","Monocotyledonae",NA,NA
"11","2019-07-09 12:55:32-03","F","FMNH-SEEDPLANTS","V0402768F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Canistrum","minutum","Canistrum minutum",NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,"D. Lemos","9480","1924","1","12","South America",NA,NA,"V0402768F","V0402768F_01",NA,NA,"Monocotyledoneae",NA,NA
"12","2019-11-21 10:02:40-03","IBt","SP","186488","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","minutum","Nidularium minutum","Mez","Moreira, BA; Martins, SE","2008","08",NA,"Terricola","01","Brasil","São Paulo","Santo André","-46.316667","-23.783333",NA,NA,"Custodio Filho, A","1127","1982","12","07",NA,"E.B. do Alto da Serra de Paranapiacaba",NA,"SP052243","SP052243","750","900",NA,"-46.316667","-23.783333"
"13","2019-11-21 10:02:40-03","IBt","SP","351224","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","minutum","Nidularium minutum","Mez",NA,NA,NA,NA,NA,NA,"Brasil","São Paulo","Cunha","-45.053222","-23.272583",NA,NA,"Martinelli, G; et al.","15940","1999","10","15",NA,"Parque Estadual da Serra do Mar, Núcleo Cunha, entre os Rios Bonito e Paraibuna.",NA,"SP052238","SP052238","1050","1050",NA,"-45.053222","-23.272583"
"14","2019-11-21 10:02:40-03","IBt","SP","345047","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","minutum","Nidularium minutum","Mez","Moreira, BA","2000","02",NA,NA,"26","Brasil","São Paulo","Bertioga","-46.138599395752","-23.8544006347656","37616","auto","Martins, SE; Lima, ES","554","1999","09","16",NA,"Guaratuba. Fazenda Três Marias, estrada da captação.",NA,"SP052252","SP052252",NA,NA,NA,NA,NA
"15","2019-11-21 10:02:40-03","IBt","SP","185163","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","minutum","Nidularium minutum","Mez","Forzza, RC","2005",NA,NA,NA,NA,"Brasil","São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto","Custodio Filho, A; Carra, M","1096","1982","11","30",NA,"E.B. do Alto da Serra de Paranapiacaba",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-10-22 10:12:33-03","IBt","SP","339606","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","minutum","Nidularium minutum","Mez","Moreira, BA","2000","01",NA,NA,NA,"Brasil","São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto","Guimarães, TB; et al.","2","2000","01","13",NA,"E.B. do Alto da Serra de Paranapiacaba",NA,"SP052237","SP052237",NA,NA,NA,NA,NA
"17","2019-11-21 10:02:40-03","IBt","SP","151412","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","minutum","Nidularium minutum","Mez","Forzza, RC","2005",NA,NA,"Folhas superiores vermelhas nas pontas, no chão com flores brancas",NA,"Brasil","São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto","Wanderley, MGL","73","1977","12","02",NA,"E.B. do Alto da Serra de Paranapiacaba",NA,"SP052242","SP052242",NA,NA,NA,NA,NA
"18","2019-11-21 10:02:40-03","IBt","SP","178750","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","minutum","Nidularium minutum","Mez","Forzza, RC","2005",NA,NA,"Planta do sub-bosque de 30cm de alt., fruto imaturo verde",NA,"Brasil","São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto","Rosa, NA; Murça Pires, J","3980","1980","11","27",NA,"E.B. do Alto da Serra de Paranapiacaba",NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-11-21 10:02:40-03","IBt","SP","185164","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","minutum","Nidularium minutum","Mez","Forzza, RC","2005",NA,NA,NA,NA,"Brasil","São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto","Custodio Filho, A; Carra, M","1097","1982","11","30",NA,"E.B. do Alto da Serra de Paranapiacaba",NA,"SP052241","SP052241",NA,NA,NA,NA,NA
"20","2019-11-21 10:02:40-03","IBt","SP","196971","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","minutum","Nidularium minutum","Mez","Forzza, RC","2005",NA,NA,"Mata, brácteas verde amareladas, corola branca",NA,"Brasil","São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto","Kirizawa, M; et al.","1197","1984","04","17",NA,"E.B. do Alto da Serra de Paranapiacaba",NA,"SP052235","SP052235",NA,NA,NA,NA,NA
