"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class","relatedCatalogItem","typeStatus","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","502680","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.","J. H. Kirkbride Jr.","P. J. M. Maas","3117","1977","10","08","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Corcovado, between Paineiras and Jardim Botanico","-43.2075","-22.9031","200","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=734573' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502680","NY00502680_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","885785","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.","J. M. A. Braga","J. M. A. Braga","7410","2004","03","23","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Horto, entorno do Jardim Botânico do Rio de Janeiro, trecho que se estende até 500 m acima do SOlar da Imperatriz, margem do rio dos Macacos.","-43.2075","-22.9031","80","150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008372' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885785","NY00885785_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","502681","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"L. Riedel",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=734574' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502681","NY00502681_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:32:26-03","UFRJ","RFA","7592","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"P. Occhioni","469","1945","10","28",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Estrada da Vista Chinesa","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Árvore pequena, flor branca.","RFA27063",NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:54-03","UFRJ","RFA","25247","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.","M.Gomes","A. Quinet","14","2000","09","09",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Jacarépagua/Taquara, Santa Maria (Caminho do Rio Pequeno)","-43.450833","-22.922778","250","250",NA,"Folhas verdes escuro, flores alvas Habito: Arbusto","RFA29274",NA,NA,NA,"2000","10","15","43º27'3''W","22º55'22''S",NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:20:54-03","UFRJ","RFA","30153","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.","Mario Gomes","Flavio Britto","46/141","2002","01","17",NA,"Brasil","Rio de Janeiro","Rio Claro","Distrito de Lídice","-44.239444","-22.861944","653","653",NA,"Arbustiva, 2,5m de altura, 7cm de DAP, folha verde, fruto de cor roxa.","RFA29323",NA,NA,NA,"2006","01","19","44º14'22''W","22º51'43''S",NA,NA,NA,NA,NA,NA
"7","2019-12-12 15:31:50-03","UFABC","HUFABC","001128","PreservedSpecimen","Plantae","Angiospermas",NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.","Brunieira, C P","Bruniera, C P; Lobão, A Q; Saavedra, M M","431","2011","09","27",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Trilha para a cachoeira da Grutinha, entorno do Jardim Botânico.","-43.238389","-22.965083","78","78",NA,"Voucher para estudos moleculares; Arbusto ca. 2m alt. Folhas coriáceas, discolores, estípulas apendiculadas. Inflorescência com raque esverdeada, botões alvos.","HUFABC001128","HUFABC001128",NA,NA,"2011",NA,NA,"-43.238389","-22.965083",NA,NA,NA,NA,NA,NA
"8","2019-12-12 15:31:50-03","UFABC","HUFABC","001130","PreservedSpecimen","Plantae","Angiospermas",NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.","Brunieira, C P","Bruniera, C P; Silva, W","723","2012","03","30",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","REBIO do Tinguá, Trilha da Catanuda, subindo pela Represa da Serra Velha. Floresta submontana e montana.","-43.416667","-22.583333",NA,NA,NA,"Voucher para estudos moleculares, foto, prensada em álcool 70%; Árvoreta, ca 3m alt. Folhas coriáceas, discolores, glabras, lustrosas na face adaxial. Frutos imaturos verdes.","HUFABC001130","HUFABC001130",NA,NA,"2012","03","30","-43.416667","-22.583333",NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:18:57-03","ESALQ","ESA","131654","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.","Souza, V.C.","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","36859.0","2013","03","19",NA,"Brasil","Rio de Janeiro","Paracambi","Fragmento 60 (TAV). Floresta Ombrófila Densa.","-22.6409","-43.8059","357","357",NA,NA,"ESA131654",NA,NA,NA,"2013",NA,NA,"-22.6409","-43.8059",NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:33:24-03","MN","R","10446","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Glaziou, A.F.M.","4825","1870","10","29",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Corcovado","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Plantas do Brasil Central","R000010446","R000010446_001","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
