"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","individualCount","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","1550460","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","A. C. Cervi","A. C. Cervi","3251","1990","11","23","South America","Brazil","Paraná","Jaguariaíva","Rio das Mortes.","-49.68","-24.23","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1820921' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550460","NY01550460_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1550459","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","A. C. Cervi","R. Kummrow","2090","1982","11","17","South America","Brazil","Paraná","Ponta Grossa","Rio Guabiroba.","-50.1617","-25.095","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1820920' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550459","NY01550459_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:30:23-03","UNESP-IBB","BOTU","10479","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","Cervi, A.C.","Kummrow, R.","2090","1982","11","17",NA,"Brasil","Paraná","Ponta Grossa",NA,NA,NA,NA,NA,"BOTU010479",NA,"1983","04","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-09-10 21:43:52-03","UNEMAT","TANG","6214","S","Plantae",NA,NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","Engels, ME","Engels, ME","4376","2016","01","01",NA,"Brasil","Paraná","Carambeí","Cantanduva de Flora.","-50.0971984863281","-24.9178009033203",NA,NA,"TANG000006214",NA,"2016","01",NA,NA,"01","26641","auto",NA,NA,NA,NA,NA
"5","2019-12-04 15:25:38-03","PUCPR","HUCP","18765","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","Cervi, AC","Selusniaki, M","863","2006","04","22",NA,"Brasil","Paraná","Curitiba","Bosque da Fazendinha","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00016551","HUCP00016551","2008",NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"6","2019-12-04 15:25:38-03","PUCPR","HUCP","354","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","Lervi, AC","Schiochet, CLL","101",NA,NA,NA,NA,"Brasil","Paraná","Colombo","Santa Mônica Clube de Campo","-49.2242012023926","-25.2917003631592",NA,NA,"HUCP00016552","HUCP00016552","1984","04",NA,NA,"21","13536","auto",NA,NA,NA,NA,NA
"7","2015-07-02 14:03:37-03","JBP","HPL","5243","S","Plantae",NA,NA,"Passifloraceae","Passiflora","cf. setulosa","Passiflora cf. setulosa","Killip","H. Lorenzi","R. Tsuji","1103","2005","09","12",NA,"Brasil","SP","Nova Odessa","Coletada no Instituto Plantarum originária da cidade de Jaguariaiva-PR.","-47.29","-22.77",NA,NA,NA,NA,"2005","09",NA,NA,"12","8440","auto",NA,NA,NA,NA,NA
"8","2015-07-02 14:03:39-03","JBP","HPL","11649","S","Plantae",NA,NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa",NA,"H. Lorenzi","H. Lorenzi","6229","2007","02","13",NA,"Brasil","SP","Nova Odessa","Coletado e cultivado no Jardim Botânico Plantarum; originária de Jaguariaíva-PR, em beira de capoeira.","-47.29","-22.77",NA,NA,NA,NA,"2007","02",NA,NA,"13","8440","auto",NA,NA,NA,NA,NA
"9","2021-04-07 11:46:57-03","UFMS","CGMS","75718","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","A.C. Cervi","A. Bidá","2","1982","10","06",NA,"Brasil","Paraná","Ponta Grossa","Recanto do Tombo, Vila Velha.","-50.1618995666504","-25.0949993133545",NA,"Doação UPCB 11777.","CGMS1108672",NA,NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA
"10","2019-08-16 08:40:29-03","UTFPR","HCF","6581","S","Plantae",NA,NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","J. Cordeiro & E. Barboza","M.G. Caxambu","1996","2008","01","04",NA,"Brasil","PR","Campo Mourão","Parque Estadual Lago Azul (PELA)","-52.319861","-24.108222",NA,"erva semi-ciófila, ca. 0,30 m de altura. Fruto imaturo verde.",NA,NA,"2008",NA,"52°19'11,5 W","24°06'29,6 S",NA,NA,NA,"625","625",NA,NA,NA
"11","2020-12-21 16:39:19-03","MBM","MBM","396145","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","Imig, D.C.","Engels, M.E.","2395","2014","04","19","Southern America","Brazil","Paraná","Carambeí","Catanduva de Fora","-50.0971984863281","-24.9178009033203",NA,"Liana, ca. 80cm. Caule, folhas e fruto verdes. Folhas discolores. Fruto elíptico piloso. Raro na área.; Floresta Ombrófila Mista, no inteior da mata.","MBM396145","MBM396145","2014","02",NA,NA,"05","26641","auto",NA,NA,NA,NA,NA
"12","2020-12-21 16:39:19-03","MBM","MBM","80144","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","Cervi, A.C.","Kummrow, R.","2090",NA,NA,NA,"Southern America","Brazil","Paraná","Ponta Grossa","Rio Guabiroba","-50.1618995666504","-25.0949993133545",NA,NA,"MBM080144","MBM080144",NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA
"13","2020-12-21 16:39:19-03","MBM","MBM","25133","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","Cervi, A.C.","Hatschbach, G.","31128",NA,NA,NA,"Southern America","Brazil","Paraná","Jaguariaíva","Paredão","-49.7057991027832","-24.2511005401611",NA,NA,"MBM025133","MBM025133",NA,NA,NA,NA,NA,"44368","auto",NA,NA,NA,NA,NA
