"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00959530","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","dentata","Chamaecrista dentata","(Vogel) H.S.Irwin & Barneby","R. C. Barneby","L. Riedel","2904","1835","02","South America","Brazil","Minas Gerais","Serra do Itacolumé","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031580' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959530","NY00959530_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00959506","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","dentata","Chamaecrista dentata","(Vogel) H.S.Irwin & Barneby",NA,"A. Macedo","2804","1950","12","South America","Brazil","Minas Gerais","Itacolumi","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031581' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959506","NY00959506_01","28","Ouro Preto","-43.5081","-20.2878","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00959505","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","dentata","Chamaecrista dentata","(Vogel) H.S.Irwin & Barneby","R. C. Barneby","L. Riedel","1352","1828","07","South America","Brazil",NA,"In siccis umbr. pr. Borba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031577' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959505","NY00959505_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00959528","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","dentata","Chamaecrista dentata","(Vogel) H.S.Irwin & Barneby","R. C. Barneby","G. W. Fernandes","1","1994","09","South America","Brazil","Minas Gerais","Serra do Cipó","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031572' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959528","NY00959528_01","17",NA,"-43.539757","-19.388386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00959503","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","dentata","Chamaecrista dentata","(Vogel) H.S.Irwin & Barneby",NA,"A. P. Duarte","2030","1949","12","South America","Brazil","Minas Gerais","Serra do Cipó, km. 131, Palácio","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031564' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959503","NY00959503_01","04",NA,"-43.499904","-19.221042","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00959526","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","dentata","Chamaecrista dentata","(Vogel) H.S.Irwin & Barneby",NA,"A. P. Duarte","9632","1966","03","South America","Brazil","Minas Gerais","Serra do Cipó, km. 133-134","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031571' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959526","NY00959526_01","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00959499","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","dentata","Chamaecrista dentata","(Vogel) H.S.Irwin & Barneby",NA,"W. R. Anderson","36122","1972","02","South America","Brazil","Minas Gerais","Serra do Espinhaço, Serra do Cipó","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031555' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959499","NY00959499_01","17",NA,"-43.567497","-19.391589","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00959500","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","dentata","Chamaecrista dentata","(Vogel) H.S.Irwin & Barneby",NA,"H. S. Irwin","29344","1971","01","South America","Brazil","Minas Gerais","Serra do Espinhaço, lower slopes of Pico de Itacolomi, ca. 2 km S. of Ouro Preto","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031557' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959500","NY00959500_01","30","Ouro Preto","-43.5057","-20.3874","1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00959498","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","dentata","Chamaecrista dentata","(Vogel) H.S.Irwin & Barneby",NA,"W. R. Anderson","36213","1972","02","South America","Brazil","Minas Gerais","Serra do Espinhaço, Serra do Cipó","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031553' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959498","NY00959498_01","18",NA,"-43.566908","-19.391522","1225","1225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00959502","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","dentata","Chamaecrista dentata","(Vogel) H.S.Irwin & Barneby",NA,"H. S. Irwin","20195","1968","02","South America","Brazil","Minas Gerais","Serra do Cipó, km 132, (ca. 153km N. of Belo Horizonte).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031561' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959502","NY00959502_01","16",NA,"-43.68","-18.57","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
