"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","504340","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","M. Kuhlmann","M. Kuhlmann","1606","1947","11","20","South America","Brazil","São Paulo","Jardinópolis","Jardinópolis, mata a beira do Rio Pardo","-47.7597","-21.0103","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675621' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504340","NY00504340_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","504342","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","L. C. M. Croizat","Y. E. J. Mexia","5356","1930","11","25","South America","Brazil","Minas Gerais",NA,"Districto Rio Branco. Road to Sao Geraldo: Retiro de Anton Avelino",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675624' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504342","NY00504342_01","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","504341","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","L. C. M. Croizat","B. A. Krukoff","1581","1931","12",NA,"South America","Brazil","Rondônia","Machadinho d'Oeste","Source of the Jatuarana River, Machado River region","-61.9813995361328","-9.44388961791992","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675623' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504341","NY00504341_01",NA,NA,"100916","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:38:21-03","EAO","IAN","18379","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.",NA,"sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN018379","IAN018379_ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:38:11-03","EAO","IAN","35718","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Gehrt, A","Mendes, OT","4652","1938","11","09","Southern America","Brasil","São Paulo",NA,"Mato propriedade Ricieri Zirondi.",NA,NA,NA,"Árvore.","IAN035718","IAN035718 IAN035718_e",NA,NA,NA,NA,"1942","08","24",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:14:21-03","UFBA","ALCB","06457","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Gehrt, A","Gehrt, A","s/n","1938","11","09","Southern America","Brasil","São Paulo","Pindorama","Propriedade de Ricieri Zirondi","-48.9","-21.183333",NA,NA,"ALCB052246","ALCB052246",NA,NA,NA,NA,"1942","08",NA,"-48.9","-21.183333",NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:14:21-03","UFBA","ALCB","30906","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Holst, BK","Thomas, W; Jardim, JG; Sant'Ana, SC de; Paixão, JL da","10793","1995","01","15","Southern America","Brasil","Bahia","Ilhéus","Litoral Sul, 2 Km ao Nordeste do Banco da Vitória, 5,7 Km a leste da ponte sobre o Rio Fundão, na estrada para Itabuna. Floresta com grandes árvores sobre uma floresta adjacente e intacta","-39.116667","-14.683333",NA,"ca. de 12 metros de altura. Folhas verde em sua superfície abaxial. Flores com pálea verde.","ALCB052245","ALCB052245",NA,NA,NA,NA,"1996",NA,NA,"-39.116667","-14.683333",NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:48:05-03","NBC","NL-BOTANY","U 0076079","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.",NA,"Krukoff BA",NA,"1931","12","01","Southern America","Brazil","Mato Grosso",NA,"Basin of Rio Madeira",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200076079 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0076079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw19408",NA,NA,NA,NA
"9","2020-02-08 09:48:05-03","NBC","NL-BOTANY","U.1267514","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Riina R","Mexia YEJ",NA,"1930","11","25","Southern America","Brazil",NA,NA,"Plants of Brazil, Districto Rio Branco, Road to São Geraldo; Retiro de Anton Avelino, in virgin forest.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1267514 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1267514","NL-U1267514",NA,NA,NA,NA,"2014","09","01",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"10","2020-02-08 09:48:05-03","NBC","NL-BOTANY","U.1271970","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.",NA,"Krukoff BA",NA,"1931","12","01","Southern America","Brazil","Mato Grosso",NA,"Basin of Rio Madeira",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1271970 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1271970","NL-U1271970",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
