"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","relatedCatalogItem","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","929903","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","H. S. Irwin","29414","1971","01","30","South America","Brazil","Minas Gerais","Ouro Preto","Serra do Espinhaço, lower slopes of Pico de Itacolomi, ca. 2 km S. of Ouro Preto","-43.5057","-20.3874","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999206' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929903","NY00929903_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:32:00-03","NBC","NL-BOTANY","WAG.1827081","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Rechsteineria","tuberosa","Rechsteineria tuberosa","(Mart.) Kuntze","Irwin HS; Harley RM; Onishi E",NA,"1971","01","30","Southern America","Brazil",NA,NA,"Plants of the Planalto do Brasil. Estado de Minas Gerais. Serra do Espinhaco. Lower slopes of Pico de Itacolomí, ca. 2 km S. of Ouro Preto, cerrado on steep schist slopes.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1827081 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1827081","NL-WAG1827081","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:11:16-03","ESALQ","ESA","83009","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","Araújo, A.O.; Romão, G.O.; Vieira, S.",NA,"2003","01","13",NA,"Brasil","Minas Gerais","Ouro Preto","caminho para o Pico do Itacolomi. 1224 m alt.","-43.5080986022949","-20.2875003814697",NA,NA,NA,"erva entre rochas, em paredão rochoso úmido; botões vináceos; frutos secos castanhos (foto) (cultivo)","ESA083009","ESA083009",NA,"Araújo, A.O.","2003","01","01","44599","auto",NA,NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:02:16-03","JBP","HPL","3147","S","Plantae",NA,NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E. Moore","E.R. Salviani & H. Lorenzi","1319","2000","03","17",NA,"Brasil","MG","Ibitipoca","Coletada no Parque Nacional de Ibitipoca.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E.R. Salviani & H. Lorenzi","2000","03","17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:17:56-03","UFV","VIC","5699","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart) H.E.Moore","Coons, M.P.","285","1977","02","28",NA,"Brasil","Minas Gerais","Ibitipoca","Parque Florestal da Serra de Ibitipoca, Sobre paredões de arenito.",NA,NA,NA,NA,NA,NA,"VIC005699",NA,NA,"Krieger, L.","1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:37:24-03","UFJF","CESJ","13255","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","L. Krieger","CESJ13255","1973","11","03","América do Sul","Brasil","Minas Gerais","Conceição de Ibitipoca","Serra de Ibitipoca, Brasil, Minas Gerais - Serra de Ibitipoca - 1600 msm.",NA,NA,NA,NA,NA,"Rupícola sobre arenito. Base do caule tuberoso, geralmente uma única folha. Face dorsal das folhas roxas, face ventral verde azulada. Com frutos passados.","CESJ013255",NA,NA,"A. Chautems","1989","02","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:37:24-03","UFJF","CESJ","16657","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","L. Krieger","CESJ16667","1952","05","04","América do Sul","Brasil","Minas Gerais","Conceição de Ibitipoca","Serra de Ibitipoca, Brasil, Minas Gerais - Serra de Ibitipoca - Em Ibitipoca.",NA,NA,NA,NA,NA,"Sobre paredão arenítico. Uma ou duas folhas grandes, flores vermelhas saindo do rizoma.","CESJ016657",NA,NA,"A. Chautems","1989","02","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:37:24-03","UFJF","CESJ","52430","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","F.R.G. Salimena; P.H. Nobre","2761","2008","11","15","América do Sul","Brasil","Minas Gerais","Lima Duarte","Serra Negra, Estrada para monte Verde de Cima. 21°56'33,4''S, 43°44'27,6''W, altitude 900m.","-43.741","-21.942611","900","900",NA,"Erva rupícola na paredão. Frutos secos. Campo rupestre.","CESJ052430",NA,NA,"F.R.G. Salimena","2008","11","15",NA,NA,"-43.741","-21.942611",NA,NA,NA,NA,NA
"9","2019-11-21 14:37:24-03","UFJF","CESJ","50287","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","F.R.G. Salimena; I.A. Costa; P.H. Nobre","2657","2008","03","01","América do Sul","Brasil","Minas Gerais","Lima Duarte","Serra Negra, Fazenda Serra Negra, Cachoeira da Borboleta Azul.","-43.824194","-21.940111","1155","1155",NA,"Arbusto, ca. 1m alt., flores salmão, pintalgadas. Em paredão.","CESJ050287",NA,NA,NA,NA,NA,NA,NA,NA,"-43.824194","-21.940111",NA,NA,NA,NA,NA
"10","2020-06-30 18:32:15-03","UFJF","CESJ","66990","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","B. Moreira; M.C. Delgado","159","2015","03","20","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Nanofloresta nebular, atrás do camping","-43.901111","-21.718889","1380","1380",NA,"Erva, flores vermelhas, coletada sobre rocha. Interior de mata","CESJ066990",NA,NA,"B. Moreira",NA,NA,NA,NA,NA,"-43.901111","-21.718889",NA,NA,NA,NA,NA
