"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","763580","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","nuda","Digitaria nuda","Schumach.","R. M. Harley","17045","1974","03","14","South America","Brazil","Bahia","Itabuna, in the grounds of CEPLAC (Centro de Pesquisas do Cacau), by the research station building","-39.25","-14.25","30","30","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83856' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763580","NY00763580_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","763582","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","nuda","Digitaria nuda","Schumach.","R. M. Harley","17451","1974","03","26","South America","Brazil","Bahia","Belmonte, on S.W. outskirts of town. Alt. sea level","-38.88","-15.87",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83858' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763582","NY00763582_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","763583","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","nuda","Digitaria nuda","Schumach.","R. M. Harley","16360","1974","02","26","South America","Brazil","Bahia","49km. N. of Senhor do Bonfim on the BA 130 highway to Juazeiro","-40.22","-10.08","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83859' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763583","NY00763583_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-28 14:02:00-03","NY","NYBG","763579","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","nuda","Digitaria nuda",NA,"R. M. Harley","16597","1974","03","01","South America","Brazil","Bahia","Serra da Jacobina. West of Estiva, ca. 12km. N. of Senhor do Bonfim on the BA 130 highway to Juazeiro","-40.25","-10.3","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83855' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763579","NY00763579_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00862192","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","nuda","Digitaria nuda","Schumach.","T. C. Plowman","8225","1980","02","01","South America","Brazil","Tocantins","Road from highway BR-153 to Itaporã, 12 km west of village of Presidente Kenedy. Fazenda Primavera Along Ribeirão Feínho.","-48.6008","-8.5006","400","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939912' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862192","NY00862192_01","G. Davidse","Presidente Kennedy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","763581","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","nuda","Digitaria nuda","Schumach.","R. M. Harley","16160","1974","02","18","South America","Brazil","Bahia","6km. from Filadelfia on the BA 385 to Itiuba","-40.07","-10.75","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83857' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763581","NY00763581_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","763584","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","nuda","Digitaria nuda","Schumach.","R. M. Harley","17046","1974","03","14","South America","Brazil","Bahia","Itabuna, in the grounds of CEPLAC (Centro de Pesquisas do Cacau), by the research station building","-39.25","-14.25","30","30","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83860' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763584","NY00763584_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","763585","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","nuda","Digitaria nuda","Schumach.","T. C. Plowman","8895","1980","02","18","South America","Brazil","Pará","100 km. south of Redençao on road (PA-150) to Barreiras dos Campos. Fazenda Inajapora between Rio Inajazinho and Rio Inajá","-50.42","-8.75","210","210","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83853' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763585","NY00763585_01","G. Davidse","Santana do Araguaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-18 09:30:27-03","UNESP-IBB","BOTU","28258","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Digitaria","nuda","Digitaria nuda","Schumach.","Tropaldi, L.","2","2012","02","28",NA,"Brasil","São Paulo","Cultivada em vaso.",NA,NA,NA,NA,NA,NA,"BOTU028258",NA,"Longhi, H.","Botucatu","2012","12","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:53:15-03","EAO","IAN","89144","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Digitaria","nuda","Digitaria nuda","Schumach.","Black, GA","18210","1955","06","28","Southern America","Brasil","Ceará","Açude do Cedro. Ruderal.",NA,NA,NA,NA,NA,NA,"IAN089144",NA,"Canto-Dorow, T","Quaixadá","2001","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:53:15-03","EAO","IAN","89220","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Digitaria","nuda","Digitaria nuda","Schumach.","Black, GA","18287","1955","06","20","Southern America","Brasil","Ceará","Barra do Ceará. Anual.",NA,NA,NA,NA,NA,NA,"IAN089220",NA,"Canto-Dorow, T",NA,"2001","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:53:15-03","EAO","IAN","89255","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Digitaria","nuda","Digitaria nuda","Schumach.","Black, GA","18322","1955","06","15","Southern America","Brasil","Ceará","Barra do Cocó.",NA,NA,NA,NA,NA,NA,"IAN089255",NA,"Canto-Dorow, T",NA,"2001","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:53:15-03","EAO","IAN","89791","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Digitaria","nuda","Digitaria nuda","Schumach.","Black, GA","18023","1955","01","02","Southern America","Brasil","Bahia","Arredores de Barreiras, fazenda Baraúna. Ruderal em sonbra de mata desbravada.",NA,NA,NA,NA,NA,NA,"IAN089791",NA,"Canto-Dorow, T",NA,"2001","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:53:15-03","EAO","IAN","12585","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Digitaria","nuda","Digitaria nuda","Schumach.","Baldwin Jr., JT","3329","1944","02","09","Southern America","Brasil","Amazonas","Rio Negro.","-62.9241981506348","-0.974722027778625",NA,NA,NA,NA,"IAN012585","IAN012585 IAN012585_e","Canto-Dorow, T","Barcelos","2001","07",NA,NA,"358570","auto",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-30 12:53:15-03","EAO","IAN","96697","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Digitaria","nuda","Digitaria nuda","Schumach.","Black, GA","90","1945","03","02","Southern America","Brasil","Ceará","Perto do rio Acaraú. Campo com uma capa rala de vegetação.","-40.3497009277344","-3.68611001968384",NA,NA,NA,NA,"IAN096697",NA,"Canto-Dorow, T","Sobral","2001","07",NA,NA,"84289","auto",NA,NA,NA,NA,NA,NA,NA
"16","2020-05-19 10:31:01-03","UFBA","ALCB","025544","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Digitaria","nuda","Digitaria nuda","Schumach.","Miranda, AM; Felix, LP; Guedes, ML; Grilo, M","880","1993","06","01","Southern America","Brasil","Bahia","Arquipélogo Fernando de Noronha, ilha de Rata.","-32.425","-3.836111",NA,NA,NA,"Erva Protubente, segmentos vegetativos verdes, espiguilhas verdes, depois amareladas; Sobre guano, próximo a praia.","ALCB008523","ALCB008523","Longhi-Wagner, HM","Fernando de Noronha","2004","08","-32.425","-3.836111",NA,NA,NA,NA,NA,NA,NA,NA,NA
