"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","478148","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","semiserrata","Huberia semiserrata","DC.","J. C. Lindeman","J. C. Lindeman","3808","1967","01","01","South America","Brazil","Est. Paraná/Santa Catarina; En route from Itajaí to Guaratuba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335662' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478148","NY00478148_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","478157","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","semiserrata","Huberia semiserrata","DC.","A. C. Cervi","A. C. Cervi","3869","1992","12","12","South America","Brazil","Práia de Itapema","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335663' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478157","NY00478157_01","Santa Catarina","Itapema","-48.6114","-27.0906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","478154","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","semiserrata","Huberia semiserrata","DC.",NA,"W. Hoehne","s.n.","1941","11","02","South America","Brazil","Campo de Congonhas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335668' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478154","NY00478154_01","São Paulo","Sao Paulo","-46.660488","-23.627973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","478156","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","semiserrata","Huberia semiserrata","DC.","G. G. Hatschbach","J. C. Lindeman","15608","1967","01","02","South America","Brazil","Restinga behind Pontal do Sul","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335667' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478156","NY00478156_01","Paraná","Paranaguá","-48.450437","-25.5593",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","478153","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","semiserrata","Huberia semiserrata","DC.","J. J. Wurdack","G. G. Hatschbach","15603","1967","01","02","South America","Brazil","Pontal do Sul","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335658' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478153","NY00478153_01","Paraná","Paranaguá","-48.365093","-25.575152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","478155","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","semiserrata","Huberia semiserrata","DC.",NA,"W. Hoehne","s.n.","1941","11","02","South America","Brazil","Campo de Congonhas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335669' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478155","NY00478155_01","São Paulo","Sao Paulo","-46.660488","-23.627973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","478158","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","semiserrata","Huberia semiserrata","DC.","J. J. Wurdack","R. Callejas Posada","1840","1983","12","01","South America","Brazil","4 km N de Rio de Caraguacu","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335659' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478158","NY00478158_01","Paraná","Paranaguá","-48.5092","-25.5203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","478149","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","semiserrata","Huberia semiserrata","DC.","G. G. Hatschbach","G. G. Hatschbach","41708","1978","11","10","South America","Brazil","Col. Maria Luiza","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335666' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478149","NY00478149_01","Paraná","Paranaguá","-48.5092","-25.5203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","478144","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","semiserrata","Huberia semiserrata","DC.","F. C. Hoehne","F. C. Hoehne","24770","1932","12","01","South America","Brazil","Jardim Botanico","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335664' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478144","NY00478144_01","São Paulo","Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","478150","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","semiserrata","Huberia semiserrata","DC.","J. Y. V. Norlind","P. K. H. Dusén","13501","1911","12","09","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478150","NY00478150_01","Paraná","Paranaguá","-48.5092","-25.5203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","478147","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","semiserrata","Huberia semiserrata","DC.","E. Pereira","A. P. Duarte","3352","1950","12","10","South America","Brazil","Canavieiras, Ilha de Santa Catarina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335661' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478147","NY00478147_01","Santa Catarina","Florianópolis","-48.4686756","-27.4355461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","478143","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","semiserrata","Huberia semiserrata","DC.","S. A. C. Chiea","B. Coe-Teixeira","146","1966","11","04","South America","Brazil","Santo Amaro, Chácara Flora","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335656' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478143","NY00478143_01","São Paulo","Sao Paulo","-46.63","-23.5403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","719900","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","semiserrata","Huberia semiserrata","DC.",NA,"R. J. Almeida-Scabbia","5244","2007","12","18","South America","Brazil","Suborefeitura de Paranapiacaba e Parque Andreense, estrada do gasoduto","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2524834' target='other'> <mi>dwc_moreinfo</mi></a>","NY00719900","NY00719900_01","São Paulo","Santo André","-46.407083","-23.7922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","478140","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","semiserrata","Huberia semiserrata","DC.","J. F. A. Baumgratz","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","{From protologue: Ad Serra da Piedade]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335651' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478140","NY00478140_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","478142","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","semiserrata","Huberia semiserrata","DC.","S. A. C. Chiea","O. P. Siqueira","20","1966","11","23","South America","Brazil","Terreno do Hospital Psiquiatrico;beira da estrada em frente a entrada nova do Instituto de Botanica","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478142","NY00478142_01","São Paulo","Sao Paulo","-46.63","-23.54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","478141","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","semiserrata","Huberia semiserrata","DC.","J. F. A. Baumgratz","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","{From protologue: Ad Serra da Piedade]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335652' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478141","NY00478141_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","478145","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","semiserrata","Huberia semiserrata","DC.","J. J. Wurdack","R. Reitz","5722","1957","12","19","South America","Brazil","Três Barras, Garuva, Sao Francisco do Sul","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335657' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478145","NY00478145_01","Santa Catarina","Garuva","-48.8547","-26.0269","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","478152","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","semiserrata","Huberia semiserrata","DC.","J. F. A. Baumgratz","G. G. Hatschbach","3631","1956","11","21","South America","Brazil","Cabeçeiras do Rio Boguassú","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335653' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478152","NY00478152_01","Paraná","Guaratuba","-48.5744","-25.8831",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","478146","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","semiserrata","Huberia semiserrata","DC.","E. Pereira","A. P. Duarte","3352","1950","12","10","South America","Brazil","Canavieiras, Ilha de Santa Catarina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335660' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478146","NY00478146_01","Santa Catarina","Florianópolis","-48.4686756","-27.4355461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","478151","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","semiserrata","Huberia semiserrata","DC.","G. G. Hatschbach","G. G. Hatschbach","31089","1973","01","05","South America","Brazil","Rio do Nunes","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335665' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478151","NY00478151_01","Paraná","Antonina","-48.790772","-25.33685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","02226417","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","semiserrata","Huberia semiserrata","DC.",NA,"R. Goldenberg","1639","2012","02","14","South America","Brazil","Parque Estadual da Serra do Mar, Núcleo Curucutu, conexão entre as trilha do campo e do mirante","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2498533' target='other'> <mi>dwc_moreinfo</mi></a>","NY02226417","NY02226417_01","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
