"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","order","individualCount"
"1","2019-10-09 11:27:21-03","UFBA","ALCB","78682","PreservedSpecimen","Plantae","Monocotyledon","Amaryllidaceae","Griffinia","espiritensis","Griffinia espiritensis","Ravenna","Guedes, ML; Valadão, RM","2007","02","Valadão, RM; Guedes, ML","469","2006","10","28","Southern America","Brasil","Bahia","Ituberá","Litoral Sul, Mata do Corte Alto.","-39.1492004394531","-13.7321996688843","22399","de ca. 30,0cm de altura. Caile bulboso. Folhas alternas, discolores. Inflorescência cimosa com flores vistosas de coloração branca e lilazes.; Arbórea.","ALCB006668","ALCB006668","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:00:12-03","JBP","HPL","13184","S","Plantae",NA,"Amaryllidaceae","Griffinia","espiritensis","Griffinia espiritensis",NA,NA,NA,NA,"A. Campos-Rocha","1",NA,NA,NA,NA,"Brasil",NA,NA,"Nova Venécia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:00:12-03","JBP","HPL","12196","S","Plantae",NA,"Amaryllidaceae","Griffinia","espiritensis","Griffinia espiritensis",NA,"H. Lorenzi","2010","10","H. Lorenzi","6923","2010","10","07",NA,"Brasil","ES","Domingo Martins","Coletado em cultivo no Jardim Botânico Plantarum; trazido de Domingos Martins, Espírito Santo, onde ocorre no subosque da floresta ombrófila.",NA,NA,NA,NA,NA,NA,NA,"07",NA,NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:00:12-03","JBP","HPL","13183","S","Plantae",NA,"Amaryllidaceae","Griffinia","espiritensis","Griffinia espiritensis",NA,NA,NA,NA,"A. Campos-Rocha & J. Dutilh","1400",NA,NA,NA,NA,"Brasil",NA,"Mogi das Cruzes","Coletado em cultivo na propriedade de M. Peixoto. Kautsky.","-46.1883","-23.5228","28666",NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-02-15 11:32:32-02","IPA","IPA","68551","S","Plantae","Plantae","Amaryllidaceae","Griffinia","espiritensis","Griffinia espiritensis","Ravenna","Alves-Araújo, A.","2006","06","Reis, A.M.S.","136","2004","04","13","Southern America","Brasil","Pernambuco","Recife","Campo Grande, Centro de Educação Espaço Único.","-34.8810997009277","-8.05389022827148","18865","Herbácea. Flor lilás.","IPA0068551",NA,"auto","14",NA,NA,NA,NA,NA,NA,NA
"6","2019-02-15 11:32:32-02","IPA","IPA","31642","S","Plantae","Plantae","Amaryllidaceae","Griffinia","espiritensis","Griffinia espiritensis","Ravenna","Alves-Araújo, A.","2006","06","Viana, G.","461","1982","05","13","Southern America","Brasil","Sergipe","Nossa Senhora da Glória","Fazenda Olhos D'agua","-37.4202995300293","-10.2182998657227","39088","Erva com flores lilases; folhas rosuladas.; Caatinga hipoxerófila.","IPA0031642",NA,"auto","14",NA,NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:15:20-03","UFV","VIC","012160","PreservedSpecimen","Plantae",NA,"Amaryllidaceae","Griffinia","espiritensis","Griffinia espiritensis","Ravenna.","Amaral, R.N.","2018","04","Carvalho, A.F.","259","1992","11","24",NA,"Brasil","Minas Gerais","Raul Soares","Vila Belchior","-42.4524993896484","-20.101900100708","33728","Erva de cerca de 30 cm ,flores lilases, um bulbo semelhante a cebola.","VIC012160","VIC012160","auto","05",NA,NA,NA,NA,NA,NA,NA
"8","2019-11-27 13:45:34-03","UFS","ASE","2365","PreservedSpecimen","Plantae","Magnoliophyta","Amaryllidaceae","Griffinia","espiritensis","Griffinia espiritensis","Ravenna","Alves-Araújo, A","2006","08","Viana, G","461","1982","05","13","Southern America","Brasil","Sergipe","Nossa Senhora da Glória","Faz. Olhos d'Água","-37.42","-10.218333",NA,"erva. Flores liláses, folhas rosuladas.; erva. Flores liláses, folhas rosuladas.; Caatinga hipoxerófila","ASE0014224","ASE0014224",NA,"14","-37.42","-10.218333",NA,NA,NA,NA,NA
"9","2019-11-27 13:45:34-03","UFS","ASE","231","PreservedSpecimen","Plantae","Magnoliophyta","Amaryllidaceae","Griffinia","espiritensis","Griffinia espiritensis","Ravenna","Alves-Araújo, A","2012","07","Barreto, ACC","ASE231","1974","12","03","Southern America","Brasil","Sergipe","Itabaiana","Parque Nacional da Serra de Itabaiana","-37.2081","-10.4583",NA,"erva. 15. cm. .; erva. 15. cm. .; Campo rupestre (alagado)","ASE0012677","ASE0012677",NA,"18","-37.2081","-10.4583",NA,NA,NA,NA,NA
"10","2021-03-01 16:18:54-03","UNICAMP","UEC","185368","S","Plantae","Liliopsida","Amaryllidaceae","Griffinia","espiritensis","Griffinia espiritensis","Ravenna",NA,NA,NA,"Demuner, V; Magnago, LFS; Cruz, TA; Bausen, E","2869","2006","09","14",NA,"Brazil","Espírito Santo","Santa Leopoldina","morro agudo, dona maria","-40.548611","-20.056667",NA,"herbacea botoes florais e flores lilas; fundo de vale","UEC105833","UEC105833",NA,NA,"-40.548611","-20.056667","150","350",NA,NA,NA
