"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","stateProvince","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","month","day","county","locality","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","verbatimLongitude","verbatimLatitude","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","558017","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","neorostrata","Myrcia neorostrata","Sobral","M. Sobral","J. S. Blanchet","s.n.","1834","South America","Brazil","Bahia","-39.039072","-15.159747","sheet","4e envoi <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479624' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558017","NY00558017_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-11 11:39:28-03","UFMG","BHCB","174012","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","neorostrata","Myrcia neorostrata","Sobral",NA,"Vervolet, RR; Bausen, E; Pizziolo, W","1331","2002","Southern America","Brasil","Espírito Santo","-40.6002998352051","-19.9356002807617",NA,"Árvore com 15 m, topo de morro, dossel 18 m, flores brancas, futros imaturos verdes.","BHCB019346",NA,"2011","10","29","Santa Teresa","Reserva Biológica Augusto Ruschi","23813","875","875","auto",NA,NA,NA,NA
"3","2020-07-10 09:47:57-03","MBML","MBML-HERBARIO","18227",NA,"Plantae",NA,NA,"Myrtaceae","Myrcia","neorostrata","Myrcia neorostrata","Sobral","M. Sobral/Março-2007","R.R. Vervloet; et al","1331","2002",NA,"Brasil","Espírito Santo","-40.553056","-19.9075",NA,"Árvore com 15m, topo de morro, dossel 18m, flores brancas, frutos imaturos verde, altitude 875m.","MBML018227","MBML018227",NA,"10","29","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia",NA,NA,NA,NA,"40W33'11","19S54'27",NA,NA
"4","2019-11-13 11:27:08-03","USP","SPF","214629","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","neorostrata","Myrcia neorostrata","Sobral","Santos, MF","Vervloet, RR","1331","2002",NA,"Brasil","Espírito Santo","-40.6002998352051","-19.9356002807617",NA,NA,"SPF00214629",NA,"2007","10","29","Santa Teresa","Reserva Biológica Augusto Ruschi","23813","875","875","auto",NA,NA,NA,NA
"5","2019-10-07 09:34:50-03","UEFS","HUEFS","87834","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Aulomyrcia","rostrata","Aulomyrcia rostrata","O.Berg",NA,"Blanchet","1880",NA,NA,"Brasil","Bahia",NA,NA,NA,NA,"HUEFS0087834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rosanae","Isótipo"
"6","2019-10-07 09:34:50-03","UEFS","HUEFS","87835","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Aulomyrcia","rostrata","Aulomyrcia rostrata","O.Berg",NA,"Blanchet","1880",NA,NA,"Brasil","Bahia",NA,NA,NA,NA,"HUEFS0087835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rosanae","Isótipo"
"7","2017-09-11 17:11:10-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Myrtaceae","Aulomyrcia","rostrata","Aulomyrcia rostrata","O.Berg",NA,"Blanchet, JS","1880",NA,"Southern America","Brazil","Bahia",NA,NA,NA,"Hamadryas; HABITAT: Hamadryas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
