"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","typeStatus","recordNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","eventTime","fieldNumber","sex"
"1","2021-04-05 14:33:47-03","UNESC","CRI","1696","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","floribunda","Myrciaria floribunda","(H.West ex Willd.) O.Berg","Marcos Sobral","1993","08","13","Vanilde Citadini-Zanette; M. Sobral e R. dos Santos","1993","08","13","Brasil","Santa Catarina","Orleans","-49.291667","-28.359444","49º17'30''W","28º21'34''S","CRI005316","CRI005316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","8042","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","floribunda","Myrciaria floribunda","(H.West ex Willd.) O.Berg","Rafael Martins","2008","06","26","Beatriz Wessler; Bruna Alberton","2008","06","25","Brasil","Santa Catarina","Içara","-49.300278","-28.713889","49º18'1''W","28º42'50''S","CRI005315","CRI005315","SANTEC Resíduos.","52","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:47-03","UNESC","CRI","15281","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","floribunda","Myrciaria floribunda","(H.West ex Willd.) O.Berg","Aline Votri Guislon","2019","02","19","Aline V. Guislon; Aline V. Guilson; Renato Colares & Iara Zaccaron Zanoni","2019","02","19","Brasil","Santa Catarina","Criciúma","-49.391944","-28.800278","49º23'31''W","28º48'1''S","CRI014698",NA,"APA Morro Albino e Esteves. Área L11 Bairro Morro Albino","40","40","Flor creme. Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:54-03","E","E","100487","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","floribunda","Myrciaria floribunda",NA,NA,NA,NA,NA,"Bridgewater, S., Ratter, J.A., Filho, J.F. & Dias, T.","1999","08","16","BR",NA,NA,NA,NA,NA,NA,"E00100487",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00100487 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:109863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:54-03","E","E","394768","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","salzmannii","Myrciaria salzmannii",NA,NA,NA,NA,NA,"Schomburgk, Robert Hermann","1905","01","10","GY",NA,NA,NA,NA,NA,NA,"E00394768",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00394768 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:443017","isotype","780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","405009","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","salzmannii","Eugenia salzmannii","Benth.",NA,NA,NA,NA,"R. H. Schomburgk",NA,NA,NA,"Brazil","Bahia",NA,"-39.039072","-15.159747",NA,NA,"NY00405009","NY00405009_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=522119' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"isotype","780","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","405504","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","arborea","Myrciaria arborea rostrata","Mattos",NA,NA,NA,NA,"G. G. Hatschbach","1966","03","23","Brazil","Paraná","Antonina","-48.7117","-25.4286",NA,NA,"NY00405504","NY00405504_01","Estr. Cacatu-Serra Negra",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=64748' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"isotype","14109","Magnoliophyta","Myrtales","rostrata",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","405503","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","arborea","Myrciaria arborea","D.Legrand",NA,NA,NA,NA,"R. Reitz","1958","01","28","Brazil","Santa Catarina","Vidal Ramos","-49.3556","-27.3919",NA,NA,"NY00405503","NY00405503_01","Sabiá, Vidal Ramos","750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112332' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"isotype","6312","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","616718","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","arborea","Myrciaria arborea rostrata","Mattos",NA,NA,NA,NA,"G. G. Hatschbach","1966","03","23","Brazil","Paraná","Antonina","-48.7117","-25.4286",NA,NA,"NY00616718","NY00616718_01","Estr. Cacatu-Serra Negra",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=482201' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"isotype","14109","Magnoliophyta","Myrtales","rostrata",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","405504","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","arborea","Myrciaria arborea rostrata","Mattos",NA,NA,NA,NA,"G. G. Hatschbach","1966","03","23","Brazil","Paraná","Antonina","-48.7117","-25.4286",NA,NA,"NY00405504","NY00405504_01","Estr. Cacatu-Serra Negra",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=64748' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"isotype","14109","Magnoliophyta","Myrtales","rostrata",NA,NA,NA,NA,NA,NA,NA,NA
