"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","locality","phylum","order","scientificNameAuthorship","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","typeStatus","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:29-03","UNESC","CRI","5379","PreservedSpecimen","Plantae","Fabaceae","Apuleia","leiocarpa","Apuleia leiocarpa","J. A. Jarenkow","1993","01","27","J. A. Jarenkow","1992","12","27","Brasil","Rio Grande do Sul","Marcelino Ramos","-51.908611","-27.467222","51º54'31''W","27º28'2''S","CRI002609","CRI002609",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:16-03","UNESC","CRI","2706","PreservedSpecimen","Plantae","Fabaceae","Apuleia","leiocarpa","Apuleia leiocarpa","A. Burkart",NA,NA,NA,"Reitz; Klein","1964","01","04","Brasil",NA,"Brasil","-53.516667","-26.724444","53º31'0''W","26º43'28''S","CRI002615","CRI002615","16993","700","700","Habitat: mata Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:16-03","UNESC","CRI","2687","PreservedSpecimen","Plantae","Fabaceae","Apuleia","leiocarpa","Apuleia leiocarpa","A. Burkart",NA,NA,NA,"Reitz; Klein","1963","12","31","Brasil","Santa Catarina","Águas de Chapecó","-52.986944","-27.070833","52º59'13''W","27º4'15''S","CRI002617","CRI002617","16771","300","300","Habitat: mata Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:29-03","UNESC","CRI","2093","PreservedSpecimen","Plantae","Fabaceae","Apuleia","leiocarpa","Apuleia leiocarpa","L. B. Smith","1974","08","30","R. Reitz","1974","08","30","Brasil","Santa Catarina","Chapecó","-52.615556","-27.100833","52º36'56''W","27º6'3''S","CRI002607","CRI002607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:29-03","UNESC","CRI","6843","PreservedSpecimen","Plantae","Fabaceae","Apuleia","leiocarpa","Apuleia leiocarpa","S. F. Smith",NA,NA,NA,"R. Reitz","1974","08","30","Brasil","Santa Catarina","Chapecó","-52.618611","-27.096944","52º37'7''W","27º5'49''S","CRI002614","CRI002614","7696","670","670","Habitat: mata Habito: árvore","Perto da Cidade.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:16-03","UNESC","CRI","2688","PreservedSpecimen","Plantae","Fabaceae","Apuleia","leiocarpa","Apuleia leiocarpa","A. Burkart",NA,NA,NA,"Reitz; Klein","1964","01","04","Brasil","Santa Catarina","Romelândia","-53.314722","-26.676667","53º18'53''W","26º40'36''S","CRI002616","CRI002616","17004","700","700",NA,"Serra da Anta.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:16-03","UNESC","CRI","6732","PreservedSpecimen","Plantae","Fabaceae","Apuleia","leiocarpa","Apuleia leiocarpa",NA,NA,NA,NA,"Reitz; Klein","1963","12","31","Brasil","Santa Catarina","Águas de Chapecó","-52.984444","-27.073611","52º59'4''W","27º4'25''S","CRI002613","CRI002613",NA,"300","300","Habitat: mata Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:29-03","UNESC","CRI","2658","PreservedSpecimen","Plantae","Fabaceae","Apuleia","leiocarpa","Apuleia leiocarpa","A. C. Araujo","1994",NA,NA,"P. Fragomeni","1967",NA,NA,"Brasil","Rio Grande do Sul","Passo Fundo","-52.410278","-28.261944","52º24'37''W","28º15'43''S","CRI002608","CRI002608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:16-03","UNESC","CRI","6825","PreservedSpecimen","Plantae","Fabaceae","Apuleia","leiocarpa","Apuleia leiocarpa","A. Burkart",NA,NA,NA,"Reitz; Klein","1963","12","31","Brasil","Santa Catarina","Águas de Chapecó","-52.986944","-27.070833","52º59'13''W","27º4'15''S","CRI002612","CRI002612",NA,"300","300","Habitat: mata Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:29-03","UNESC","CRI","6857","PreservedSpecimen","Plantae","Fabaceae","Apuleia","leiocarpa","Apuleia leiocarpa","R. L. C. Bortoluzzi","2002","02","18","R. M. Klein","1974","06","13","Brasil","Rio Grande do Sul","Salvador do Sul","-51.511389","-29.442778","51º30'41''W","29º26'34''S","CRI003002","CRI003002","11101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00935744","PreservedSpecimen","Plantae","Fabaceae","Apuleia","leiocarpa","Apuleia leiocarpa","L. P. de Queiroz",NA,NA,NA,"G. G. Hatschbach","1995","08","22","Brazil","Minas Gerais","Capitao Enéas","-43.7106","-16.3244",NA,NA,"NY00935744","NY00935744_01","63245",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993997' target='other'> <mi>dwc_moreinfo</mi></a>","Rod. BR-122, próximo do trevo para Orion","Magnoliophyta","Fabales","(Vogel) J.F.Macbr.","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1099471","PreservedSpecimen","Plantae","Fabaceae","Apuleia","leiocarpa","Apuleia leiocarpa molaris","J. F. Ramos",NA,NA,NA,"D. C. Daly","1981","11","14","Brazil","Pará",NA,NA,NA,NA,NA,"NY01099471","NY01099471_01","1344",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1373222' target='other'> <mi>dwc_moreinfo</mi></a>","Approx. 25 km from Tucuruí, Sw on new road serving fazendas. Road construction site","Magnoliophyta","Fabales","(Spruce ex Benth.) Koeppen","South America","sheet","molaris",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1099452","PreservedSpecimen","Plantae","Fabaceae","Apuleia","leiocarpa","Apuleia leiocarpa molaris",NA,NA,NA,NA,"B. A. Krukoff",NA,NA,NA,"Brazil","Amazonas",NA,NA,NA,NA,NA,"NY01099452","NY01099452_01 NY01099452_02","5542",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1370624' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Fabales","(Spruce ex Benth.) Koeppen","South America","sheet","molaris",NA,NA,NA,NA,NA,NA,NA,NA
