"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"1","2020-09-23 10:41:18-03","E","E","46072","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","Harley, R.M. et al","25231","1988","10","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:53533","<a href=http://data.rbge.org.uk/herb/E00046072 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00046072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:18-03","E","E","274330","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","Pott, V.J.; Pott, A.; Lopo, N.; Pereira, R.C.","1109","1989","10","26","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:285139","<a href=http://data.rbge.org.uk/herb/E00274330 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00274330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:18-03","E","E","100004","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","Bridgewater, S., Ratter, J.A. & Filho, J.F.",NA,"1999","04","22","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109296","<a href=http://data.rbge.org.uk/herb/E00100004 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:18-03","E","E","100502","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","Bridgewater, S., Ratter, J.A., Filho, J.F. & Dias, T.",NA,"1999","08","16","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109883","<a href=http://data.rbge.org.uk/herb/E00100502 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:18-03","E","E","56458","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca",NA,"1997","11","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:63455","<a href=http://data.rbge.org.uk/herb/E00056458 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00056458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:18-03","E","E","46072","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","Harley, R.M. et al","25231","1988","10","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:53533","<a href=http://data.rbge.org.uk/herb/E00046072 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00046072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:41:18-03","E","E","274330","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","Pott, V.J.; Pott, A.; Lopo, N.; Pereira, R.C.","1109","1989","10","26","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:285139","<a href=http://data.rbge.org.uk/herb/E00274330 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00274330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:41:18-03","E","E","100004","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","Bridgewater, S., Ratter, J.A. & Filho, J.F.",NA,"1999","04","22","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109296","<a href=http://data.rbge.org.uk/herb/E00100004 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:41:18-03","E","E","100502","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","Bridgewater, S., Ratter, J.A., Filho, J.F. & Dias, T.",NA,"1999","08","16","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109883","<a href=http://data.rbge.org.uk/herb/E00100502 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:41:18-03","E","E","56458","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca",NA,"1997","11","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:63455","<a href=http://data.rbge.org.uk/herb/E00056458 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00056458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
