"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","infraspecificEpithet","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00836832","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","mollis","Dioscorea mollis","Kunth","R. S. Couto","A. M. V. de Carvalho","6744","1999","09","05","South America","Brazil","Bahia","Maraú","Ca. 6 km de Saquaira im direçao a Maraú","-39.0144","-14.1033","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713567' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836832","NY00836832_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01032544","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","mollis","Dioscorea mollis","Kunth","R. S. Couto","R. P. Belém","1509","1965","08","09","South America","Brazil","Espírito Santo",NA,"Reserva Florestal de Sooretama.","-40.10894","-18.996963","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1200828' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032544","NY01032544_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02852068","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","mollis","Dioscorea mollis","Kunth","D. A. do Araújo","J. R. Pirani","3027","1994","02","19","South America","Brazil","Espírito Santo","Conceiçao da Barra","Reserva Biológica de Córrego Grande (IBAMA), a 31 km de Pedro Canário (na Avenida Aracruz) e 6 km da Base do IBAMA.","-39.803704","-18.260749","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3020960' target='other'> <mi>dwc_moreinfo</mi></a>","NY02852068","NY02852068_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-01-28 13:11:10-03","MCN-PUC-MINAS","HPUC-MG","ANG733","S","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","mollis","Dioscorea mollis",NA,"Pedralli","Pedralli e Teixeira",NA,"1993","11","23",NA,"Brasil","Minas Gerais","Clara dos Poções","Município de Clara do Poções",NA,NA,NA,"Doação do CETEC; herbário nº 010632; Coleção: 3430. Liana apoiante.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-01-28 13:11:10-03","MCN-PUC-MINAS","HPUC-MG","ANG734","S","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","mollis","Dioscorea mollis",NA,"Pedralli","Pedralli",NA,"1993","11","23",NA,"Brasil","Minas Gerais","Vaízia de P. lima","Vaízia de P. lima",NA,NA,NA,"Doação do CETEC;herbário nº 010640; Coleção: 3424; cor da flor: verde.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:30:05-03","UFRJ","RFA","42808","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","mollis","Dioscorea mollis","Kunth",NA,"R.S. Couto","860","2013","07","19",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Barra da Tijuca, terreno do campo de Golfe Olimpico antes das intervenções.","-43.2075004577637","-22.9027996063232",NA,"Trepadeira frequente no interior do sub-bosque. Folhas verde-escuras.","RFA38492",NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:30:05-03","UFRJ","RFA","37000","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","mollis","Dioscorea mollis","Kunth","R.S. Couto","R.S. Couto","253","2009","10","02",NA,"Brasil","Rio de Janeiro","Silva Jardim","Rebio Poço das Antas, trilha do 'Boi branco' atrás do centro de visitação","-42.3917007446289","-22.6508007049561",NA,"Trepadeira robusta com o caule repleto de acúleos. Caule de cor verde escuro na base. Folhas coriáceas verde-escuro. Crescendo na sombra, estéril, com ca. 1,5m","RFA23731",NA,"29995","auto","2009","10","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:30:05-03","UFRJ","RFA","37011","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","mollis","Dioscorea mollis","Kunth","R.S. Couto","R.S. Couto; R.C. Lopes & R.S. Candido","121","2008","08","14",NA,"Brasil","Rio de Janeiro","Niterói","Beira da estrada, estrada da trilha, próximo ao mirante da estrada Niterói, Itaipuaçu","-43.012778","-22.577778",NA,"Trepadeira robusta com o caule repleto de acúleos. Caule de cor verde escuro na base. Folhas coriáceas verde-escuro.","RFA23741",NA,NA,NA,"2008","08","14","43º0'46''W","22º34'40''S",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:30:05-03","UFRJ","RFA","37010","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","mollis","Dioscorea mollis","Kunth","R.S. Couto","R.S. Couto; R.C. Lopes & R.S. Candido","119","2008","08","14",NA,"Brasil","Rio de Janeiro","Saquarema","Jaconé","-42.400278","-22.564444",NA,"Trepadeira robusta com o caule repleto de acúleos. Caule de cor verde escuro na base. Folhas coriáceas verde-escuro","RFA23919",NA,NA,NA,"2008","08","14","42º24'1''W","22º33'52''S",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:30:05-03","UFRJ","RFA","34340","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","mollis","Dioscorea mollis","Kunth","R.S.Couto","R.S.Couto","121","2008","08","14",NA,"Brasil","Rio de Janeiro","Saquarema","Vilatur, Restinga da Massambaba. Área aberta.","-42.261389","-22.556111",NA,"Exemplar quase sem folhas, com flores masculinas","RFA30286",NA,NA,NA,"2008","08","14","42º15'41''W","22º33'22''S",NA,NA,NA,NA,NA,NA,NA,NA
