"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","recordedBy","recordNumber","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","locality","minimumElevationInMeters","maximumElevationInMeters","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:20-03","UNESC","CRI","2168","PreservedSpecimen","Plantae","Fabaceae","Senna","silvestris","Senna silvestris","(Vell.) H.S.Irwin & Barneby","1992","1961","01","25","Brasil","Santa Catarina","São José","-48.636944","-27.613889","48º38'13''W","27º36'50''S","CRI003133","CRI003133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:20-03","UNESC","CRI","2162","PreservedSpecimen","Plantae","Fabaceae","Senna","silvestris","Senna silvestris","(Vell.) H.S.Irwin & Barneby","1992","1961","03","02","Brasil","Santa Catarina","São José","-48.636944","-27.613889","48º38'13''W","27º36'50''S","CRI003134","CRI003134","Smith, S. F.","Reitz, R.; Klein, R. M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:49-03","E","E","200673","PreservedSpecimen","Plantae","Leguminosae","Senna","silvestris","Senna silvestris",NA,NA,"1998","11","23","PE",NA,NA,NA,NA,NA,NA,"E00200673",NA,NA,"Pennington, T.D.; Daza, A.","16469","W. Tropical South America","fruit collection/cone collecti","BGBASE:211733","<a href=http://data.rbge.org.uk/herb/E00200673 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:49-03","E","E","99638","PreservedSpecimen","Plantae","Leguminosae","Senna","silvestris","Senna silvestris",NA,NA,"1999","04","22","BR",NA,NA,NA,NA,NA,NA,"E00099638",NA,NA,"Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:108955","<a href=http://data.rbge.org.uk/herb/E00099638 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:40:49-03","E","E","190317","PreservedSpecimen","Plantae","Leguminosae","Senna","silvestris","Senna silvestris",NA,NA,"1998","11","23","PE","Departamento Junín",NA,"-75.066667","-10.5","-75.066667","-10.500000","E00190317",NA,NA,"Pennington, T.D.; Daza, A.","16469","W. Tropical South America","herbarium specimen of unspecif","BGBASE:210409","<a href=http://data.rbge.org.uk/herb/E00190317 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Pasco, Villa Rica to Iscozacin, Cacharra","530","530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3942","PreservedSpecimen","Plantae","Fabaceae","Cassia","silvestris","Cassia silvestris olivacea","Chodat & Hassl.",NA,NA,NA,NA,"Paraguay",NA,NA,NA,NA,NA,NA,"NY00003942","NY00003942_01",NA,"E. Hassler","8017","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=501099' target='other'> <mi>dwc_moreinfo</mi></a>","Prope Bellavista (Apa)",NA,NA,"Magnoliophyta","Fabales","olivacea","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3941","PreservedSpecimen","Plantae","Fabaceae","Cassia","silvestris","Cassia silvestris ferruginea","Chodat & Hassl.",NA,NA,NA,NA,"Paraguay",NA,NA,NA,NA,NA,NA,"NY00003941","NY00003941_01",NA,"E. Hassler","8017a","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=524671' target='other'> <mi>dwc_moreinfo</mi></a>","Prope Bellavista (Apa)",NA,NA,"Magnoliophyta","Fabales","ferruginea","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01839724","PreservedSpecimen","Plantae","Fabaceae","Senna","silvestris","Senna silvestris silvestris","(Vell.) H.S.Irwin & Barneby",NA,"1981","02","15","Venezuela","Amazonas","Atabapo","-65.22","2.87",NA,NA,"NY01839724","NY01839724_01","R. C. Barneby","J. A. Steyermark","124350","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2095815' target='other'> <mi>dwc_moreinfo</mi></a>","Alto Río Orinoco, selva macrotérmica húmeda a lo largo de la pista de aterrizaje de Ocamo (Santa María de los Guaicas).","220",NA,"Magnoliophyta","Fabales","silvestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00981268","PreservedSpecimen","Plantae","Fabaceae","Senna","silvestris","Senna silvestris silvestris","(Vell.) H.S.Irwin & Barneby",NA,"1980","09","18","Brazil","Tocantins","Pium","-50.5","-10.5",NA,NA,"NY00981268","NY00981268_01","R. C. Barneby","J. A. Ratter","R4437","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1098352' target='other'> <mi>dwc_moreinfo</mi></a>","Ilha do Bananal, Parque Nacional do Araguaia (IBDF), nr HQ (c. 2 km from Macaúba).",NA,NA,"Magnoliophyta","Fabales","silvestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00981287","PreservedSpecimen","Plantae","Fabaceae","Senna","silvestris","Senna silvestris silvestris","(Vell.) H.S.Irwin & Barneby",NA,"1968","02","25","Brazil","Minas Gerais",NA,"-43.58","-18.55",NA,NA,"NY00981287","NY00981287_01","H. S. Irwin; R. C. Barneby","H. S. Irwin","20873","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1098268' target='other'> <mi>dwc_moreinfo</mi></a>","Serra do Espinhaço, at Lapinha, ca. 21 km N. of Sêrro on road (MG 2) to Diamantina.","1200","1200","Magnoliophyta","Fabales","silvestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
