"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","county","class","dayIdentified","coordinatePrecision","individualCount","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","778","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","amazoniciformis","Eschweilera amazoniciformis","S.A.Mori","isotype","L. Coêlho","161","1972","05","South America","Brazil","Amazonas","Estrada Manaus-Itacoatiara, Km 178","-59.0703535","-2.9086248","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41596' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000778","NY00000778_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00689733","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","amazoniciformis","Eschweilera amazoniciformis","S.A.Mori",NA,"S. A. Mori","27270","2008","08","South America","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501 (km 41) da WWF/INPA Projeto Dinâmica Biológica dos Fragmentos Florestais.","-59.73055556","-2.41625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1153006' target='other'> <mi>dwc_moreinfo</mi></a>","NY00689733","NY00689733_01","S. A. Mori","25","50","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00682413","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","amazoniciformis","Eschweilera amazoniciformis","S.A.Mori",NA,"M. G. M. Van Roosmalen",NA,"1987","09","South America","Brazil","Amazonas","Reserva km 41 of the World Wildlife Fun/INPA Minimum Critical Size of Ecosystems Project. 80km N of Manaus.","-60.0397468","-2.6191496","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=818335' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682413","NY00682413_01","S. A. Mori","06","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01074360","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","amazoniciformis","Eschweilera amazoniciformis","S.A.Mori",NA,"S. A. Mori","20277","1989","04","South America","Brazil",NA,"Distrito Agropecuário - Reserva 1501 (Km 41) of the WWF/INPA MCS Project.","-59.74583","-2.41625","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1512662' target='other'> <mi>dwc_moreinfo</mi></a>","NY01074360","NY01074360_01",NA,"07","50","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00689787","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","amazoniciformis","Eschweilera amazoniciformis","S.A.Mori",NA,"S. A. Mori","27244","2008","08","South America","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501 (km 41) da WWF/INPA Projeto Dinâmica Biológica dos Fragmentos Florestais.","-59.73055556","-2.41625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1148295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00689787","NY00689787_01","S. A. Mori","22","50","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01074356","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","amazoniciformis","Eschweilera amazoniciformis","S.A.Mori",NA,"S. A. Mori","20258","1989","03","South America","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501; Km 41 of the WWF/INPA MCS Project.","-59.74583","-2.41625","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1512637' target='other'> <mi>dwc_moreinfo</mi></a>","NY01074356","NY01074356_01",NA,"11","50","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00682383","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","amazoniciformis","Eschweilera amazoniciformis","S.A.Mori",NA,"S. A. Mori","19326","1988","10","South America","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501 (km 41) of the WWF/INPA MCS Project","-59.7277778","-2.4077778","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=818203' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682383","NY00682383_01",NA,"22","50","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00682409","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","amazoniciformis","Eschweilera amazoniciformis","S.A.Mori",NA,"H. L. Vasconcelos","J20","1985","09","South America","Brazil","Amazonas","Faz. Dimona BR-174, km 72.","-60.0447357","-2.3488711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=818331' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682409","NY00682409_01",NA,"05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01074351","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","amazoniciformis","Eschweilera amazoniciformis","S.A.Mori",NA,"S. A. Mori","20580","1989","07","South America","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501 (km 41) of the WWF/INPA MCS project.","-59.74583333","-2.41625","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1512615' target='other'> <mi>dwc_moreinfo</mi></a>","NY01074351","NY01074351_01","S. A. Mori","10","50","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01074358","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","amazoniciformis","Eschweilera amazoniciformis","S.A.Mori",NA,"S. A. Mori","20279","1989","04","South America","Brazil",NA,"Distrito Agropecuário - Reserva 1501 (Km 41) of the WWF/INPA MCS Project.","-59.74583","-2.41625","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1512648' target='other'> <mi>dwc_moreinfo</mi></a>","NY01074358","NY01074358_01",NA,"10","50","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
