"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","517912","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","aurata","Schefflera aurata","Fiaschi","P. Fiaschi","W. W. Thomas","9440","1992","11","14","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-Ieao (IBAMA), 46 km north on BA-001 between Ilhéus and Una. Una Reserve","-39.08","-15.15","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162001' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517912","NY00517912_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","688092","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","aurata","Schefflera aurata","Fiaschi",NA,"P. Fiaschi","988","2002","02","05","South America","Brazil","Bahia",NA,"Reserva Biológica de Una. Trilha do Principe.","-39.06666667","-15.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=845216' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688092","NY00688092_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:09:22-03","UFBA","ALCB","027097","PreservedSpecimen","Plantae","Dicotyledon",NA,"Araliaceae","Schefflera","aurata","Schefflera aurata","Fiaschi","Fiaschi, P","Thomas, W; Carvalho, AM de; Amorim, AMA; Jardim, JG; Lisboa, MS","9440","1992","11","14","Southern America","Brasil","Bahia","Una","Litoral Sul, Reserva Biológica do Mico-Leão (IBAMA), 46 km north on BA-001 between Ilhéus and Una","-39.083333","-15.15",NA,"5 m tall. Leaves coriaceus, dark green above, pale scurfy brown beneath. inflorescences and young fruit pale scurfy brown. Mature fruit green.","ALCB062081","ALCB062081","parátipo","2019","02","06","-39.083333","-15.15",NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:13:28-03","MBM","MBM","301893","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","aurata","Schefflera aurata","Fiaschi",NA,"Fiaschi, P.; et al.; et al.","988","2002","02","05","Southern America","Brazil","Bahia","Una","Reserva Biológica de Una. Trilha do Príncipe.","-39.0752983093262","-15.2932996749878",NA,"Árvore bastante comum ca. 9m alt. Fuste ca. 7m compr. DAP ca. 10cm. Folhas agrupadas no ápice dos ramos. Folíolos horizontais, coriáceos e levemente conduplicados. Margem revoluta. Lâmina fortemente discolor, com face adaxial verde e","MBM301893","MBM301893",NA,NA,NA,NA,NA,NA,"36070","auto",NA,NA,NA,NA
"5","2020-12-21 16:13:28-03","MBM","MBM","301893","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","aurata","Schefflera aurata","Fiaschi","Fiaschi, P.","Fiaschi, P.; Pirani, J.R.; Groppo Jr, M.; Marcato, A.C.; Paixão, J.L.; Pirani, J.R.; Groppo Jr, M.; Marcato, A.C.; Paixão, J.L.","988","2002","02","05","Southern America","Brazil","Bahia","Una","Reserva Biológica do Mico Leão, Trilha do Príncipe","-39.066667","-15.183333",NA,"Árvore bastante comum, ca. 9 m alt. Fuste ca. 7 m compr. DAP ca 10 cm. Folhas agrupadas no ápice dos ramos. Folíolos horizontais, coriáceos e levemente conduplicados. Margem revoluta. Lâmina fortemente discolo, com face adaxial verde","MBM301893","MBM301893","ISOTYPE","2004",NA,NA,"-39.066667","-15.183333",NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:32:05-03","UFMG","BHCB","91403","PreservedSpecimen","Plantae","Dicotyledon",NA,"Araliaceae","Schefflera","aurata","Schefflera aurata","Fiaschi",NA,"Fiaschi, P; Pirani, JR; Groppo Jr.; M.; Marcato, AC; Paixão, JL","988","2002","02","05","Southern America","Brasil","Bahia","Una","Reserva biológica de Una, Trilha do Príncipe","-39.066667","-15.183333",NA,"Árvore bastante comum, ca. 9m de altura. Fuste ca. 7m compr. DaP ca. 10 cm. Folhas agrupadas no ápice dos ramos. Folíolos horizontais, coriáceos e levemente conduplicados. Margem revoluta. Lâmina fortemente discolor, com face adaxial","BHCB000027","BHCB000027 BHCB000027_01","Isotypus","2004",NA,NA,"-39.066667","-15.183333",NA,NA,NA,NA,NA,NA
"7","2020-06-15 15:28:38-03","UNESP-RC","HRCB","68317","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","aurata","Schefflera aurata","Fiaschi",NA,"Moraes, P.L.R.",NA,NA,NA,NA,NA,"Brasil","Bahia","Una","REBIO de Una","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36070","auto",NA,NA,NA,NA
"8","2021-03-15 18:25:04-03","USP","SPF","155756","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","aurata","Schefflera aurata","Fiaschi","Fiaschi, P","Fiaschi, P; Pirani, JR; Groppo, M; Marcato, AC; Paixão, JL","988","2002","02","05",NA,"Brasil","Bahia","Una","Reserva Biológica de Una, Trilha do Príncipe. Mata Higrófila Sul Bahiana sobre solo arenoso.","-39.066667","-15.176667",NA,"Árvore bastante comum, ca. 9m alt. Fuste ca. 7 m compr. DAP ca. 10 cm. Folhas agrupadas no ápice dos ramos. Folíolos horizontais, coriáceos e levemente conduplicados. Margem revoluta. Lâmina fortemente discolor, com face adaxial verd","SPF00155756",NA,"holotype","2004",NA,NA,"-39.066667","-15.176667",NA,NA,NA,NA,NA,NA
"9","2019-11-13 11:15:39-03","USP","SPF","231130","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","aurata","Schefflera aurata","Fiaschi","Antar, GM","Melito, M","82","2012","03","01",NA,"Brasil","Bahia","Una","Reserva Biológica de Una","-39.054722","-15.159722",NA,NA,"SPF00231130",NA,NA,"2017","08",NA,"-39.054722","-15.159722",NA,NA,NA,NA,NA,NA
"10","2019-10-07 09:10:50-03","UEFS","HUEFS","22548","PreservedSpecimen","Plantae","Angiospermae","Apiales","Araliaceae","Schefflera","aurata","Schefflera aurata","Fiaschi","P.Fiaschi","Thomas, W.W.","9440","1992","11","14",NA,"Brasil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA).","-39.083333","-15.15",NA,NA,"HUEFS0022548","HUEFS0022548",NA,"2007","08",NA,"39W5'","15S9'",NA,NA,"Asteranae",NA,NA,NA
