"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","dayIdentified","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-08-20 10:08:42-03","UNICAMP","UEC","120289","S","Plantae","Magnoliopsida","Cactaceae","Hatiora","herminiae","Hatiora herminiae","(Porto & Castellanos) Backeb. ex Barthlott","Meireles, LD","2001","08","Meireles, LD","328","2001","06","28","Brazil","Minas Gerais","Camanducaia","Monte Verde, Afloramento da Pedra do Selado","-46.1446990966797","-22.7553005218506","22140","Epífita com flores róseas, as mais internas vermelhas, estames amarelos.","UEC087536","UEC087536","auto",NA,NA,NA
"2","2019-08-20 10:08:42-03","UNICAMP","UEC","120998","S","Plantae","Magnoliopsida","Cactaceae","Hatiora","herminiae","Hatiora herminiae","(Porto & Castellanos) Backeb. ex Barthlott","Meireles, LD","2001","10","Meireles, LD","480","2001","08","21","Brazil","Minas Gerais","Camanducaia","Monte Verde, Floresta Ombrófila Densa Alto-Montana","-46.1446990966797","-22.7553005218506","22140","Rupícola, pendente em local inclinado, ramos verdes-arroxeados, flores róseas com pétalas internas alaranjadas.","UEC087534","UEC087534","auto",NA,NA,NA
"3","2021-03-01 16:27:13-03","UNICAMP","UEC","36264","S","Plantae","Magnoliopsida","Cactaceae","Hatiora","herminiae","Hatiora herminiae","(Porto & Castellanos) Backeb. ex Barthlott","Gonzaga, DR","2015","09","Kinoshita, LS; Taroda, N","16489","1984","09","22","Brazil","São Paulo","Campos do Jordão","Estrada entre Reserva do Inst. Florestal para S. José dos Alpes, mais ou menos 7 Km.","-45.5900001525879","-22.7299995422363","21048","Epífita, flores púrpura.","UEC041374","UEC041374","auto","14","1700","1700"
"4","2019-11-13 11:17:20-03","USP","SPF","80941","PreservedSpecimen","Plantae",NA,"Cactaceae","Hatiora","herminiae","Hatiora herminiae","(Porto & A.Cast.) Backeb. ex Barthlott","Zappi, DC","1988",NA,"Zappi, DC","75","1988","10","01","Brasil","São Paulo","Campos do Jordão","Parque Estadual de Campos do Jordão","-45.5900001525879","-22.7299995422363","21048",NA,"SPF00080941",NA,"auto",NA,NA,NA
