"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","typeStatus","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","895074","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip. ex Baker","G. M. Barroso","H. S. Irwin","30247","1971","01","13","South America","Brazil","Minas Gerais","Serra do Espinhaço, near summit of Serra da Piedade, ca. 35 km E. of Belo Horizonte, near BR-31","-43.67613","-19.82237","1800","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895074","NY00895074_01 NY00895074_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-19 15:43:23-03","UNEB","HUNEB","11845","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asteraceae","Mikania","warmingii","Mikania warmingii","Sch. Bip. ex Baker",NA,"Almeida, G.S.S.","282","2006","01","28",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi: Trilha do Calais.","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"HUNEB0011845",NA,"Dicotyledoneae","Ouro Preto","44599","auto",NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:37:06-03","EAO","IAN","76431","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip.",NA,"Warming, JEB","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN076431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:15:57-03","UFV","VIC","29120","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch. Bip. ex Baker",NA,"Almeida, G.S.S.; Cústódio, J.","366","2006","04","17",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi, Trilha do Pico do Itacolomi","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Subarbusto ereto de 1 m, brácteas involucrais glabras, flores alvas, cipsela glandulosa pontuadas papilho creme.","VIC029120",NA,NA,"Ouro Preto","44599","auto",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:15:57-03","UFV","VIC","29121","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch. Bip. ex Baker",NA,"Almeida, G.S.S.; Cústódio, J.","282","2006","01","28",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi, Trilha do Calais","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Subarbusto ereto de 1 m, brácteas involucrais glabras, flores alvas, cipsela glandulosa pontuadas papilho creme.","VIC029121",NA,NA,"Ouro Preto","44599","auto",NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:32:04-03","UFJF","CESJ","25634","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip.","J.N. Nakajima","L. Krieger","CESJ25634","1988","05","16","América do Sul","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Arbustinho, flores de cor creme. As folhas com cheiro forte (terebentina). No campoi cambisolo.","CESJ025634",NA,NA,"São Sebastião da Vitória",NA,NA,"2003","05",NA,NA,NA,NA,NA
"7","2019-11-21 14:32:04-03","UFJF","CESJ","16228","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip.","J.N. Nakajima","L. Krieger","CESJ16228","1978","05","26","América do Sul","Brasil","Minas Gerais",NA,"-43.6918983459473","-20.5207996368408",NA,NA,NA,"Erva até 1 m., sarmentsa, flores creme esverdeadas. Folhas com cheiro forte, resinoso.","CESJ016228",NA,NA,"Ouro Branco","13809","auto","2003","05",NA,NA,NA,NA,NA
"8","2021-03-01 16:24:51-03","UNICAMP","UEC","2206","S","Plantae","Magnoliopsida",NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip. ex Baker","Nakajima, JN","Joly, AB; Sendulsky, T; Pereira, SMB; Joly, AM; Martins, F","1966","1972","04","17",NA,"Brazil","Minas Gerais","Km 126 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752","1200","1200",NA,"Arbusto 80 cm, capítulo branco.","UEC128762","UEC128762",NA,"Jaboticatubas","31264","auto","1999","11",NA,NA,NA,NA,NA
"9","2021-03-01 16:24:51-03","UNICAMP","UEC","82350","S","Plantae","Magnoliopsida",NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip. ex Baker","Oliveira, CT","Lucca, M","23","1993","04","10",NA,"Brazil","Minas Gerais","P.N. Serra do Cipó. Coletada na região do Congonhas. Abaixo da Casa de Pedra, próximo ao córrego Gavião.","-43.7144012451172","-19.1688995361328","1100","1100",NA,"Arbustivo.; Campo rupestre (afloramento rochoso).","UEC128761","UEC128761",NA,"Santana Do Riacho","26557","auto","2015","08",NA,NA,NA,NA,NA
"10","2021-03-01 16:24:51-03","UNICAMP","UEC","111785","S","Plantae","Magnoliopsida",NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip. ex Baker","Nakajima, JN","Nakajima, JN; Romero, R; Alcantara, MB","1116","1995","05","15",NA,"Brazil","Minas Gerais","Estrada S.Roque-Sacramento, próximo a Torre de observação.","-46.3657989501953","-20.2453002929688",NA,NA,NA,"Subarbusto, ca. 0,5m. Brácteas esverdeadas. Corola e estigmas brancos.; Campo rupestre.","UEC128763","UEC128763",NA,"São Roque de Minas","57119","auto","1998",NA,NA,NA,NA,NA,NA
"11","2015-10-04 12:06:31-03","MNHN","RECOLNAT_MNHN_P","P00706929","PreservedSpecimen",NA,NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip. ex Baker",NA,"Warming, E.",NA,NA,NA,NA,NA,"Brésil",NA,"Province de Minas Geraes : Serra de Piedade",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00706929' target='other'> <mi>dwc_moreinfo</mi></a>","P00706929","P00706929_01",NA,NA,NA,NA,NA,NA,"syntype",NA,NA,NA,NA
"12","2020-12-11 11:33:19-03","UFMG","BHCB","188015","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip. ex Baker",NA,"Meyer, PB; Brina, AE; Paula, NL de","3009","2017","03","30","Southern America","Brasil","Minas Gerais","Serra dos Alves","-43.825128","-19.818661",NA,NA,NA,"Arbusto com aproximadamente 80 cm. Capítulos com flores creme e brácteas castanho escuras.Indivíduo totalmente isolado; Campo Ruprestre sobre Quartzito","BHCB188015",NA,NA,"Itabira",NA,NA,"2017","04",NA,"12","-43.825128","-19.818661",NA
