"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","1146214","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","subrugosum","Piper subrugosum","Yunck.","W. Trujillo Calderon","P. J. M. Maas","9836","2009","05","08","South America","Brazil","Espírito Santo","Linhares","Reserva do Vale de Rio Doce, Estrada Oiticica.","-40","-19.09","36","36","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1333727' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146214","NY01146214_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1085695","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","subrugosum","Piper subrugosum","Yunck.",NA,"A. P. Duarte","3663& J. C. Gomes 390","1953","11","14","South America","Brazil","Espírito Santo",NA,"Nova Venécia. Serra de Cima","-40.4","-18.7",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250350' target='other'> <mi>dwc_moreinfo</mi></a>","NY01085695","NY01085695_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","283790","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","subrugosum","Piper subrugosum","Yunck.",NA,"A. P. Duarte","3664","1953","11","14","South America","Brazil","Espírito Santo","Nova Venécia",NA,"-40.4006","-18.7108",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=130727' target='other'> <mi>dwc_moreinfo</mi></a>","NY00283790","NY00283790_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:39:48-03","MBM","MBM","347344","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","subrugosum","Piper subrugosum","Yunck.",NA,"Duarte, A.P.; Gomes, J.C.; Gomes, J.C.","3664","1953","11","14","Southern America","Brazil","Espírito Santo","Nova Venécia","Serra de Cima","-40.4006004333496","-18.710599899292",NA,NA,NA,"Planta de subosque em formação primária. Subarbusto de ca. 2m de alt.; Subarbusto de ca. 2m de altura.; Subosque em formação primária.","MBM347344","MBM347344","ISOTYPE","42400","auto",NA,NA,NA,NA,NA,NA
"5","2021-02-25 10:13:13-03","CVRD","CVRD","14147","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","subrugosum","Piper subrugosum","Yunck.","N.F.O. Mota","J.R. Stehmann","4628","2007","02","06","América do Sul","BRASIL","ES","Linhares","Curso de Taxonomia UFMG","-40.056944","-19.160361","46","46",NA,"Erva de 1 m. de altura no sub-bosque de mata de tabuleiro. Frutos verdes e flores cremes. <ll>dwc_commonname:</ll> Barandi rugoso","CVRD014147",NA,NA,NA,NA,"Magnoliopsida","2007","02","12","40°03'25,0W","19°09'37,3S"
"6","2021-02-25 10:13:13-03","CVRD","CVRD","14008","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","subrugosum","Piper subrugosum","Yunck.","Mota, N.F.O.","J.R. Stehmann","4601","2007","02","06","América do Sul","BRASIL","ES","Linhares","Curso de Taxonomia UFMG","-40.056944","-19.160361","46","46",NA,"Arbusto de 1m. de altura no sub-bosque. Inflorescência esverdeada. <ll>dwc_commonname:</ll> Barandi rugoso","CVRD014008",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,"40°03'25,0W","19°09'37,3S"
"7","2019-10-07 09:23:30-03","UEFS","HUEFS","59910","PreservedSpecimen","Plantae","Angiospermae","Piperales","Piperaceae","Piper","subrugosum","Piper subrugosum","Yunck.","D.Monteiro","Mattos-Silva, L.A.","4329","2001","06","26",NA,"Brasil","Bahia","Ilhéus","Mata da Esperança, trilha ao longo da barragem, lado direito. Mata Higrófila Sul Baiana.","-39.0494003295898","-14.7889003753662",NA,NA,NA,"Mata Atlântica.","HUEFS0059910","HUEFS0059910",NA,"61245","auto","Magnolianae","2014",NA,NA,NA,NA
