"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","individualCount","coordinatePrecision","geoFlag","monthIdentified","relatedCatalogItem"
"1","2017-05-17 10:21:00-03","NY","NYBG","02610104","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","laevicarpum","Piper laevicarpum","D. Monteiro","747","2012","06","17","South America","Brazil","Espírito Santo","Santa Teresa","Museu de Biologia Prof. Mello Leitão. mata do entorno do Museu.","-40.599444","-19.938889","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2916911' target='other'> <mi>dwc_moreinfo</mi></a>","NY02610104","NY02610104_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01488325","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","laevicarpum","Piper laevicarpum","B. Maguire","56615","1963","09","12","South America","Brazil","Rondônia",NA,"Bananeiras, along Madeira-Mamore Railway.","-65.3503624","-10.6557605","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1733230' target='other'> <mi>dwc_moreinfo</mi></a>","NY01488325","NY01488325_02","Yunck.","R. Callejas Posada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01198277","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","laevicarpum","Piper laevicarpum","W. W. Thomas","12618","2001","10","25","South America","Brazil","Bahia","Boa Nova","Fazenda Sao José entrance 8.8 km E of Boa Nova on road to Dario Meira","-40.145367","-14.39383","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=734201' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198277","NY01198277_01","Yunck.","A. J. Bornstein","860","900",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","251414","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","laevicarpum","Piper laevicarpum","A. C. Brade","18241","1946","05","15","South America","Brazil","Espírito Santo","Itaguaçu","Jatiboca","-40.884085","-19.954583","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=304502' target='other'> <mi>dwc_moreinfo</mi></a>","NY00251414","NY00251414_01","Yunck.",NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-06 19:30:08-03","UFES","VIES","28217","S","Plantae",NA,NA,"Piperaceae","Piper","laevicarpum","Piper laevicarpum","Sarnaglia-Jr., V.B.","404","2011","06","08",NA,"Brasil","Espírito Santo","Itarana","Estrada Alto Limoeiro - Alto Jatibocas. Floresta Ombrófila Densa Alto Montana.","-40.849444","-19.969722",NA,NA,"VIES028217","VIES028217","Yunck.","E.F. Guimarães",NA,NA,NA,"2011","40º50'58''W","19º58'11''S",NA,NA,NA,NA,NA
"6","2012-02-17 13:10:00-02","MO","MOBOT","100450435","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","laevicarpum","Piper laevicarpum","W. Wayt Thomas|et al.","Thomas 12618","2001","10","25","South America","Brazil","Bahia","Boa Nova","Fazenda São José entrance 8.8 km E of Boa Nova on road to Dario Meira. Southern Bahian Wet Forest.","-40.1453667","-14.3938333",NA,NA,NA,NA,"Yunck.","A. J. Bornstein","860.00000000","900.00000000",NA,NA,NA,NA,"1",NA,NA,NA,NA
"7","2018-05-11 05:21:00-03","MO","MOBOT","100660932","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","laevicarpum","Piper laevicarpum","M.C. Assis|Renato de Mello-Silva|B.L. Stannard|E. M. Nic Lughadha","Assis 580","1999","2","14","South America","Brazil","Espírito Santo","Itarana","Fazenda do Sr. Frederico Sideler, em mata em cima do morro.","-40.875301361084","-19.8738994598389",NA,NA,NA,NA,"Yunck.","A. Bornstein","710.00000000",NA,NA,NA,NA,NA,"1","23320","auto",NA,NA
"8","2020-08-31 09:14:07-03","INPA","INPA","40508","S","Plantae","Dicotyledon Magnoliids","Piperales","Piperaceae","Piper","laevicarpum","Piper laevicarpum","Lleras, E","P17314","1973","08","16","Southern America","Brasil","Amazonas",NA,"Rio Javari, São Paulo de Olivenca, Behind São Paulo de Olivença. Secondary forest on terra firme, white sand.","-69.6","-3.791028",NA,NA,"INPA0040508","INPA0040508_e1 INPA0040508_e2 INPA0040508_nd","Yunck.","Callejas, R",NA,NA,NA,"1981","-69.6","-3.791028",NA,NA,NA,NA,NA
"9","2020-07-10 09:48:53-03","MBML","MBML-HERBARIO","5454",NA,"Plantae",NA,NA,"Piperaceae","Piper","laevicarpum","Piper laevicarpum","Dalva Lorenzoni","23","1989","01","16",NA,"Brasil","Espírito Santo","Santa Teresa","Valão de São Lourenço","-40.620556","-19.931111",NA,"Arbusto +/- 1m, de altura, folhas verdes. Inflorescência.","MBML005454",NA,"Yuncker","M. A. Jaramillo/09-06-2005",NA,NA,NA,NA,"40W37'14","19S55'52",NA,NA,NA,NA,NA
"10","2020-07-10 09:48:53-03","MBML","MBML-HERBARIO","8572",NA,"Plantae",NA,NA,"Piperaceae","Piper","laevicarpum","Piper laevicarpum","L. Kollmann; E. Bausen","1377","1998","12","29",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica Caixa D'Água","-40.6075","-19.931389",NA,"Planta 1m. Na sombra. Espiga branca.","MBML008572",NA,"Yuncker","Elsie F. Guimarães/2000",NA,NA,NA,NA,"40W36'27","19S55'53",NA,NA,NA,NA,NA
