"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01009691","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Pseudolmedia","laevigata","Pseudolmedia laevigata","Trécul","B. A. Krukoff","8383","1936","09","11","South America","Brazil","Amazonas","São Paulo de Olivença","Basin of Rio Solimoes, near Palmares.","-69.5048332","-4.696879","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2330306' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009691","NY01009691_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","869248","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Pseudolmedia","laevigata","Pseudolmedia laevigata","Trécul","P. W. Richards","R598","1967","04","09","South America","Brazil","Mato Grosso",NA,"10 km S. of Xavantina.","-52.33","-14.73","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032475' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869248","NY00869248_01","C. C. Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1009709","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Pseudolmedia","laevigata","Pseudolmedia laevigata","Trécul","O. C. Nascimento","845","1978","10","30","South America","Brazil","Amazonas",NA,"Camanaus, Rio Miua.","-66.8315935","-0.015707","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2330325' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009709","NY01009709_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1009710","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Pseudolmedia","laevigata","Pseudolmedia laevigata","Trécul","G. T. Prance","15794","1971","10","22","South America","Brazil","Amazonas",NA,"Ponte de Guariba near Tapuruquara","-65.0192","-0.4142","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2330326' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009710","NY01009710_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1009704","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Pseudolmedia","laevigata","Pseudolmedia laevigata","Trécul","J. M. Poole","2107","1979","07","21","South America","Brazil","Amazonas","São Gabriel da Cachoeira","NW of São Gabriel, near mouth of the Rio Uaupés.","-67.3404837","0.0917208","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2330319' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009704","NY01009704_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1009705","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Pseudolmedia","laevigata","Pseudolmedia laevigata","Trécul","C. A. Cid Ferreira","6614","1986","03","06","South America","Brazil","Amazonas","Presidente Figueiredo","Canteiro de obras da Hidrelétrica de Balbina, a 8 km a montante da barragem, margem direita, área a ser inundada. Linha S-06","-59.3986","-1.8742","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2330320' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009705","NY01009705_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1009695","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Pseudolmedia","laevigata","Pseudolmedia laevigata","Trécul","R. de Lemos Fróes","858","1942","04","27","South America","Brazil","Amazonas","São Gabriel da Cachoeira","Basin of Rio Negro. Busseh Cussi, basin of Castanha River.","-67.0892","-0.130278","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2330310' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009695","NY01009695_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1009693","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Pseudolmedia","laevigata","Pseudolmedia laevigata","Trécul","G. C. G. Argent","6797","1968","08","28","South America","Brazil","Mato Grosso",NA,"Near Brejo Block II, Base Camp gallery.","-51.77","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2330308' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009693","NY01009693_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1009699","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Pseudolmedia","laevigata","Pseudolmedia laevigata","Trécul","W. A. Ducke","640","1940","11","26","South America","Brazil","Amazonas",NA,"São Paulo de Olivença","-68.9350837","-3.4711744","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2330314' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009699","NY01009699_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","865407","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Pseudolmedia","laevigata","Pseudolmedia laevigata","Trécul","G. T. Prance","2767","1966","10","24","South America","Brazil","Acre","Cruzeiro do Sul","Rio Jurua, 2-4 km west of Cruzeiro do Sul","-72.6697","-7.6311","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561665' target='other'> <mi>dwc_moreinfo</mi></a>","NY00865407","NY00865407_01","C. C. Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
