"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","894793","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lomatozona","artemisiifolia","Lomatozona artemisiifolia","Baker","H. E. Robinson","H. S. Irwin","11786","1966","01","19","South America","Brazil","Goiás","Goiás","Serra Dourada, Summit of Serra Dourada, 20 km S.E. of Goiás Velho","-50.00122","-16.0611","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965738' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894793","NY00894793_01",NA,NA,NA,NA,NA,NA,NA
"2","2021-02-04 10:26:32-03","UFRPE","HST","3543","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lomatozona","artemisiifolia","Lomatozona artemisiifolia","Baker","G.Barroso","Rizzo","4328","1969","07","02",NA,"Brasil","Goiás","Mossâmedes","Divisa dos municípios de Goiás e Mossâmedes","-50.2150001525879","-16.1266994476318",NA,NA,NA,"Corola roxa.","HST003543",NA,"1970","05","05","30139","auto",NA,NA
"3","2019-06-05 10:33:11-03","UFG","HJ","2558","S","Plantae",NA,NA,"Asteraceae","Lomatozona","artemisiifolia","Lomatozona artemisiifolia","Baker",NA,"Souza, L.F.","2185","2005","04","27",NA,"Brasil","Goiás","Serranópolis","RPPN Pousada das Araras.","-51.995278","-18.439444",NA,NA,NA,NA,"HJ00002558","HJ00002558",NA,NA,NA,NA,NA,"51º59'43''W","18º26'22''S"
"4","2020-04-15 09:23:19-03","UFG","HJ","2886","S","Plantae",NA,NA,"Asteraceae","Lomatozona","artemisiifolia","Lomatozona artemisiifolia","Baker","Luzia Francisca de Souza","Guilherme, F.A.G.","552","2007","03","06",NA,"Brasil","Goiás","Aparecida do Rio Doce","PCH Irara.","-51.086944","-18.135833","546","546",NA,NA,"HJ00002886","HJ00002886","2014","06","04",NA,NA,"51º5'13''W","18º8'9''S"
"5","2019-11-01 14:54:12-03","UnB","UB","24678","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lomatozona","artemisiifolia","Lomatozona artemisiifolia","Baker","Incógnito","Irwin, HS","11786","1966","01","19","Southern America","Brasil","Goiás",NA,"Serra Dourada, ca. 20km SE of Goiás Velho",NA,NA,"800","800",NA,"Viscous subshrub 0,35m. Fruiting heads dried; Among rocks in cerrado",NA,NA,NA,NA,NA,NA,NA,NA,NA
