"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00982692","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Camptosema","bellum","Camptosema bellum","(Mart. ex Benth.) Benth.","L. P. de Queiroz","L. P. de Queiroz","4977","1998","03","18","South America","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, vale verde, ao longo do corrego caparó","-41.8683","-20.4333","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1109373' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982692","NY00982692_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02634276","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Camptosema","bellum","Camptosema bellum","(Mart. ex Benth.) Benth.",NA,"L. de S. Leoni","6813","2007","03","02","South America","Brazil","Minas Gerais","Araponga","Parque Estadual Brigadeiro, próximo à sede do parque","-42.5208015441895","-20.6667003631592","1300",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2935047' target='other'> <mi>dwc_moreinfo</mi></a>","NY02634276","NY02634276_01","16385","auto",NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:41:18-03","EAO","IAN","1141","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Camptosema","bellum","Camptosema bellum","(Mart.) Benth.",NA,"Martius, CFP von","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN001141","IAN001141_f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:41:18-03","EAO","IAN","13674","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Camptosema","bellum","Camptosema bellum","(Mart.) Benth.","Queiroz, LP de","Badini, J","s.n.","1941","04",NA,"Southern America","Brasil","Minas Gerais","Ouro Preto","Capoeira","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Flores vermelhas, trepadeira.","IAN013674","IAN013674 IAN013674_e","44599","auto","2007","05",NA,NA,NA,NA,NA
"5","2020-11-04 11:08:26-03","ESALQ","ESA","64366","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Bionia","bella","Bionia bella","Mart. Ex Benth.","Lewis, G.P.","Souza, V.C.; Souza, J.P.; Forster, W.; Mazine, F.F.","23209.0","2000","02","16",NA,"Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó. Vale Verde. Floresta Aluvial, ao longo do Rio Caparaó","-41.8683013916016","-20.4333000183105",NA,NA,NA,"Escandente; inflorescência pendente, flores vermelhas","ESA064366",NA,"21645","auto","2013",NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:08:26-03","ESALQ","ESA","81810","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Bionia","bella","Bionia bella","Mart. ex Benth.","Souza, V.C.","Queiroz, L.P.","4877.0","1998","03","18",NA,"Brasil","Minas Gerais","Alto do Caparaó",NA,NA,NA,NA,NA,NA,NA,"ESA081810","ESA081810",NA,NA,"2012","03","15",NA,NA,NA,NA
"7","2019-02-22 11:46:16-03","IPA","IPA","62791","S","Plantae","Plantae",NA,"Leguminosae-Pap.","Camptosema","bellum","Camptosema bellum","(Mart.) Benth.","Queiroz, L.P. de","Queiroz, L.P. de; Leoni, L.S.; Leoni, L.S.","4977","1998","03","18","Southern America","Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale verde ao longo do córrego caparaó. Sub-bosque da mata","-41.8683013916016","-20.4333000183105","1200","1200",NA,"Trepadeira semi-lenhosa, volúvel, escandente a até ca. 3m altura, florescendo até 1,7m. Folíolos papiráceos a cartáceos, faces adaxial verde-escuroas, concolores. Pedúnculo verde-acastanhado, nodosidades e pedicelos avermelhados. Flor","IPA0062791",NA,"21645","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:17:09-03","UFV","VIC","041718","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Bionia","bella","Bionia bella","Mart. ex Benth.",NA,"Siqueira, L.C. de","642","2012","02","24",NA,"Brasil","Minas Gerais","Araponga","PESB, No morro das cascas da lavanderia e residências. Sede do PESB.","-42.5208015441895","-20.6667003631592",NA,NA,NA,"Trepadeira de flor vermelho escuro.","VIC041718","VIC041718","16385","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:17:09-03","UFV","VIC","041852","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Bionia","bella","Bionia bella","Mart. ex Benth.",NA,"Siqueira, L.C. de","875","2013","10","16",NA,"Brasil","Minas Gerais","Araponga","PESB, Serra das Cabeças, mata próxima a pousada Serra d'água.","-42.5208015441895","-20.6667003631592",NA,NA,NA,"Trepa","VIC041852","VIC041852","16385","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:17:09-03","UFV","VIC","28320","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Bionia","bella","Bionia bella","Mart. ex Benth.","Dutra, V.F.","Dutra, V.F.; Garcia, F.C.P.","182","2004","03","16",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi (PEI), Baú. Mata secundária.","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Trepadeira; cálice e corola vermelhos; filetes brancos.","VIC028320","VIC028320","44599","auto","2004","03","16",NA,NA,NA,NA
