"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem"
"421","2020-05-08 11:10:05-03","UEFS","HUEFS","134201","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Albizia","inundata","Albizia inundata","L.P.de Queiroz","Lemos-Lyra, R.P.","6995","2002","10","19",NA,"Brasil","Alagoas","Pão de Açúcar","Ilha de Ferro Margem do Rio São Francisco.","-37.4366989135742","-9.74833011627197",NA,NA,"Mata Ciliar.","HUEFS0134201","HUEFS0134201","(Mart.) Barneby & J.W.Grimes",NA,"2009","09",NA,NA,NA,NA,"34758","auto","Rosanae",NA,NA,NA
"422","2020-05-08 11:10:05-03","UEFS","HUEFS","169577","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Albizia","inundata","Albizia inundata","L.P.de Queiroz","Silva, A.C.C.","160","2009","12","05",NA,"Brasil","Sergipe","Poço Redondo","Unid. De Conser. Monumento narural Grota do Angico.","-37.684398651123","-9.80500030517578",NA,NA,"Caatinga.","HUEFS0169577","HUEFS0169577","(Mart.) Barneby & J.W.Grimes",NA,"2011","04",NA,NA,NA,NA,"32343","auto","Rosanae",NA,NA,NA
"423","2020-05-08 11:10:05-03","UEFS","HUEFS","111788","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Albizia","inundata","Albizia inundata","L.P.de Queiroz","Lacerda, A.V.","310","2005","01","19",NA,"Brasil","Paraíba","São João do Cariri","Zona Rural Rio Taperoá.","-36.5327987670898","-7.39083003997803",NA,NA,NA,"HUEFS0111788","HUEFS0111788","(Mart.) Barneby & J.W.Grimes",NA,"2009","01",NA,NA,NA,NA,"33254","auto","Rosanae",NA,NA,NA
"424","2019-09-24 14:20:20-03","F","FMNH-SEEDPLANTS","V0527993F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Albizia","inundata","Albizia inundata",NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0527993F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"425","2019-09-24 14:20:20-03","F","FMNH-SEEDPLANTS","V0527992F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Albizia","inundata","Albizia inundata",NA,NA,NA,NA,NA,NA,"South America","Argentina",NA,NA,NA,"-64.9208","-35.3869",NA,NA,NA,"V0527992F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"426","2019-09-24 14:20:20-03","F","FMNH-SEEDPLANTS","V0527991F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Albizia","inundata","Albizia inundata",NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0527991F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"427","2015-03-07 01:39:09-03","F","FMNH-SEEDPLANTS","V0115907F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Albizia","inundata","Albizia inundata",NA,NA,NA,NA,NA,NA,"South America","Paraguay",NA,NA,NA,"-58.1689","-23.2025",NA,NA,NA,"V0115907F","V0115907F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"428","2015-03-07 01:39:09-03","F","FMNH-SEEDPLANTS","V0115908F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Albizia","inundata","Albizia inundata",NA,NA,NA,NA,NA,NA,"South America","Argentina",NA,NA,NA,"-64.9208","-35.3869",NA,NA,NA,"V0115908F","V0115908F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"429","2015-03-07 01:39:04-03","F","FMNH-SEEDPLANTS","V0116394F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Albizia","inundata","Albizia inundata",NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0116394F","V0116394F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"430","2015-03-07 01:39:04-03","F","FMNH-SEEDPLANTS","V0116395F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Albizia","inundata","Albizia inundata",NA,NA,NA,NA,NA,NA,"South America","Argentina",NA,NA,NA,"-64.9208","-35.3869",NA,NA,NA,"V0116395F","V0116395F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
