"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","relationshipType","fieldNumber","individualCount","sex","infraspecificEpithet"
"11","2021-04-05 14:33:44-03","UNESC","CRI","12778","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora","(Spreng.) Tul.","Jader Lima Pereira & Daniela Niero Nazario","Daniela Niero Nazario; Jader Lima Pereira",NA,"2017","09","30","Brasil","Santa Catarina","Treviso",NA,"-49.523333","-28.489444","49º31'24''W","28º29'22''S",NA,NA,"CRI011042","CRI011042","2017","11","16","Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:25:35-03","UNESC","CRI","11797","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora","(Spreng.) Tul.","Guilherme Lodetti","Guilherme Alves Elias; Robson dos Santos, Peterson T. Padilha & Guilherme Lodetti",NA,"2016","04","04","Brasil","Santa Catarina","Grão Pará","Parque Estadual Serra Furada.","-49.391944","-28.189444","49º23'31''W","28º11'22''S","5","5","CRI004780","CRI004780",NA,NA,NA,"Floresta Ombrófila Densa Montana Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:25:35-03","UNESC","CRI","11946","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora","(Spreng.) Tul.","Aline Votri Guislon","Aline Votri Guislon; Peterson Teodoro Padilha; Guilherme Alves Elias & Altamir Rocha Antunes",NA,"2014","02","12","Brasil","Santa Catarina","Grão Pará",NA,"-49.421389","-28.136944","49º25'17''W","28º8'13''S","450","450","CRI010092","CRI010092","2016","09","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:25:35-03","UNESC","CRI","815","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora","(Spreng.) Tul.",NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Valdemar Piazza Boff","1178","1991","09","12","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004779","CRI004779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-09-23 10:41:40-03","E","E","304830","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora",NA,NA,"Hind, D.J.N.; Queiroz, R.F.",NA,"1992","01","27","BR","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,"E00304830",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00304830 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:315104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-09-29 10:40:00-03","NY","NYBG","454265","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora",NA,NA,"F. C. Hoehne",NA,"1931","11","11","Brazil","São Paulo","Sao Paulo","Parque do Estado e Jardim Botânico","-46.621883","-23.654505",NA,NA,NA,NA,"NY00454265","NY00454265_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302884' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-30 18:56:00-03","NY","NYBG","719863","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora",NA,NA,"R. J. Almeida-Scabbia","5030","2007","10","17","Brazil","São Paulo","Santo André","Suborefeitura de Paranapiacaba e Parque Andreense, Uniflor","-46.465739","-23.760325",NA,NA,NA,NA,"NY00719863","NY00719863_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2523698' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-29 10:40:00-03","NY","NYBG","454270","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora",NA,"A. Peixoto","H. C. de Lima","3012","1987","06","25","Brazil","Rio de Janeiro","Santa Maria Madalena","Pedra Dubois","-41.98","-21.95",NA,NA,"800","1280","NY00454270","NY00454270_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302877' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-29 10:40:00-03","NY","NYBG","454269","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora",NA,"R. Reitz","L. B. Smith","7534","1956","11","12","Brazil","Santa Catarina","Ibirama","Horto Florestal, Ibirama","-49.5178","-27.0569",NA,NA,"450","700","NY00454269","NY00454269_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302875' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-09-29 10:40:00-03","NY","NYBG","454264","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora",NA,"F. C. Hoehne","F. C. Hoehne",NA,"1931","11","11","Brazil","São Paulo","Sao Paulo","Parque do Estado e Jardim Botânico","-46.621883","-23.654505",NA,NA,NA,NA,"NY00454264","NY00454264_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302878' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
