"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","eventTime","individualCount","fieldNumber","previousCatalogNumber"
"1","2021-04-05 14:25:08-03","UNESC","CRI","14558","PreservedSpecimen","Plantae","Combretaceae","Buchenavia","kleinii","Buchenavia kleinii","Exell","Santos, R.","2012","06","28","Padilha, P. T.; Ceron, K. & Santos, R.","32","2012","06","28","Brasil","Santa Catarina","Criciúma","-49.370278","-28.678333","49º22'13''W","28º40'42''S","14 m de altura Habito: Arbórea","CRI013862","CRI013862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:08-03","UNESC","CRI","3275","PreservedSpecimen","Plantae","Combretaceae","Buchenavia","kleinii","Buchenavia kleinii","Exell","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1895","1993","01","15","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S",NA,"CRI006497","CRI006497","Rio Novo.","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","565464","PreservedSpecimen","Plantae","Combretaceae","Buchenavia","kleinii","Buchenavia kleinii","Exell","A. W. Exell",NA,NA,NA,"R. M. Klein","940","1954","12","27","Brazil","Santa Catarina","Ibirama","-49.5178","-27.0569",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=477974' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565464","NY00565464_01 NY00565464_02","Horto Florestal I.N.P.","250","250","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","565466","PreservedSpecimen","Plantae","Combretaceae","Buchenavia","kleinii","Buchenavia kleinii","Exell","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","18271","1968","01","11","Brazil","Paraná","Guaraqueçaba","-48.3289","-25.3069",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=477980' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565466","NY00565466_01","Serrinha","50","100","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1182132","PreservedSpecimen","Plantae","Combretaceae","Buchenavia","kleinii","Buchenavia kleinii","Exell",NA,NA,NA,NA,"H. C. de Lima","4378","1992","02","19","Brazil","Rio de Janeiro",NA,"-42.883","-22.483",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1397514' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182132","NY01182132_01","Área da parcela 1, atrás da casa de hóspedes do Centro de primatologia do Rio de Janeiro. Area 1D.",NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","565471","PreservedSpecimen","Plantae","Combretaceae","Buchenavia","kleinii","Buchenavia kleinii","Exell","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","18512","1968","01","30","Brazil","Paraná","Guaraqueçaba","-48.3289","-25.3069",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=477982' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565471","NY00565471_01","Rio do Cedro","50","100","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","565467","PreservedSpecimen","Plantae","Combretaceae","Buchenavia","kleinii","Buchenavia kleinii","Exell",NA,NA,NA,NA,"R. M. Klein","2915","1956","03","29","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=477984' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565467","NY00565467_01 NY00565467_02",NA,"250","250","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","565470","PreservedSpecimen","Plantae","Combretaceae","Buchenavia","kleinii","Buchenavia kleinii","Exell","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","18512","1968","01","30","Brazil","Paraná","Guaraqueçaba","-48.3289","-25.3069",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=477981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565470","NY00565470_01","Rio do Cedro","50","100","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","565474","PreservedSpecimen","Plantae","Combretaceae","Buchenavia","kleinii","Buchenavia kleinii","Exell","R. Reitz",NA,NA,NA,"R. M. Klein","2158","1957","01","11","Brazil","Santa Catarina","Palhoça","-48.694057","-27.77489",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=477977' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565474","NY00565474_01","Piloes","300","300","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","565472","PreservedSpecimen","Plantae","Combretaceae","Buchenavia","kleinii","Buchenavia kleinii","Exell","A. W. Exell",NA,NA,NA,"R. M. Klein","1182","1955","03","10","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=477975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565472","NY00565472_01 NY00565472_02","Cunhas","10","10","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
