"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","barcode","identifiedBy","decimalLongitude","decimalLatitude","occurrenceRemarks","coordinatePrecision","geoFlag","phylum","order","continentOcean","imagecode","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-02-18 09:30:18-03","UNESP-IBB","BOTU","9137","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","guimaraensii","Acianthera guimaraensii","(Brade) F.Barros","1973","01","22","Amaral Jr., A.","1285","1972","12","08","Brasil","São Paulo","Botucatu","À margem do Rio Pardo, mata próxima ao rio","9999","9999","BOTU009137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-18 09:30:18-03","UNESP-IBB","BOTU","9138","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","guimaraensii","Acianthera guimaraensii","(Brade) F.Barros","1973","03","12","Amaral Jr., A.","1350","1973","01","03","Brasil","São Paulo","Botucatu","Fazenda Mac, a mais ou menos 15km de Botucatu, mata de banhado","9999","9999","BOTU009138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:30:18-03","UNESP-IBB","BOTU","9077","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","guimaraensii","Acianthera guimaraensii","(Brade) F.Barros",NA,NA,NA,"Amaral Jr., A.","1042","1972","08","25","Brasil","São Paulo","Botucatu","À margem do Rio Pardo","9999","9999","BOTU009077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-08 11:09:41-03","UNESP-IBB","BOTU","28361","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","guimaraensii","Anathallis guimaraensii",NA,"2011","08","21","Marcusso, G.M.","10A","2011","06","15","Brasil","São Paulo","Botucatu",NA,"48°27'28w","22°55'23 s","BOTU028361","Marcusso, G.M.","-48.457778","-22.923056",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-08 11:09:41-03","UNESP-IBB","BOTU","28362","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","guimaraensii","Anathallis guimaraensii",NA,"2011","08","21","Marcusso, G.M.","10B","2011","06","15","Brasil","São Paulo","Botucatu",NA,"48°27'28w","22°55'23 s","BOTU028362","Marcusso, G.M.","-48.457778","-22.923056",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","9013","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","guimaraensii","Pleurothallis guimaraensii","Brade","1976","09","02","Amaral Jr., A.","1694","1974","02","12","Brasil","São Paulo","Botucatu","Fazenda MAC, a mais ou menos 15km de Botucatu","9999","9999","BOTU009013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","30871","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","guimaraensii","Pleurothallis guimaraensii","Brade","1973","02","22","Amaral Jr., A.","1083","1972","09","15","Brasil","São Paulo","Botucatu","Próximo à antena de TU","9999","9999","BOTU030871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","30873","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","guimaraensii","Pleurothallis guimaraensii","Brade","1973","02","22","Amaral Jr., A.","804","1972","01","31","Brasil","São Paulo","Botucatu","Estrada Santa Maria","9999","9999","BOTU030873","Amaral Jr., A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-31 13:41:14-03","MN","R","222183","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","guimaraensii","Pleurothallis guimaraensii","Brade","1958","10","04","Silveira, A.A.","2191","1897","04",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"Pabst, G.F.J.",NA,NA,"Comissão Geográfica e Geologica de Minas",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-11 17:20:51-03","UFPR","UPCB","84877","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","guimaraensii","Acianthera guimaraensii","(Brade) F.Barros","2015",NA,NA,"Klingelfuss, M.","126","2014","04",NA,"Brasil","Paraná","Mauá da Serra",NA,NA,NA,NA,"Toscano de Brito, A.L.V.","-51.2294006347656","-23.9013996124268","Amostra conservada em solução de glicerina com álcool..","16036","auto",NA,NA,NA,NA,NA,NA
