"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","fieldNumber","dayIdentified","class","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","505082","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Oncidium","trulliferum","Oncidium trulliferum","Lindl.","G. F. J. Pabst","G. G. Hatschbach","25755","1970","12","03","South America","Brazil","Paraná","Piraquara","Serra do Emboque","-49.0631","-25.4419","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193044' target='other'> <mi>dwc_moreinfo</mi></a>","NY00505082","NY00505082_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","6653","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Baptistonia","venusta","Baptistonia venusta","(Drapiez) Chiron",NA,"Amaral Jr., A.","1395","1973","01","23",NA,"Brasil","São Paulo","Botucatu","Faxinal, a mais ou menos 20km do Distrito de Rubião Júnior pela estrada Monte Alegre",NA,NA,NA,NA,NA,NA,"BOTU006653",NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-07-05 11:14:20-03","FFCLRP","LBMBP","372","S","Plantae",NA,NA,"Orchidaceae","Oncidium","trulliferum","Oncidium trulliferum","Lindl.","E.R. Pansarin","L.M. Pansarin",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-20 10:00:46-03","UNICAMP","UEC","139758","S","Plantae","Liliopsida",NA,"Orchidaceae","Gomesa","venusta","Gomesa venusta","(Drapiez) M.W.Chase & N.H.Williams","Meneguzzo, TEC","Breier, TB; Singer, RB","345a","2002","07","03",NA,"Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, Parcelas permanentes. Na parcela permanente sobre árvore número 132.","-47.9199981689453","-25.0100002288818",NA,NA,NA,NA,"UEC001826","UEC001826",NA,NA,"2015","37574","auto",NA,NA,NA,NA,NA,NA
"5","2019-08-20 10:00:46-03","UNICAMP","UEC","140319","S","Plantae","Liliopsida",NA,"Orchidaceae","Gomesa","venusta","Gomesa venusta","(Drapiez) M.W.Chase & N.H.Williams","Meneguzzo, TEC","s/ coletor","s.n.","2004","12","23",NA,"Brazil","São Paulo","Jundiaí","Cultivado no Orquidário do Vico.","-46.8800010681152","-23.1800003051758",NA,NA,NA,"Data de floração: 23/12/2004. Cultivado no Orquidário do Vico.","UEC001833","UEC001833",NA,NA,"2015","17840","auto",NA,NA,NA,NA,NA,NA
"6","2020-10-14 10:03:57-03","FURB","FURB","31343","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Baptistonia","venusta","Baptistonia venusta","(Drapiez) Chiron","Mancinelli, WS; Engels, ME; Smidt, EC","Cadorin, T.J.; Grosch, B. & Zimmermann, R.","1305","2010","02","16",NA,"Brasil","Santa Catarina","Blumenau","Parque Nacional da Serra do Itajaí - Morro do Spitzkopf.","-49.1180556","-27.0069444","249","249",NA,"Epífita IFFSC e8001b (Acima de 4m), forófito 6. Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita; flor amarela","FURB03893","FURB03893","-49.1180556","-27.0069444","2012",NA,NA,"04",NA,NA,NA,NA,NA
"7","2020-12-21 16:38:15-03","MBM","MBM","397429","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Baptistonia","venusta","Baptistonia venusta","(Drapiez) Chiron","Cordeiro, J.","Roher, D.; Daniel, V.; Daniel, V.","s.n.","2013","04","04","Southern America","Brazil","Santa Catarina","Garuva","Resgate de flora LT 230 kv Joinville Norte - Curitiba C2","-48.896211","-25.976831",NA,NA,NA,"Epífita.; Floresta Ombrófila Densa.","MBM397429","MBM397429","-48.896211","-25.976831",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:38:42-03","MBM","MBM","7758","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","trulliferum","Oncidium trulliferum","Lindl.","Pabst, G.","Hatschbach, G.","18513","1968","01","30","Southern America","Brazil","Paraná","Guaraqueçaba","Rio do Cedro","-48.3288993835449","-25.3066997528076",NA,NA,NA,"Epífita.","MBM007758","MBM007758",NA,NA,NA,"37295","auto",NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:38:42-03","MBM","MBM","48903","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","trulliferum","Oncidium trulliferum","Lindl.","Pabst, G.","Hatschbach, G.; Smith, L.B.; Smith, L.B.","3928","1957","04","14","Southern America","Brazil","Paraná","Morretes","Rio Mãe Catira","-48.834400177002","-25.476900100708",NA,NA,NA,"Epífita.","MBM048903","MBM048903",NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:38:42-03","MBM","MBM","16979","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","trulliferum","Oncidium trulliferum","Lindl.","Pabst, G.","Hatschbach, G.","25755","1970","12","03","Southern America","Brazil","Paraná","Piraquara","Serra do Emboque","-49.0633010864258","-25.4416999816895",NA,NA,NA,"Epífita.","MBM016979","MBM016979",NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA
"11","2020-12-21 16:38:42-03","MBM","MBM","7757","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","trulliferum","Oncidium trulliferum","Lindl.","Pabst, G.","Hatschbach, G.","17803","1968","03","09","Southern America","Brazil","Paraná","Antonina","Cabeceira Rio Faisqueira","-48.7118988037109","-25.4286003112793",NA,NA,NA,"Epífita.","MBM007757","MBM007757",NA,NA,NA,"38300","auto",NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:38:42-03","MBM","MBM","48902","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","trulliferum","Oncidium trulliferum","Lindl.","Pabst, G.","Hatschbach, G.","3272","1953","04","18","Southern America","Brazil","Paraná","Guaratuba","Garuva","-48.5746994018555","-25.8827991485596",NA,NA,NA,"Epífita.","MBM048902","MBM048902",NA,NA,NA,"41937","auto",NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:38:42-03","MBM","MBM","48901","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","trulliferum","Oncidium trulliferum","Lindl.","Pabst, G.","Hatschbach, G.","8781","1961","11","16","Southern America","Brazil","Paraná","Guaratuba","Pedra Branca de Araraquara","-48.5746994018555","-25.8827991485596",NA,NA,NA,"Epífita.","MBM048901","MBM048901",NA,NA,NA,"41937","auto",NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:38:42-03","MBM","MBM","10717","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","trulliferum","Oncidium trulliferum","Lindl.","Pabst, G.","Hatschbach, G.","21257","1969","03","14","Southern America","Brazil","Paraná","Paranaguá","Pico Torto","-48.5092010498047","-25.5200004577637",NA,NA,NA,"Epífita.","MBM010717","MBM010717",NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA
