"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","typeStatus","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1275135","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","giganteum","giganteum","Protium giganteum giganteum","Engl.","D. C. Daly","J. M. Pires","11121","1967","10","16","South America","Brazil","Pará","Belém","IPEAN, Reserva Mocambo","-48.417263","-1.4402643","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1523853' target='other'> <mi>dwc_moreinfo</mi></a>","NY01275135","NY01275135_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1275164","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","giganteum","crassifolium","Protium giganteum crassifolium","(Engl.) Daly","D. C. Daly","J.-J. de Granville","2820","1978","01","26","South America","French Guiana","Cayenne","Sinnamary","piste de St Elie PK 16.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1524229' target='other'> <mi>dwc_moreinfo</mi></a>","NY01275164","NY01275164_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1275141","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","giganteum","giganteum","Protium giganteum giganteum","Engl.","D. C. Daly","G. T. Prance","1714","1965","10","27","South America","Brazil","Pará",NA,"Vicinity of Cachoeira, km 96. Road BR 22, Capanema to Maranhão.","-46.537506","-1.765546","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1523915' target='other'> <mi>dwc_moreinfo</mi></a>","NY01275141","NY01275141_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02218597","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","giganteum","giganteum","Protium giganteum giganteum","Engl.",NA,"C. A. Cid Ferreira","9619","1987","11","18","South America","Brazil","Pará","Oriximiná","Cachoeira Porteira, próximo ao Porto do Índio","-57.0516345","-1.0837999","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2356209' target='other'> <mi>dwc_moreinfo</mi></a>","NY02218597","NY02218597_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02591525","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","giganteum","giganteum","Protium giganteum giganteum","Engl.","D. C. Daly","M. O. D. Pivari","1664","2012","12","08","South America","Brazil","Pará",NA,"Canaã dos Carajás, Area da Pilha trilha interior Mata; Interior da mata.","-50.3273942","-6.4586144","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2894623' target='other'> <mi>dwc_moreinfo</mi></a>","NY02591525","NY02591525_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1275145","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","giganteum",NA,"Protium giganteum","Engl.","D. C. Daly","W. L. Balée","1219","1985","08","07","South America","Brazil","Pará","Viseu","Basin of the Rio Gurupi; Tembé Indian Reserve; 6km SSW of F.U.N.A.I. Post Canindé.","-46.1167","-1.2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1523926' target='other'> <mi>dwc_moreinfo</mi></a>","NY01275145","NY01275145_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02218613","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","giganteum","giganteum","Protium giganteum giganteum","Engl.",NA,"H. T. Beck","230","1987","10","29","South America","Brazil","Pará",NA,"Ilha de Marajó. Rio Anajás.","-50.1666669","-1.1666669","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2358086' target='other'> <mi>dwc_moreinfo</mi></a>","NY02218613","NY02218613_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1275150","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","giganteum","giganteum","Protium giganteum giganteum","Engl.","D. C. Daly","D. C. Daly","1885","1981","12","08","South America","Brazil","Pará",NA,"Serra dos Carajás: Azul, near camp at Serra Norte (22 km NW, then 10-15 km SW).","-50.47","-5.98","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1523941' target='other'> <mi>dwc_moreinfo</mi></a>","NY01275150","NY01275150_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1275123","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","giganteum","giganteum","Protium giganteum giganteum","Engl.","D. C. Daly","C. A. Cid Ferreira","6600","1986","03","05","South America","Brazil","Amazonas","Presidente Figueiredo","Canteiro de obras da Hidrelétrica de Balbina, a 8 km a montante da barragem. Linha S-03.","-59.4734144","-1.9155557","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1411734' target='other'> <mi>dwc_moreinfo</mi></a>","NY01275123","NY01275123_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-27 05:50:00-03","NY","NYBG","1275163","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","giganteum","crassifolium","Protium giganteum crassifolium","(Engl.) Daly","D. C. Daly","D. R. L. Sabatier","3970","1992","05","06","South America","French Guiana",NA,NA,"Crique Passoura.","-52.68","5.13","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1524215' target='other'> <mi>dwc_moreinfo</mi></a>","NY01275163","NY01275163_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1275126","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","giganteum","giganteum","Protium giganteum giganteum","Engl.","D. C. Daly","A. P. da Silva","s.n.","1989","10","28","South America","Brazil","Amazonas","Manaus","Ca 90 km N de Manaus, Distrito Agropecuario da Suframa,. Rodovia BR-174, km 72, depois 6 km oeste da BR, Fazenda Dimona. Reserva Nº 2303.","-60.0917441","-2.326638","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1523637' target='other'> <mi>dwc_moreinfo</mi></a>","NY01275126","NY01275126_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
