"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00895734","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Declieuxia","cordigera","cordigera","Declieuxia cordigera cordigera","Mart. & Zucc. ex Schult. & Schult.f.","G. M. Barroso","J. A. Rizzo","4522","1969","10","04","South America","Brazil","Goiás","Serra Dourada, divisa dos munic. de Mossâmedes ao sul e Goiás ao norte, area da UFG.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895734","NY00895734_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","949685","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Declieuxia","cordigera","cordigera","Declieuxia cordigera cordigera","Mart. & Zucc. ex Schult. & Schult.f.","J. H. Kirkbride Jr.","W. R. Anderson","35186","1972","02","02","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 8 km N of Gouevia on road to Diamantina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032145' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949685","NY00949685_01","-43.69205","-18.41995","1220","1220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","949661","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Declieuxia","cordigera","cordigera","Declieuxia cordigera cordigera","Mart. & Zucc. ex Schult. & Schult.f.","J. H. Kirkbride Jr.","C. T. Rizzini","s.n.","1949","08","08","South America","Brazil","Minas Gerais","Lagoa Santa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032017' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949661","NY00949661_01","-43.8894","-19.6272",NA,NA,"Lagoa Santa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","396825","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Declieuxia","cordigera","angustifolia","Declieuxia cordigera angustifolia","Müll.Arg.","J. H. Kirkbride Jr.","L. Riedel",NA,"1821",NA,NA,"South America","Brazil",NA,"Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733041' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396825","NY00396825_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","949662","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Declieuxia","cordigera","cordigera","Declieuxia cordigera cordigera","Mart. & Zucc. ex Schult. & Schult.f.","J. H. Kirkbride Jr.","M. Emmerich","1638","1963","12","19","South America","Brazil","Minas Gerais","Poços de Caldas, Morro do ferro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032025' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949662","NY00949662_01","-46.5614","-21.7881",NA,NA,"Poços de Caldas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","396837","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Declieuxia","cordigera","angustifolia","Declieuxia cordigera angustifolia","Müll.Arg.","J. H. Kirkbride Jr.","A. C. Brade","20735","1951","04","26","South America","Brazil","São Paulo","Serra de Bocaina. Alto da Boa Vista","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733039' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396837","NY00396837_01","-44.647293","-22.798889","1800","1800","Sao José do Barreiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00895735","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Declieuxia","cordigera","cordigera","Declieuxia cordigera cordigera","Mart. & Zucc. ex Schult. & Schult.f.","P. G. Delprete","V. L. Gomes-Klein","3283","1997","10","26","South America","Brazil","Goiás","Reserva Biológica Prof. José Angelo Rizzo- Serra Dourada, área próximo ao alojamento","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967298' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895735","NY00895735_01","-50.215","-16.1269",NA,NA,"Mossâmedes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","396831","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Declieuxia","cordigera","angustifolia","Declieuxia cordigera angustifolia","Müll.Arg.","J. H. Kirkbride Jr.","I. Mimura","151","1961","12","20","South America","Brazil","São Paulo","6-6.5 km ao SW ao longo da rodovia Pres. Dutra da saida para Sao José. 100-500 m ao lado SE da rodovia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396831","NY00396831_01","-45.88","-23.1703","600","600","Sao José dos Campos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","949668","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Declieuxia","cordigera","cordigera","Declieuxia cordigera cordigera","Mart. & Zucc. ex Schult. & Schult.f.","J. H. Kirkbride Jr.","P. Clausen","51",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032053' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949668","NY00949668_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","949654","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Declieuxia","cordigera","cordigera","Declieuxia cordigera cordigera","Mart. & Zucc. ex Schult. & Schult.f.","J. H. Kirkbride Jr.","P. Clausen","51",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031984' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949654","NY00949654_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
