"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","coordinatePrecision","individualCount","geoFlag","continentOcean","preparationType","class","relatedCatalogItem","relationshipType","infraspecificEpithet","previousCatalogNumber","typeStatus","fieldNumber"
"1","2021-04-05 14:25:06-03","UNESC","CRI","11935","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","elliptica","Rhipsalis elliptica","G.Lindb. ex K.Schum.","M. F. Freitas","2011","01","19","A. Stival-Santos; E. Legal & S. Silveira","2370","2010","04","06","Brasil","Santa Catarina","Angelina","Linha do Chaves.","-48.96","-27.54","48º57'36''W","27º32'24''S","718","718","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: epífita","CRI008734","CRI008734",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1355","S","Plantae","Cactaceae","Rhipsalis","elliptica","Rhipsalis elliptica","G.Lindb. ex K.Schum.","Nygel Taylor",NA,NA,NA,"Juliana Ordones Rego;",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça,Padre Caio","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Caryophyllales","33136","2","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1341","S","Plantae","Cactaceae","Rhipsalis","elliptica","Rhipsalis elliptica","G.Lindb. ex K.Schum.","Nygel Taylor",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Caryophyllales",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1365","S","Plantae","Cactaceae","Rhipsalis","elliptica","Rhipsalis elliptica","G.Lindb. ex K.Schum.","Nygel Taylor",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Vargem Grande","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Caryophyllales","57442","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","645643","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","elliptica","Rhipsalis elliptica","G.Lindb. ex K.Schum.","N. P. Taylor; D. C. Zappi",NA,NA,NA,"D. R. Hunt","6485","1966","08","03","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos, Parque Nacional. Between Abrigos I and II",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155157' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645643","NY00645643_01 NY00645643_02","Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","645637","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","elliptica","Rhipsalis elliptica","G.Lindb. ex K.Schum.","N. P. Taylor; D. C. Zappi",NA,NA,NA,"E. Pereira","4076","1958","07","28","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155156' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645637","NY00645637_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","645648","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","elliptica","Rhipsalis elliptica","G.Lindb. ex K.Schum.",NA,NA,NA,NA,"A. Löfgren","45419","1917",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155168' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645648","NY00645648_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","645645","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","elliptica","Rhipsalis elliptica","G.Lindb. ex K.Schum.","A. Castellanos",NA,NA,NA,"R. Reitz","2888","1956","03","22","Brazil","Santa Catarina","Luis Alves","Braço Joaquim, Luis Alves","-48.941177","-26.748537",NA,NA,"450","450","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155159' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645645","NY00645645_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","645646","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","elliptica","Rhipsalis elliptica","G.Lindb. ex K.Schum.",NA,NA,NA,NA,"J. N. Rose","43168","1915",NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"Cultivated from original collection, Rose 20845 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155166' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645646","NY00645646_01 NY00645646_02","Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","645642","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","elliptica","Rhipsalis elliptica","G.Lindb. ex K.Schum.","A. Castellanos",NA,NA,NA,"R. Reitz","3072","1956","04","12","Brazil","Santa Catarina","Ibirama","Hôrto Florestal I. N. P., Ibirama","-49.5178","-27.0569",NA,NA,"450","450","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155158' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645642","NY00645642_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
