"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","phylum","order","class","minimumElevationInMeters","maximumElevationInMeters","individualCount"
"1","2016-02-02 14:38:05-02","BGBM","B","B 10 0247852","S","Plantae","Eriocaulaceae","Paepalanthus","bellus","Paepalanthus bellus","Moldenke","isotype","G. Hatschbach","7394","1960","10","21","Middle and South America","Brazil","Parana: Guarapuava, Rio Coutinho, Zona de campo: do brejo.","<a href=http://herbarium.bgbm.org/object/B100247852 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100247852","B100247852",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:23:35-03","MBM","MBM","67636","PreservedSpecimen","Plantae","Eriocaulaceae","Paepalanthus","bellus","Paepalanthus bellus","Moldenke",NA,"Hatschbach, G.","42246","1980","10","26","Southern America","Brazil","Rio Campo Real",NA,"MBM067636","MBM067636","Moldenke, H.N.","Paraná","Guarapuava","-51.4580993652344","-25.395299911499","53832","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:23:35-03","MBM","MBM","427921","PreservedSpecimen","Plantae","Eriocaulaceae","Paepalanthus","bellus","Paepalanthus bellus","Moldenke",NA,"Lozano, E.D.; Engels, M.E.; Engels, M.E.","2293","2013","12","12","Southern America","Brazil","Fazenda Capão Redondo","Herbácea, 10 cm, inflorescência alva, margem de rio lajeado de basalto.; Campos de Guarapuava.","MBM427921",NA,"Lozano, E.D.","Paraná","Candói","-51.803222","-25.423556",NA,NA,"2018","-51.803222","-25.423556",NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:23:35-03","MBM","MBM","428631","PreservedSpecimen","Plantae","Eriocaulaceae","Paepalanthus","bellus","Paepalanthus bellus","Moldenke",NA,"Lozano, E.D.","4002","2017","10","22","Southern America","Brazil","Praia do Riacho Grande, arredores","Herbácea, 20 cm, inflorescência alva, em beira de estrada, campo sujo com solo úmido exposto. Prensada com álcool.; Restinga.","MBM428631",NA,"Sauthier, L.J.","Espírito Santo","Conceição da Barra","-39.686611","-18.350472",NA,NA,"2018","-39.686611","-18.350472",NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:23:35-03","MBM","MBM","81672","PreservedSpecimen","Plantae","Eriocaulaceae","Paepalanthus","bellus","Paepalanthus bellus","Moldenke",NA,"Hatschbach, G.","46027","1983","01","14","Southern America","Brazil","Cachoeira dos Turcos",NA,"MBM081672","MBM081672","Moldenke, H.N.","Paraná","Guarapuava","-51.4580993652344","-25.395299911499","53832","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:23:35-03","MBM","MBM","37329","PreservedSpecimen","Plantae","Eriocaulaceae","Paepalanthus","bellus","Paepalanthus bellus","Moldenke","ISOTYPE","Hatschbach, G.","7394","1960","10","21","Southern America","Brazil","Rio Coutinho","Do brejo; Do brejo.","MBM037329","MBM037329","Moldenke, H.N.","Paraná","Guarapuava","-51.4580993652344","-25.395299911499","53832","auto","1963",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-11 17:18:47-03","UFPR","UPCB","4586","PreservedSpecimen","Plantae","Eriocaulaceae","Paepalanthus","bellus","Paepalanthus bellus","Moldenke","isotype","Hatschbach, G.","7394","1960","10","21",NA,"Brasil","Rio Coutinho","Zona de campo, brejo..","UPCB0002274","UPCB0002274","Moldenke, H.N.","Paraná","Guarapuava","-51.4580993652344","-25.395299911499","53832","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2008-05-27 22:02:00-03","MO","MOBOT","3037290","PreservedSpecimen","Plantae","Eriocaulaceae","Paepalanthus","bellus","Paepalanthus bellus","Moldenke",NA,"Gert G. Hatschbach","Hatschbach 43246","1980","10","26","South America","Brazil","Mun. Guarapuava. Rio Campo Real.",NA,NA,NA,"H.N. Moldenke","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-08-31 09:20:57-03","INPA","INPA","126803","S","Plantae","Eriocaulaceae","Paepalanthus","bellus","Paepalanthus bellus","Moldenke",NA,"Hatschbach, GG","46027","1983","01","14","Southern America","Brasil","Cachoeira dos Turcos. Lageados rochoso-úmidos.",NA,"INPA0126803","INPA0126803 INPA0126803_e","Moldenke, HN","Paraná","Guarapuava","-51.4580993652344","-25.395299911499","53832","auto","1983",NA,NA,"Monocotyledon","Poales",NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2451595","PreservedSpecimen","Plantae","Eriocaulaceae","Paepalanthus","bellus","Paepalanthus bellus","Moldenke",NA,"L. Smith & R. M. Klein","13760","1964","12","7","South America - Neotropics","Brazil","8km west of Campo Erê",NA,"US01932723","US01932723_01",NA,"Santa Catarina","Campo Erê","-53.1","-26.37",NA,NA,NA,NA,NA,NA,"Eriocaulales","Monocotyledonae","900","1000","1"
