"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","typeStatus","recordNumber","continentOcean","coordinatePrecision","preparationType","geoFlag","class","individualCount"
"1","2021-04-05 14:25:02-03","UNESC","CRI","13559","PreservedSpecimen","Plantae","Begoniaceae","Begonia","itatinensis","Begonia itatinensis","Irmsch. ex Brade","Renato Colares & Aline Votri Guislon","2018","08","01","Lucas Oliveira; Guilherme Elias, Peterson Padilha & Robson dos Santos","2016","12","15","Brasil","Santa Catarina","Treviso","Dois Dedos","-49.525","-28.511111","49º31'30''W","28º30'40''S","743","743","Habitat: Terrestre Habito: Herbácea","CRI012166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:02-03","UNESC","CRI","12758","PreservedSpecimen","Plantae","Begoniaceae","Begonia","itatinensis","Begonia itatinensis","Irmsch. ex Brade","Aline Votri Guislon","2017","11","06","Aline Votri Guislon","2017","11","05","Brasil","Santa Catarina","Lauro Muller","Trilhas Estância Pé da Serra.","-49.519167","-28.381111","49º31'9''W","28º22'52''S","750","750","Flor branca. Habito: Arbustivo","CRI011022","CRI011022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:02-03","UNESC","CRI","10281","PreservedSpecimen","Plantae","Begoniaceae","Begonia","itatinensis","Begonia itatinensis","Irmsch. ex Brade","J. C. Jaramilo","2017","04","11","Robson dos Santos; Isabel Alves dos Santos, Alecssandro S. Klein","2009","07","21","Brasil","Santa Catarina","Grão Pará","Serra do Corvo Branco.","-49.214722","-28.185","49º12'53''W","28º11'6''S",NA,NA,NA,"CRI001528","CRI001528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:02-03","UNESC","CRI","10292","PreservedSpecimen","Plantae","Begoniaceae","Begonia","itatinensis","Begonia itatinensis","Irmsch. ex Brade","J. C. Jaramilo","2017","04","11","Robson dos Santos; Isabel Alves dos Santos, Alecssandro S. Klein","2009","07","21","Brasil","Santa Catarina","Grão Pará","Serra do Corvo Branco.","-49.214722","-28.185","49º12'53''W","28º11'6''S","860","860",NA,"CRI001521","CRI001521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:19-03","UNESC","CRI","10907","PreservedSpecimen","Plantae","Begoniaceae","Begonia","itatinensis","Begonia itatinensis","Irmsch. ex Brade","Vanilde C. Zanette",NA,NA,NA,"Humberto de Bona Martins; Karoline Ceron","2014","10","01","Brasil","Santa Catarina","Orleans","PESF.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110",NA,"CRI001587","CRI001587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1546551","PreservedSpecimen","Plantae","Begoniaceae","Begonia","adiantiformis","Begonia adiantiformis","Toledo",NA,NA,NA,NA,"A. Gehrt","1943","10","22","Brazil","São Paulo","Ubatuba","Ubatuba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1894373' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546551","NY01546551_01","Magnoliophyta","Cucurbitales","isotype","s.n. [=herb. RB 57267]","South America","34265","sheet","auto",NA,NA
"7","2020-11-13 09:19:07-03","UFRJ","RFA","5452","PreservedSpecimen","Plantae","Begoniaceae","Begonia","itatinensis","Begonia itatinensis","Irmsch. ex Brade","A.C. Brade",NA,NA,NA,"P. Occhioni","1947","03","24","Brasil","Rio de Janeiro","Rio Bonito",NA,"-42.6096992492676","-22.7085990905762",NA,NA,NA,NA,"Flor branca.","RFA34196",NA,NA,NA,NA,"989",NA,"20195",NA,"auto",NA,NA
"8","2021-03-30 12:35:21-03","EAO","IAN","1557","PreservedSpecimen","Plantae","Begoniaceae","Begonia","adiantiformis","Begonia adiantiformis","Toledo",NA,NA,NA,NA,"sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN001557","IAN001557_f IAN001557_f1","Dicotiledônea",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:03:01-03","ESALQ","ESA","79246","PreservedSpecimen","Plantae","Begoniaceae","Begonia","itatinensis","Begonia itatinensis","Irmsh. ex Brade","Souza, V.C.",NA,NA,NA,"Souza, J.P.; Scalon, V.R.; Siqueira, L.P.; Souza, S.C.P.M.; Sorreano, M.C.M.; Buchianeri, V.C.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","2000","04","20","Brasil","São Paulo","São Sebastião","Parque Estadual da Serra do Mar, Trilhas das Cachoeiras do Ribeirão Itu. Floresta Ombrófila Densa. Interior de mata.","-45.36","-23.45","-45.36","-23.45",NA,NA,"Erva com ramos pendentes, frutos róseos","ESA079246","ESA079246","Magnoliophyta",NA,NA,"3314.0",NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:03:01-03","ESALQ","ESA","79249","PreservedSpecimen","Plantae","Begoniaceae","Begonia","itatinensis","Begonia itatinensis","Irmsh. ex Brade","Souza, J.P.",NA,NA,NA,"Souza, J.P.; Scalon, V.R.; Siqueira, L.P.; Souza, S.C.P.M.; Sorreano, M.C.M.; Buchianeri, V.C.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","2000","04","20","Brasil","São Paulo","São Sebastião","Parque Estadual da Serra do Mar, Trilhas das Cachoeiras do Ribeirão Itu. Floresta Ombrófila Densa. Interior de mata","-45.36","-23.45","-45.36","-23.45","600","600","Erva, flores (masculinas e femininas no mesmo ramo) alvas, frutos róseos","ESA079249","ESA079249","Magnoliophyta",NA,NA,"3349.0",NA,NA,NA,NA,NA,NA
