"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-04-05 14:34:00-03","UNESC","CRI","9903","PreservedSpecimen","Plantae","Polypodiaceae","Campyloneurum","decurrens","Campyloneurum decurrens","(Raddi) C.Presl","A. L. de Gasper","2010","05","31","T. J. Cadorin; S.M. Clemes & C.P.L. Oliveira","2255","2010","05","10","Brasil","Santa Catarina","São Bento do Sul","Braço esquerdo.","-49.235556","-26.365","49º14'8''W","26º21'54''S","417","417","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: rupícola","CRI008313","CRI008313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","674846","PreservedSpecimen","Plantae","Polypodiaceae","Campyloneurum","decurrens","Campyloneurum decurrens","C.Presl",NA,NA,NA,NA,"J. Miers","s.n.","1838",NA,NA,"Brazil",NA,NA,"Corcovado Mount.","-43.212076","-22.951842",NA,NA,NA,NA,"105/297 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=812715' target='other'> <mi>dwc_moreinfo</mi></a>","NY00674846","NY00674846_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","674850","PreservedSpecimen","Plantae","Polypodiaceae","Campyloneurum","decurrens","Campyloneurum decurrens","C.Presl","V. A. de O. Dittrich",NA,NA,NA,"V. A. de O. Dittrich","474","1998","09","07","Brazil","São Paulo","Ubatuba","Região sul do município de Ubatuba.","-45.1","-23.37",NA,NA,"150","150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=812725' target='other'> <mi>dwc_moreinfo</mi></a>","NY00674850","NY00674850_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","674851","PreservedSpecimen","Plantae","Polypodiaceae","Campyloneurum","decurrens","Campyloneurum decurrens","C.Presl",NA,NA,NA,NA,"Y. E. J. Mexia","4892","1930","07","22","Brazil","Minas Gerais","Viçosa","Viçosa. Agricultural College. Corrigo Riberro.","-42.860644","-20.766686",NA,NA,"675","675","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=812728' target='other'> <mi>dwc_moreinfo</mi></a>","NY00674851","NY00674851_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","886621","PreservedSpecimen","Plantae","Polypodiaceae","Campyloneurum","decurrens","Campyloneurum decurrens","C.Presl","P. H. Labiak E.",NA,NA,NA,"P. H. Labiak E.","3480","2004","12","10","Brazil","Paraná","Guaratuba","Serra da Prata, estrada para chácara do INRI Cristo.","-48.7019","-25.5778",NA,NA,"150","150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031928' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886621","NY00886621_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","674848","PreservedSpecimen","Plantae","Polypodiaceae","Campyloneurum","decurrens","Campyloneurum decurrens","C.Presl",NA,NA,NA,NA,"A. C. Brade","6461","1913","06",NA,"Brazil","Rio de Janeiro",NA,"Corcovado.","-43.212076","-22.951842",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=812722' target='other'> <mi>dwc_moreinfo</mi></a>","NY00674848","NY00674848_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1145040","PreservedSpecimen","Plantae","Polypodiaceae","Campyloneurum","decurrens","Campyloneurum decurrens","C.Presl","M. J. M. Christenhusz",NA,NA,NA,"M. J. M. Christenhusz","4884","2008","03","04","Brazil","São Paulo","Ubatuba","Ubatumirim, Parque Estadual da Serro do Mar, Núcleo Picinguaba. Pousada Betânia, trail behind the Pousada to the water cachment through disturbed forest.","-44.88","-23.33",NA,NA,"92","92","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1301979' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145040","NY01145040_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1145289","PreservedSpecimen","Plantae","Polypodiaceae","Campyloneurum","decurrens","Campyloneurum decurrens","C.Presl","J. Prado",NA,NA,NA,"J. Prado","2027","2009","07","29","Brazil","Minas Gerais","Viçosa","Sítio Bom Sucesso, Mata do Sr. Nico.","-42.8456","-20.795",NA,NA,"730","730","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1309266' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145289","NY01145289_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","674849","PreservedSpecimen","Plantae","Polypodiaceae","Campyloneurum","decurrens","Campyloneurum decurrens","C.Presl",NA,NA,NA,NA,"L. B. Smith","2251","1929","04","04","Brazil","Rio de Janeiro",NA,"Trail between Sylvestre and Paineiras.","-43.23","-22.93",NA,NA,"200","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=812724' target='other'> <mi>dwc_moreinfo</mi></a>","NY00674849","NY00674849_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1015878","PreservedSpecimen","Plantae","Polypodiaceae","Campyloneurum","decurrens","Campyloneurum decurrens","C.Presl","F. B. Matos",NA,NA,NA,"F. B. Matos","290","2005","02","03","Brazil","Bahia","Camacan","Fazenda Serra Bonita, 9.7 km W de Camacã na estrada para Jacareci, daí 6 km SW na estrada para a RPPN e Torre da Embratel.","-39.5653","-15.3917",NA,NA,"835","835","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1115073' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015878","NY01015878_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1145290","PreservedSpecimen","Plantae","Polypodiaceae","Campyloneurum","decurrens","Campyloneurum decurrens","C.Presl","J. Prado",NA,NA,NA,"J. Prado","2027","2009","07","29","Brazil","Minas Gerais","Viçosa","Sítio Bom Sucesso, Mata do Sr. Nico.","-42.8456","-20.795",NA,NA,"730","730","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1309268' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145290",NA,"Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","674847","PreservedSpecimen","Plantae","Polypodiaceae","Campyloneurum","decurrens","Campyloneurum decurrens","C.Presl",NA,NA,NA,NA,"Wilkes Expedition","s.n.","1838",NA,NA,"Brazil",NA,NA,"Organ Mt.","-43.073169","-22.496706",NA,NA,NA,NA,"Herbarium of the U. S. South Pacific Exploring Expedition under the command of Capt. Wilkes, U. S. N., 1838-42. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=812716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00674847","NY00674847_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
