"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","class","yearIdentified","monthIdentified","typeStatus","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","previousCatalogNumber","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","770408","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","castaneum","Solanum castaneum","Carvalho","L. L. Giacomin","L. Riedel","s.n.","1825","04","South America","Brazil","Apr. Serra Estrella.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=416323' target='other'> <mi>dwc_moreinfo</mi></a>","NY00770408","NY00770408_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1921582","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","castaneum","Solanum castaneum","Carvalho",NA,"L. L. Giacomin","1694","2012","01","South America","Brazil","Imediaçoes do Parque Estadual da Serra do Mar, Núcleo Picinguaba, Estrada nãopavimentada que liga a BR-101 á Base Cambucá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2288711' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921582","NY01921582_01 NY01921582_02 NY01921582_03","26","São Paulo","Ubatuba","-44.925","-23.3308","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","770391","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","castaneum","Solanum castaneum","Carvalho","L. L. Giacomin","P. K. H. Dusén","17228","1915","09","South America","Brazil","Jacarehý","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=146803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00770391","NY00770391_01","30","Paraná","Jaguariaíva","-49.7056","-24.2511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","719818","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","castaneum","Solanum castaneum","Carvalho",NA,"J. A. Lira Neto","663","1997","08","South America","Brazil","Reserva da Petrobas. Estrada para a represa da CEDAE.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2520351' target='other'> <mi>dwc_moreinfo</mi></a>","NY00719818","NY00719818_01","25","Rio de Janeiro","Duque de Caxias","-43.25","-22.53333","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-02-10 11:46:04-02","BM","SOLANACEAE_SOURCE_BR","26448","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","castaneum","Solanum castaneum","Carvalho","Giacomin, L.L.","Sellow, F.","140","1815","01","Southern America","Brazil","Rio de Janeiro.",NA,NA,"BM000934996",NA,"01",NA,NA,NA,NA,NA,"Dicotyledoneae","2013","02","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-02-10 11:46:04-02","BM","SOLANACEAE_SOURCE_BR","73217","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","castaneum","Solanum castaneum","Carvalho",NA,"Giacomin, L.L.; Kameyama, C.; Knapp, S.; Rodrigues, I.M.C.","2017","2013","11","Southern America","Brazil","Reserva Biológica do Alto da Serra de Paranapiacaba",NA,"Arvoreta, 8 m, pendente, cruzando a estrada. Indumento de escamas castanhas. Flores com pétalas alvas, estames amarelos. Frutos maduros amarelos, com listras roxas; margens da estrada que leva da entrada à Casa do pesquisador; Flores","BM001035302",NA,"19","São Paulo","Santo André","-46.311194","-23.778889","827","Dicotyledoneae",NA,NA,NA,"-46.311194","-23.778889","827",NA,NA,NA,NA,NA,NA,NA
"7","2015-02-10 11:46:04-02","BM","SOLANACEAE_SOURCE_BR","73217","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","castaneum","Solanum castaneum","Carvalho",NA,"Giacomin, L.L.; Kameyama, C.; Knapp, S.; Rodrigues, I.M.C.","2017","2013","11","Southern America","Brazil","Reserva Biológica do Alto da Serra de Paranapiacaba",NA,"Arvoreta, 8 m, pendente, cruzando a estrada. Indumento de escamas castanhas. Flores com pétalas alvas, estames amarelos. Frutos maduros amarelos, com listras roxas; margens da estrada que leva da entrada à Casa do pesquisador; Flores","BM001035301",NA,"19","São Paulo","Santo André","-46.311194","-23.778889","827","Dicotyledoneae",NA,NA,NA,"-46.311194","-23.778889","827",NA,NA,NA,NA,NA,NA,NA
"8","2015-02-10 11:46:04-02","BM","SOLANACEAE_SOURCE_BR","73217","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","castaneum","Solanum castaneum","Carvalho",NA,"Giacomin, L.L.; Kameyama, C.; Knapp, S.; Rodrigues, I.M.C.","2017","2013","11","Southern America","Brazil","Reserva Biológica do Alto da Serra de Paranapiacaba",NA,"Arvoreta, 8 m, pendente, cruzando a estrada. Indumento de escamas castanhas. Flores com pétalas alvas, estames amarelos. Frutos maduros amarelos, com listras roxas; margens da estrada que leva da entrada à Casa do pesquisador; Floresta Ombrófila Dens",NA,NA,"19","São Paulo","Santo André","-46.311194","-23.778889","827","Dicotyledoneae",NA,NA,NA,"-46.311194","-23.778889","827","166970",NA,NA,NA,NA,NA,NA
"9","2015-02-15 23:08:30-02","BM","SOLANACEAE_SOURCE_BR","98866","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","castaneum","Solanum castaneum","Carvalho",NA,"Giacomin, L.L.; Almeida, T.E.","1694","2012","01","Southern America","Brazil","Imediações do Parque Estadual da Serra do Mar, Núcleo Picinguaba",NA,"Arvoreta, 6m, às margens de fragmento de floresta ombrófila densa. Inflorescências senescendo. Frutos amarelos com manchas roxas. Indumento marrom.; Estrada não pavimentada que liga a BR-101 à Base Cambucá",NA,NA,"26","São Paulo","Ubatuba","-44.924889","-23.330833","12","Dicotyledoneae",NA,NA,NA,"-44.924889","-23.330833","12","154156",NA,NA,NA,NA,NA,NA
"10","2015-02-10 11:46:04-02","BM","SOLANACEAE_SOURCE_BR","26076","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","castaneum","Solanum castaneum","Carvalho","Giacomin, L.L.","Forbes, J.","s.n.","1822","05","Southern America","Brazil","Vicinity of Rio de Janeiro.",NA,NA,"BM000935451",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","2013","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
