"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","fieldNumber","year","month","day","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","recordNumber","continentOcean","stateProvince","individualCount","class","order","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum"
"1","2018-01-09 10:47:30-02","MNHN","RECOLNAT_MNHN_P","P00121414","PreservedSpecimen","Melastomataceae","Tibouchina","eichleri","Tibouchina eichleri","Cogn.","Wurdack","isotype","Glaziou, A.","8359","1876","1","5","Brésil","Sao Paulo: Campos da Bocaina, au Bom Jardim","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00121414' target='other'> <mi>dwc_moreinfo</mi></a>","P00121414","P00121414_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-07-07 11:39:00-03","MO","MOBOT","101203152","PreservedSpecimen","Melastomataceae","Pleroma","eichleri","Pleroma eichleri","(Cogn.) P.J.F. Guim. & Michelang.","fide Guimarães et al.","Holotype","Auguste F.M. Glaziou",NA,"1876","1","5","Brazil","Bom Jardim, Campos da Bocaina",NA,NA,NA,NA,"Plantae","Glaziou 8359","South America","São Paulo","1",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","2623276","PreservedSpecimen","Melastomataceae","Tibouchina","eichleri","Tibouchina eichleri","Cogn.",NA,NA,"D. Sucre",NA,"1968","2","10","Brazil","Posse, Morro das antenas de Televisão",NA,NA,"US01903841","US01903841_01 US01903841_02","Plantae","2316","South America - Neotropics","Rio de Janeiro","1","Dicotyledonae","Myrtales","Teresópolis","-42.9655990600586","-22.4122009277344","38539","auto",NA
"4","2020-09-12 05:00:02-03","US","US","2368114","PreservedSpecimen","Melastomataceae","Tibouchina","eichleri","Tibouchina eichleri","Cogn.",NA,NA,"E. Vainio",NA,"1885","4","5","Brazil","Carassa",NA,NA,"US01903842","US01903842_01 US01903842_02","Plantae","33385","South America - Neotropics","Minas Gerais","1","Dicotyledonae","Myrtales",NA,NA,NA,NA,NA,NA
"5","2019-09-04 19:30:46-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Melastomataceae","Tibouchina","eichleri","Tibouchina eichleri",NA,NA,"Type [status unknown]","A. Glaziou",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,"Plantae","8359","South America",NA,NA,"Dicotyledoneae",NA,NA,"-52.8731","-10.8339",NA,NA,"Spermatophyta"
"6","2017-09-11 17:11:01-03","UnB","HBVIRTFLBRAS",NA,"O","Melastomataceae","Tibouchina","eichleri","Tibouchina eichleri","Cogn.",NA,NA,"Glaziou, AFM",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,"Plantae","8359Herb.","Southern America","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA
