"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","class","order","typeStatus","individualCount","barcode","imagecode","year","month","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","day","verbatimLongitude","verbatimLatitude","occurrenceRemarks","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-06-05 04:39:00-03","MO","MOBOT","2452906","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","hebdingii","Dyckia hebdingii","L.B. Sm.","Léon Croizat","Croizat 22495","South America","Brazil","Rio Grande do Sul","Mun. Guayoro, Porto Alegrem Cultivated and flower in Jardin Botanique Les Cedres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","2586797A","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","hebdingii","Dyckia hebdingii","L.B. Sm.","L. C. M. Croizat","22495","South America","Brazil","Rio Grande do Sul","Porto Alegre.","Monocotyledonae","Bromeliales","Holotype","1","US00089058","US00089058_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","2960000","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","hebdingii","Dyckia hebdingii","L.B. Sm.","R. Foster",NA,"South America - Neotropics","Brazil",NA,NA,"Monocotyledonae","Bromeliales",NA,"1","US01935350","US01935350_01","1983","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","2586798","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","hebdingii","Dyckia hebdingii","L.B. Sm.","S.C.",NA,"South America - Neotropics","Brazil",NA,NA,"Monocotyledonae","Bromeliales",NA,"1","US01935348","US01935348_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","2960001","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","hebdingii","Dyckia hebdingii","L.B. Sm.","R. Foster",NA,"South America - Neotropics","Brazil",NA,NA,"Monocotyledonae","Bromeliales",NA,"1","US01935347","US01935347_01","1983","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","2586799A","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","hebdingii","Dyckia hebdingii","L.B. Sm.","L. C. M. Croizat","22495","South America - Neotropics","Brazil","Rio Grande do Sul","Municipio Guayoro","Monocotyledonae","Bromeliales",NA,"1","US01935349","US01935349_01",NA,NA,"Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-08 12:50:44-03","UFRGS","ICN","188078","S","Plantae","Bromeliaceae","Dyckia","domfelicianensis","Dyckia domfelicianensis","Strehl","Breitsameter, CJ; Büneker, H; Troleis, J","s.n.","América do Sul","Brasil","RS",NA,NA,NA,NA,NA,"ICN00029975",NA,"2017","01","Dom Feliciano","-52.203056","-30.338333",NA,NA,"Monocotyledon","10","-52.203056","-30.338333","Material testemunho; planta florida com cerca de 1,2m de altura, folhas cobertas de indumento branco; saxicola",NA,NA,NA,NA,NA,NA
"8","2021-02-08 12:50:44-03","UFRGS","ICN","021186","S","Plantae","Bromeliaceae","Dyckia","hebdingii","Dyckia hebdingii","L.B.Sm.","Lutzenberger, J","s.n.","América do Sul","Brasil","RS","50 km S de Encruzilhada do Sul",NA,NA,NA,NA,"ICN00029992",NA,"1973","01","Encruzilhada do Sul","-52.521900177002","-30.5438995361328","62084","auto","Monocotyledon","05",NA,NA,"Espécie ameaçada de extinção (Vulnerável).; Toda planta cinza, 60cm altura.; Cultivada no pátio de Luttzenberger","Strehl, T","1984","01","25",NA,NA
"9","2021-02-08 12:50:44-03","UFRGS","ICN","162113","S","Plantae","Bromeliaceae","Dyckia","hebdingii","Dyckia hebdingii","L.B.Sm.","Hagelund, K","8264","América do Sul","Brasil","RS","Fazenda Faxinal",NA,NA,NA,NA,"ICN00029994",NA,"1974","07","Arroio dos Ratos","-51.7291984558105","-30.0771999359131","29956","auto","Monocotyledon","20",NA,NA,NA,"Büneker, HM","2015","10","22",NA,NA
"10","2021-02-08 12:50:44-03","UFRGS","ICN","162079","S","Plantae","Bromeliaceae","Dyckia","hebdingii","Dyckia hebdingii","L.B.Sm.","Hagelund, K","11315","América do Sul","Brasil","RS","Granja Faxinal",NA,NA,NA,NA,"ICN00029993",NA,"1977","03","Arroio dos Ratos","-51.7291984558105","-30.0771999359131","29956","auto","Monocotyledon","27",NA,NA,"Doação Herbário Karner Hagelund","Büneker, HM","2015","10","22",NA,NA
"11","2021-02-08 12:50:44-03","UFRGS","ICN","009542","S","Plantae","Bromeliaceae","Dyckia","hebdingii","Dyckia hebdingii","L.B.Sm.","Irgang, BE","s.n.","América do Sul","Brasil","RS","Serra do Herval",NA,NA,NA,NA,"ICN00029991",NA,"1972","01","Guaíba","-51.3250007629395","-30.113899230957","28343","auto","Monocotyledon","23",NA,NA,"Espécie ameaçada de extinção (Vulnerável).; Flores amarelas.; Sobre pedras granítica; ambiente semi-árido junto com cactos.","Büneker, HM","2015","10","22","200","200"
"12","2021-02-08 12:50:44-03","UFRGS","ICN","188079","S","Plantae","Bromeliaceae","Dyckia","hebdingii","Dyckia hebdingii","L.B.Sm.","Breitsameter, CJ; Hirsch, L; Bered, F; Aguiar, C","s.n.","América do Sul","Brasil","RS",NA,NA,NA,NA,NA,"ICN00029988",NA,"2015","10","Barra do Ribeiro","-51.121111","-30.315278",NA,NA,"Monocotyledon","07","-51.121111","-30.315278","Material testemunho; ambas as faces da lâmina foliar densamente escamadas; saxicola",NA,NA,NA,NA,NA,NA
"13","2021-02-08 12:50:44-03","UFRGS","ICN","198404","S","Plantae","Bromeliaceae","Dyckia","hebdingii","Dyckia hebdingii","L.B.Sm.","Hirsch, LD; Melo, CA","s.n.","América do Sul","Brasil","RS","Serrinha",NA,NA,NA,NA,"ICN00033824",NA,"2017","12","Barra do Ribeiro","-51.468056","-30.2775",NA,NA,"Monocotyledon","17","-51.468056","-30.2775","Amostra de DNA e Material testemunho; Afloramento rochoso","Hirsch, LD","2017","12","17","147","147"
"14","2020-08-26 10:48:26-03","MCN-FZBRS","HAS","36015","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","domfelicianensis","Dyckia domfelicianensis","Strehl","Strehl, T.","1438",NA,"Brasil","Rio Grande do Sul",NA,NA,NA,"Paratypus",NA,"HAS0036015","HAS0036015","1995","12","Dom Feliciano","-52.1074981689453","-30.7042007446289","44660","auto","Magnoliophyta",NA,NA,NA,"Tubo coberto de tricomas brancos, mas menos que em D. hedbingii. As sépalas mais curtas e de ápice mais arredondado, largo, quase truncado. Flores mais densamente dispostas no eixo dos ramos","Strehl, T.",NA,NA,NA,NA,NA
"15","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","66455","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","domfelicianensis","Dyckia domfelicianensis","Strehl","Strehl, T.","2128",NA,"Brasil","Rio Grande do Sul",NA,NA,NA,"Paratypus",NA,"HAS0066455","HAS0066455_01 HAS0066455_02","1994","12","Dom Feliciano","-52.1074981689453","-30.7042007446289","44660","auto","Magnoliophyta",NA,NA,NA,"Afloramento rochoso a esquerda da estrada","Strehl, T.",NA,NA,NA,NA,NA
"16","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","66523","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","domfelicianensis","Dyckia domfelicianensis","Strehl","Strehl, T.","1283",NA,"Brasil","Rio Grande do Sul",NA,NA,NA,"Holotypus",NA,"HAS0066523","HAS0066523","1994","12","Dom Feliciano","-52.1074981689453","-30.7042007446289","44660","auto","Magnoliophyta",NA,NA,NA,"Sobre afloramentos rochosos","Strehl, T.",NA,NA,NA,NA,NA
"17","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","101025","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","domfelicianensis","Dyckia domfelicianensis","Strehl","Nilson, A.D.","s.n.",NA,"Brasil","Rio Grande do Sul","Cerro-do-tabuleiro",NA,NA,NA,NA,"HAS0101025",NA,"1997","11","Encruzilhada do Sul","-52.521900177002","-30.5438995361328","62084","auto","Magnoliophyta",NA,NA,NA,"Floresceu em 02/12/1998; JB 508","Strehl, T.",NA,NA,NA,NA,NA
"18","2020-08-26 10:48:26-03","MCN-FZBRS","HAS","31010","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","hebdingii","Dyckia hebdingii","L.B. Sm.","Silva, J. C. da","225",NA,"Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,"HAS0031010",NA,"1989","12","Arroio dos Ratos","-51.7291984558105","-30.0771999359131","29956","auto","Magnoliophyta",NA,NA,NA,"Escapo fino, longo, esverdeado. Brácteas foliares estreitas, mais curtas que os entre-nós. Brácteas florais bem curtas e agudas. Sépalas verdes. Pétalas amarelo-claro. TE 148",NA,NA,NA,NA,NA,NA
"19","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","66517","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","hebdingii","Dyckia hebdingii","L.B. Sm.","Strehl, T.","1280",NA,"Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,"HAS0066517",NA,NA,NA,"Arroio dos Ratos","-51.7291984558105","-30.0771999359131","29956","auto","Magnoliophyta",NA,NA,NA,"Floresceu em cultivo em 16/01/1995.","Strehl, T.",NA,NA,NA,NA,NA
"20","2020-08-26 10:48:26-03","MCN-FZBRS","HAS","66515","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","hebdingii","Dyckia hebdingii","L.B. Sm.","Salomoni, J. F.","s.n.",NA,"Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,"HAS0066515",NA,"1995","01","Barra do Ribeiro","-51.3011016845703","-30.2910995483398","31686","auto","Magnoliophyta",NA,NA,NA,"Floresceu em cultivo no Jardim Botânico; JB 151","Strehl, T.",NA,NA,NA,NA,NA
"21","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","66516","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","hebdingii","Dyckia hebdingii","L.B. Sm.","Strehl, T.","1278",NA,"Brasil","Rio Grande do Sul","Barra do Ribeiro, na fazenda Cabanha Serrito Maneador",NA,NA,NA,NA,"HAS0066516",NA,"1995","01","Barra do Ribeiro","-51.3011016845703","-30.2910995483398","31686","auto","Magnoliophyta",NA,NA,NA,"gravatá;",NA,NA,NA,NA,NA,NA
