"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:24-03","UNESC","CRI","9428","PreservedSpecimen","Plantae","Lauraceae","Ocotea","elegans","Ocotea elegans","Mez","A. Quinet","2010","09","17","A. Stival-Santos; E. Legal & S. Silveira","2272","2010","03","30","Brasil","Santa Catarina","Botuverá","Reserva Biológica Canela Preta.","-49.14","-27.27","49º8'24''W","27º16'12''S","639","639","Floresta Ombrófila Densa Habitat: entorno do fragmento Habito: arbórea","CRI003603","CRI003603",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:24-03","UNESC","CRI","9567","PreservedSpecimen","Plantae","Lauraceae","Ocotea","elegans","Ocotea elegans","Mez","A. Quinet","2010","09","17","S. Dreveck","2169","2010","05","04","Brasil","Santa Catarina","Doutor Pedrinho","Ribeirão Rigo.","-49.499722","-26.73","49º29'59''W","26º43'48''S","600","600","Floresta Ombrófila Densa Habitat: entorno do fragmento Habito: arvoreta","CRI003598","CRI003598",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:24-03","UNESC","CRI","9515","PreservedSpecimen","Plantae","Lauraceae","Ocotea","elegans","Ocotea elegans","Mez","A. A. de Oliveira","2010","12","13","A. Korte; A. Kniess","4220","2010","09","01","Brasil","Santa Catarina","Doutor Pedrinho","Cerro Azul.","-49.590556","-26.640278","49º35'26''W","26º38'25''S","957","957","Floresta Ombrófila Mista Habitat: interior do fragmento Habito: arbórea","CRI003601","CRI003601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:37-03","UNESC","CRI","9525","PreservedSpecimen","Plantae","Lauraceae","Ocotea","elegans","Ocotea elegans","Mez","A. Quinet","2010","09","15","T. J. Cadorin; H.F. Uller","850","2009","12","12","Brasil","Santa Catarina","Joinville","Parque Municipal Zoobotânico de Joinville.","-48.845833","-26.305","48º50'45''W","26º18'18''S","32","32","Floresta Ombrófila Densa Habito: arbórea","CRI003597","CRI003597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:24-03","UNESC","CRI","9523","PreservedSpecimen","Plantae","Lauraceae","Ocotea","elegans","Ocotea elegans","Mez","A. Quinet","2010","09","17","A. Stival-Santos; E. Legal & S. Silveira","2433","2010","04","06","Brasil","Santa Catarina","Angelina","Linha do Chaves.","-48.96","-27.54","48º57'36''W","27º32'24''S","718","718","Floresta Ombrófila Densa Habitat: interior de fragmento Habito: arbórea","CRI003595","CRI003595",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:37-03","UNESC","CRI","10534","PreservedSpecimen","Plantae","Lauraceae","Ocotea","elegans","Ocotea elegans","Mez","M. Molz",NA,NA,NA,"L. Mancino; M. Molz","1303","2011","08","22","Brasil","Rio Grande do Sul","Morrinhos do Sul","Pixirica.","-49.933056","-29.358056","49º55'59''W","29º21'29''S","21","21","Floresta Paludosa Habitat: borda da restinga","CRI003607","CRI003607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:24-03","UNESC","CRI","9572","PreservedSpecimen","Plantae","Lauraceae","Ocotea","elegans","Ocotea elegans","Mez","A. A. de Oliveira","2011","02","11","M. Verdi; N.L. de Souza, G. Klemz & D.H. Klettenberg","5040","2010","06","15","Brasil","Santa Catarina","São Martinho","Hoepers/Vagem do Cedro/Parque Estadual da Serra do Tabuleiro.","-48.979444","-28.164722","48º58'46''W","28º9'53''S","517","517","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003599","CRI003599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:24-03","UNESC","CRI","7484","PreservedSpecimen","Plantae","Lauraceae","Ocotea","indecora","Ocotea indecora","(Schott) Mez","Vanilde Citadini- Zanette","2007","12","21","Cristiane Krug",NA,"2005","11","05","Brasil","Santa Catarina","Porto União",NA,"-51.078611","-26.238611","51º4'43''W","26º14'19''S",NA,NA,NA,"CRI003795","CRI003795",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:40:18-03","E","E","259517","PreservedSpecimen","Plantae","Lauraceae","Ocotea","elegans","Ocotea elegans",NA,NA,NA,NA,NA,"Glaziou, M.A.","12133",NA,NA,NA,"BR",NA,NA,"RJ",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00259517 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259517",NA,"syntype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:271304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","355347","PreservedSpecimen","Plantae","Lauraceae","Mespilodaphne","indecora","Mespilodaphne indecora stricta","Meisn.",NA,NA,NA,NA,"L. Riedel","483","1832","07",NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125698' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355347","NY00355347_01","syntype","South America","sheet",NA,"Magnoliophyta","Laurales","stricta",NA,NA,NA,NA,NA,NA,NA
