"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","coordinatePrecision","geoFlag","class","order","continentOcean","individualCount","typeStatus","occurrenceRemarks"
"1","2020-04-27 16:11:50-03","UFES","VIES","39452","S","Plantae","Velloziaceae","Barbacenia","spectabilis","Barbacenia spectabilis","L.B.Sm. & Ayensu","Cardoso, W.C.","2015","03","15","Cardoso, W.C.; Firmino, A.D.; Fardin, L.C.","335","2015","03","15","Brasil","Espírito Santo","Serra","APA Mestre Álvaro. Trilha principal.","-40.307222","-20.164444","40º18'26''W","20º9'52''S","683","683","VIES039452","VIES039452",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-27 10:27:00-03","UFES","VIES","35243","S","Plantae","Velloziaceae","Barbacenia","spectabilis","Barbacenia spectabilis","L.B.Sm. & Ayensu","Cardoso, W.C.","2013",NA,NA,"Cardoso, W.C.; Iglesias, D.T. & Barros, P.H.D.","221","2012","09","23","Brasil","Espírito Santo","Serra","Área de Proteção Ambiental Mestre Álvaro.","-40.3078002929688","-20.1285991668701",NA,NA,NA,NA,"VIES035243","VIES035243","16451","auto",NA,NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","2691770","PreservedSpecimen","Plantae","Velloziaceae","Barbacenia","spectabilis","Barbacenia spectabilis","L.B. Sm. & Ayensu",NA,NA,NA,NA,"N. L. Menezes & I. Sazima","56","1969","8","8","Brazil","Espírito Santo","Piúma","Morro do Aghá","-40.7219009399414","-20.8377990722656",NA,NA,NA,NA,"US01329340","US01329340_01","11958","auto","Monocotyledonae","Liliales","South America - Neotropics","1",NA,NA
"4","2020-09-12 05:00:02-03","US","US","2691775","PreservedSpecimen","Plantae","Velloziaceae","Barbacenia","spectabilis","Barbacenia spectabilis","L.B. Sm. & Ayensu",NA,NA,NA,NA,"E. Oliveira-Filho & J. Dias","3","1967","7","10","Brazil","Espírito Santo",NA,"Piuma, Morro do Aga",NA,NA,NA,NA,NA,NA,"US00092466","US00092466_01",NA,NA,"Monocotyledonae","Liliales","South America - Neotropics","1","Holotype",NA
"5","2020-09-12 05:00:02-03","US","US","2691769","PreservedSpecimen","Plantae","Velloziaceae","Barbacenia","spectabilis","Barbacenia spectabilis","L.B. Sm. & Ayensu",NA,NA,NA,NA,"N. L. Menezes & I. Sazima","57","1969","8","8","Brazil","Espírito Santo","Piúma","Morro do Agahá.","-40.7219009399414","-20.8377990722656",NA,NA,NA,NA,"US01329339","US01329339_01","11958","auto","Monocotyledonae","Liliales","South America - Neotropics","1",NA,NA
"6","2019-11-21 10:19:48-03","IBt","SP","111632a","Extra","Plantae","Velloziaceae","Barbacenia","spectabilis","Barbacenia spectabilis","L.B.Sm. & Ayensu","Smith, LB","1976",NA,NA,"Menezes, NL; Sazima, I","s.n.","1969","08","08","Brasil","Espírito Santo","Piúma","Morro do Aghá","-40.7219009399414","-20.8377990722656",NA,NA,NA,NA,"SP002638","SP002638","11958","auto",NA,NA,NA,NA,"Paratype","Tépalas internas de bordos ondulados"
"7","2019-11-21 10:19:48-03","IBt","SP","111632b","Extra","Plantae","Velloziaceae","Barbacenia","spectabilis","Barbacenia spectabilis","L.B.Sm. & Ayensu","Smith, LB","1976",NA,NA,"Menezes, NL; Sazima, I","s.n.","1969","08","08","Brasil","Espírito Santo","Piúma","Morro do Aghá","-40.7219009399414","-20.8377990722656",NA,NA,NA,NA,"SP002639","SP002639","11958","auto",NA,NA,NA,NA,"Paratype","Tépalas internas de bordos ondulados"
"8","2019-11-21 10:19:48-03","IBt","SP","111632","S","Plantae","Velloziaceae","Barbacenia","spectabilis","Barbacenia spectabilis","L.B.Sm. & Ayensu","Smith, LB","1976",NA,NA,"Menezes, NL; Sazima, I","s.n.","1969","08","08","Brasil","Espírito Santo","Piúma","Morro do Aghá","-40.7219009399414","-20.8377990722656",NA,NA,NA,NA,"SP002637","SP002637","11958","auto",NA,NA,NA,NA,"Paratype","Tépalas internas de bordos ondulados"
