"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","relatedCatalogItem","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","419151","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","cubatanensis","Mimosa cubatanensis","Hoehne","R. C. Barneby","E. P. Heringer","13943","1974","09","10","South America","Brazil","Distrito Federal","Brasília","Sine loc. accurato","-47.9294","-15.7797","sheet","Fragm. ex UB <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=612983' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419151","NY00419151_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","419150","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","cubatanensis","Mimosa cubatanensis","Hoehne","R. C. Barneby","G. G. Hatschbach","58529","1993","01","25","South America","Brazil","Paraná","Antonina","Usina Hidreletrica Parigot de Souza, cota 800","-48.7117","-25.4286","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=612981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419150","NY00419150_01","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01090890","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","cubatanensis","Mimosa cubatanensis","Hoehne","R. C. Barneby","E. P. Heringer","18641","1984","08","07","South America","Brazil","Distrito Federal","Brasília","Cultivada na Est. Exp. Biol. da UnB, sementes coletadas em Monuaçú, MG, por Heringer","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1227448' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090890","NY01090890_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","419149","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","cubatanensis","Mimosa cubatanensis","Hoehne","R. C. Barneby","G. G. Hatschbach","28623","1972","01","09","South America","Brazil","Paraná","Antonina","Sapitanduva","-48.7117","-25.4286","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=612982' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419149","NY00419149_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:10:13-03","NBC","NL-BOTANY","WAG.1706446","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Mimosa","cubatanensis","Mimosa cubatanensis","Hoehne",NA,"Hatschbach GG; Silva JM",NA,"1993","01","25","Southern America","Brazil",NA,NA,"Usina Hidreletrica Parigot de Souza, cota 800 (mun. Antonina) Parana.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1706446 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1706446","NL-WAG1706446",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:29:56-03","MN","R","219634","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","cubatanensis","Mimosa cubatanensis","Hoehne",NA,"Jordão, L.S.B.; Barberena, F.F.V.A.","63","2013","03","28",NA,"Brasil","Rio de Janeiro","Nova Friburgo",NA,"-42.538417","-22.276639",NA,NA,NA,NA,"950","950",NA,"42°32'18.3 W","22°16'35.9 S",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:29:56-03","MN","R","219645","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","cubatanensis","Mimosa cubatanensis","Hoehne",NA,"Jordão, L.S.B.","64","2013","03","28",NA,"Brasil","Rio de Janeiro","Nova Friburgo",NA,"-42.539528","-22.275944",NA,NA,NA,NA,"991","991",NA,"42°32'22.3 W","22°16'33.4S",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:29:56-03","MN","R","219673","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","cubatanensis","Mimosa cubatanensis","Hoehne",NA,"Jordão, L.S.B.","39","2012","12","18",NA,"Brasil","Rio de Janeiro","Nova Friburgo",NA,"-42.530139","-22.324722",NA,NA,NA,NA,"1221","1221",NA,"42°31'48.5 W","22°19'29S",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-04-27 16:09:58-03","UFES","VIES","46068","S","Plantae",NA,NA,"Fabaceae","Mimosa","cubatanensis","Mimosa cubatanensis","Hoehne","L.S.B. Jordão","Jordão, L.S.B.","63","2013","03","28",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Rua Dr. Silvio Henrique Braune (rua que sobre para o Morro da Cruz, Teleférico).","-42.538333","-22.276667",NA,NA,"VIES046068","VIES046068","950","950",NA,"42º32'18''W","22º16'36''S","2013","03","28",NA,NA,NA,NA,NA
"10","2020-12-21 16:27:13-03","MBM","MBM","20864","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","cubatanensis","Mimosa cubatanensis","Hoehne","Barneby, R.","Hatschbach, G.","28623","1972","01","09","Southern America","Brazil","Paraná","Antonina","Sapitanduva","-48.7118988037109","-25.4286003112793",NA,"Arvoreta, 5m, flor alvecente.; Mata secundária, planície litorânea.","MBM020864","MBM020864",NA,NA,NA,NA,NA,"1991",NA,NA,"38300","auto",NA,NA,NA
