"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","country","individualCount","occurrenceRemarks","recordedBy","recordNumber","year","month","day","continentOcean","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","previousCatalogNumber","sex"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1098","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Visiani) Beer","Elton C. M. Leme","2008","06","10","Brasil","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1089","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Visiani) Beer",NA,"2008","06","10","Brasil","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:27:32-03","UFBA","ALCB","057938","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Vis.","Cavalcanti, D","2017","09","05","Brasil",NA,"Folhas rosulada, variegada de margem espinescente. Inflorescência central com flores alvas.","Alves, RO","s/n","2002","08","07","Southern America","Bahia","Santa Teresinha","Recôncavo Sul","-39.516667","-12.766667","-39.516667","-12.766667","ALCB011258","ALCB011258",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-08 21:33:33-03","UFBA","ALCB","74917","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Vis.","Cavalcanti, D","2017","09","05","Brasil",NA,"Folhas rosuladas, variegada. Flores alvas.","Oliveira, ALPC de","s/n","2006","09","05","Southern America","Bahia","Salvador","Região Metropolitana Salvador","-38.510799407959","-12.9710998535156",NA,NA,"ALCB011248","ALCB011248","26018","auto",NA,NA,NA,NA,NA,NA
"5","2019-02-15 11:35:36-02","IPA","IPA","80741","S","Plantae","Plantae",NA,"Bromeliaceae","Cryptanthus","burle-marxii","Cryptanthus burle-marxii","Leme","Leite, M.S.","2007","08","04","Brasil",NA,"Erva saxícola do solo da mata. População composta por numerosos indivíduos em plena floração. Flores brancas agrupadas de duas a três, sem odor.; Restinga arbórea","Leite, M.S.; Oliveira, J.B.; Nadia, T.L.; Oliveira, J.B.; Nadia, T.L.","407","2007","08","04","Southern America","Pernambuco","Ipojuca","RPPN Nossa Senhora do Oiteiro de Maracaípe, Mata do Oiteiro.","-35.02","-8.519722","-35.02","-8.519722","IPA0080741",NA,NA,NA,"14","14",NA,NA,NA,NA
"6","2019-02-15 11:35:36-02","IPA","IPA","7444","S","Plantae","Plantae",NA,"Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","Smith, L.B.","1977","08","02","Brasil",NA,"Erva. Fl. alvas. Folhas verde pardo c/ manchas transversais.","Andrade-Lima","54-1920","1954","09","02","Southern America","Pernambuco","Recife","Dois Irmãos, prox. chã do visgueiro grande. Na sombra da mata.","-34.8810997009277","-8.05389022827148",NA,NA,"IPA0007444",NA,"18865","auto",NA,NA,NA,NA,NA,NA
"7","2019-11-19 14:05:21-03","UFRPE","PEUFR","7125","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","fosterianus","Cryptanthus fosterianus","L.B. Sm. ","J.A. Siqueira Filho","1998","04","05","Brasil",NA,"Planta rupicola","I. Pontual","1537","1977","02","21",NA,"Pernambuco","São Lourenço da Mata","Estação Ecológica de Tapacurá","-35.0182991027832","-8.00222015380859",NA,NA,"PEUFR007125",NA,"21764","auto",NA,NA,NA,NA,NA,NA
"8","2019-11-19 14:05:21-03","UFRPE","PEUFR","5442","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","G.M. Sousa","1996","03",NA,"Brasil",NA,"Epífita","I. Pontual","1230","1972","09","15",NA,"Pernambuco","Quipapá","Engenho Brejinho","-36.0116996765137","-8.82777976989746",NA,NA,"PEUFR005442",NA,"11788","auto",NA,NA,NA,NA,NA,NA
"9","2020-04-22 16:25:59-03","UFPB","JPB","37522","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","Cavalcanti, D","2017","10","10","Brasil",NA,"; DESC: Planta terrestre em área de mata sobre duna. Folhas verdes com porção central crassa, margens onduladas com acúleos castanhos. Flores com pétalas alvas.","Pontes, RA; Gadelha Neto, PC","201","2004","12","01","Southern America","Paraíba","Mataraca","Millennium Inorganic Chemicals Mineração Ltda","-34.977103","-6.502464","-34.977103","-6.502464",NA,NA,NA,NA,"46","46",NA,NA,NA,NA
"10","2020-04-22 16:25:59-03","UFPB","JPB","37533","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","Cavalcanti, D","2017","10","10","Brasil",NA,"; DESC: Terrestre em área de mata sobre duna. Folhas verdes com porção central crassa, margens onduladas com acúleos castanhos. Flores com pétalas alvas. Planta cultivada no Jardim Botânico de João Pessoa.","Pontes, RA; Gadelha Neto, PC","325","2004","12","01","Southern America","Paraíba","Mataraca","Millennium Inorganic Chemicals Mineração Ltda","-34.977103","-6.502464","-34.977103","-6.502464",NA,NA,NA,NA,"46","46",NA,NA,NA,NA
