"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","infraspecificEpithet","class","coordinatePrecision","geoFlag","relatedCatalogItem","relationshipType","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:54-03","UNESC","CRI","1085","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","sellowii","Podocarpus sellowii","Klotzsch ex Endl.","Marcos Sobral","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1363","1991","11","28","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI008287","CRI008287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:54-03","UNESC","CRI","14804","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","sellowii","Podocarpus sellowii","Klotzsch ex Endl.","Schwirkowski, P.","Schwirkowski, P.","3352","2019","02","08","Brasil","Santa Catarina","São Bento do Sul","Rio Vermelho. Rio Vermelho. Ao longo do Rio Vermelho.","-49.283056","-26.256389","49º16'59''W","26º15'23''S","950","950","CRI014121",NA,"2019","02","08","FOM. Frutos imaturos, cor verde Habitat: Mata ciliar Habito: Árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:54-03","UNESC","CRI","1117","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","sellowii","Podocarpus sellowii","Klotzsch ex Endl.","Vanilde Citadini- Zanette","Clair Maria Martinello; Aurélio José de Aguiar",NA,"1992","01","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI008290","CRI008290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:54-03","UNESC","CRI","1481","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","sellowii","Podocarpus sellowii","Klotzsch ex Endl.",NA,"R. R. B. Negrelle; C. Londero",NA,"1993","01","21","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (estrada para sambaqui).","-48.670556","-26.071667","48º40'14''W","26º4'18''S",NA,NA,"CRI008288","CRI008288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:54-03","UNESC","CRI","1062","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","sellowii","Podocarpus sellowii","Klotzsch ex Endl.","Marcos Sobral","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1340","1991","10","24","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI008289","CRI008289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:42:27-03","E","E","127635","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","sellowii","Podocarpus sellowii",NA,NA,"Dusen, P.","16504","1915","01","25","BR",NA,NA,"Marangava",NA,NA,NA,NA,NA,NA,"E00127635",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00127635 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:136569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:42:27-03","E","E","127636","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","sellowii","Podocarpus sellowii",NA,NA,"Sellow, F.",NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00127636",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00127636 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:136572",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:42:27-03","E","E","312525","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","sellowii","Podocarpus sellowii",NA,NA,"Stannard, B.; Silva, T.","52824","1992","03","24","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00312525",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00312525 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:313321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:42:27-03","E","E","127634","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","sellowii","Podocarpus sellowii",NA,NA,"Glaziou, M.A.","17778","1905","03","21","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00127634",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00127634 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:136565",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:42:27-03","E","E","420619","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","sellowii","Podocarpus sellowii",NA,NA,"Sellow, Friedrich",NA,NA,NA,NA,"BR","Distrito Federál",NA,"Brasilia",NA,NA,NA,NA,NA,NA,"E00420619",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00420619 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:470422","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
