"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","class","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00498587","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Cunila","incana","Cunila incana","Benth.","R. M. Harley","G. G. Hatschbach","45246","1982","08","22","South America","Brazil","Paraná","Guarapuava","Canta Galo","-52.1225","-25.37603","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=677404' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 00:18:00-03","NY","NYBG","00498588","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Cunila","incana","Cunila incana",NA,"T. M. Pedersen","T. M. Pedersen","9221",NA,NA,NA,"South America","Argentina","Corrientes","Santo Tome","Estancia Garuchos",NA,NA,"sheet","9/10-1969 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=677403' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00498586","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Cunila","incana","Cunila incana","Benth.","A. Sehnem","A. Sehnem","15751","1978","01","10","South America","Brazil","Rio Grande do Sul",NA,"Segredo - arroio do Tigre",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=677405' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498586","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:32:18-03","NBC","NL-BOTANY","L.2767420","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Cunila","incana","Cunila incana","Benth.",NA,"Pedersen TM",NA,"1969","10","09","Southern America","Argentina",NA,NA,"Plantae Argentinae, Estancia,,Garruchos', Dep. Santo Tome, Prov. Corrientes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2767420 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2767420",NA,NA,"Magnoliopsidae","NL-L2767420",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:32:18-03","NBC","NL-BOTANY","L.2767421","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Cunila","incana","Cunila incana","Benth.",NA,"Schwarz GJ",NA,"1946","09","02","Southern America","Argentina",NA,NA,"Gob. Misiones, Dep. San Ignacio, Arroyo Anta.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2767421 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2767421",NA,NA,"Magnoliopsidae","NL-L2767421",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:32:18-03","NBC","NL-BOTANY","L.2767422","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Cunila","incana","Cunila incana","Benth.",NA,"Schwarz GJ",NA,"1945","08","31","Southern America","Argentina",NA,NA,"Gob. Misiones, Dep. San Ignacio, Balsa Nancanguazu.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2767422 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2767422",NA,NA,"Magnoliopsidae","NL-L2767422",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:32:18-03","NBC","NL-BOTANY","L.2767423","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Cunila","incana","Cunila incana","Benth.",NA,"Berol H",NA,"1833","01","01","Southern America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2767423 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2767423",NA,NA,"Magnoliopsidae","NL-L2767423",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:32:18-03","NBC","NL-BOTANY","L.2767424","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Cunila","incana","Cunila incana","Benth.",NA,"Sellow F",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2767424 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2767424",NA,NA,"Magnoliopsidae","NL-L2767424",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:32:18-03","NBC","NL-BOTANY","U.1354987","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Cunila","incana","Cunila incana","Benth.",NA,"Montes JE",NA,"1964","08","15","Southern America","Argentina",NA,NA,"Looreto.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1354987 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1354987",NA,NA,"Magnoliopsidae","NL-U1354987",NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-02-02 14:38:20-02","BGBM","B","B 10 0248415","S","Plantae",NA,NA,"Labiatae","Cunila","incana","Cunila incana","Benth.",NA,"F. Sellow","361","1834",NA,NA,"Middle and South America","Brazil",NA,NA,"Brasilia meridionali.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100248415 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100248415",NA,NA,NA,"B100248415","type",NA,NA,NA,NA,NA,NA,NA
