"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","3001","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","psittacina","Mimosa psittacina","Barneby","holotype fragment","A. F. C. P. Saint-Hilaire","490d","1816","South America","Brazil","Minas Gerais","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=424353' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003001","NY00003001_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:10:11-03","ESALQ","ESA","114166","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","psittacina","Mimosa psittacina",NA,NA,"Kinoshita, L.S.",NA,"1998",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA114166","ESA114166","Savassi-Coutinho, A.P.","2010","10","08","Carrancas","-44.6425018310547","-21.4874992370605","21143","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:10:11-03","ESALQ","ESA","113846","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","psittacina","Mimosa psittacina",NA,NA,"Savassi-Coutinho, A.P.","1229.0","2007",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA113846","ESA113846","Savassi-Coutinho, A.P.","2010","12","19","Carrancas","-44.6425018310547","-21.4874992370605","21143","auto","09","25",NA,NA,NA,NA,NA,NA,NA
"4","2019-11-21 14:36:55-03","UFJF","CESJ","61497","PreservedSpecimen","Plantae","Angiosperma",NA,"Fabaceae","Mimosa","psittacina","Mimosa psittacina","Barneby",NA,"A.P.Savassi-Coutinho; C.E.B.Coutinho, CRodrigues","1229","2007","América do Sul","Brasil","Minas Gerais","Estrada Carrancas-São Vicente de Minas, Estradinha para estufas a 4 km de Carrancas, ao lado direito da pista. Lat.: 21º30'11,1S; Lon.: 44º36'1,4W; Alt.: 1099m.",NA,"Afloramento rochoso de quartzito logo após a drenagem. Arbusto, ca. 1-1,5m alt. Corola creme, ápice dos lobos ferrugíneos e filetes amarelos. Frutos imaturos pardos.","CESJ061497",NA,"A.P.Savassi-Coutinho","2010","12","19","Carrancas","-44.6425018310547","-21.4874992370605","21143","auto","09","25",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:31:02-03","UNICAMP","UEC","161482","S","Plantae","Magnoliopsida",NA,"Fabaceae","Mimosa","psittacina","Mimosa psittacina","Barneby",NA,"Coutinho, APS; Coutinho, CEB; Rodrigues, C","1229","2007",NA,"Brazil","Minas Gerais","Estrada Carrancas-São Vicente de Minas, Estradinha para estufas a 4 Km de Carrancas, no lado direito da pistal Afloramento rochoso de quartizito logo aós a drenagem.",NA,"Arbusto, cerca de 1,0-1,5 m de altura. Corola creme, ápice dos lobos ferrugíneos e filetes amarelos. Frutos imaturos pardos.","UEC024927","UEC024927","Coutinho, APS","2010","12","19","Carrancas","-44.605389","-21.503083",NA,NA,"09","25","-44.605389","-21.503083","1099","1099",NA,NA,NA
"6","2019-08-20 10:14:25-03","UNICAMP","UEC","102362","S","Plantae","Magnoliopsida",NA,"Fabaceae","Mimosa","psittacina","Mimosa psittacina","Barneby",NA,"Kinoshita, LS; Pansarin, ER; Santos, SL","98594","1998",NA,"Brazil","Minas Gerais","Pedreira do Guilherme, Afloramento no caminho para Serra de Bicas.",NA,"Arbusto, ca.1,5m, flores com estames amarelos.","UEC007187",NA,"Savassi-Coutinho, AP","2010","10","08","Carrancas","-44.6425018310547","-21.4874992370605","21143","auto","09","25",NA,NA,NA,NA,NA,NA,NA
"7","2015-09-04 02:57:41-03","MNHN","RECOLNAT_MNHN_P","P00684634","PreservedSpecimen",NA,NA,NA,"Fabaceae","Mimosa","psittacina","Mimosa psittacina","Barneby",NA,"Saint-Hilaire, A. de",NA,"1816",NA,"Brésil",NA,"Brésil: Province de Minas Geraes. Brasil, América do Sul","hb","Voyage d'Auguste de Saint-Hilaire, de 1816 à 1821 . . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00684634' target='other'> <mi>dwc_moreinfo</mi></a>","P00684634","P00684634_01",NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1 489",NA,NA
"8","2015-09-05 10:41:08-03","MNHN","RECOLNAT_MNHN_P","P00798293","PreservedSpecimen",NA,NA,NA,"Fabaceae","Mimosa","psittacina","Mimosa psittacina","Barneby","holotype","Saint-Hilaire, A. de",NA,"1816",NA,"Brésil",NA,"Province de Minas Geraes","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00798293' target='other'> <mi>dwc_moreinfo</mi></a>","P00798293","P00798293_01","Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voyage d'Auguste de Saint-Hilaire de 1816 à 1821/480",NA,NA
"9","2015-10-03 13:34:03-03","MNHN","RECOLNAT_MNHN_P","P00798294","PreservedSpecimen",NA,NA,NA,"Fabaceae","Mimosa","psittacina","Mimosa psittacina","Barneby","isotype","Saint-Hilaire, A. de",NA,"1816",NA,"Brésil",NA,"Province de Minas Geraes","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00798294' target='other'> <mi>dwc_moreinfo</mi></a>","P00798294","P00798294_01","Savassi-Coutinho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voyage d'Auguste de Saint-Hilaire de 1816 à 1821/480",NA,NA
"10","2015-09-04 02:57:41-03","MNHN","RECOLNAT_MNHN_P","P00684633","PreservedSpecimen",NA,NA,NA,"Fabaceae","Mimosa","psittacina","Mimosa psittacina","Barneby",NA,"Saint-Hilaire, A. de",NA,"1816",NA,"Brésil",NA,"Brésil: Sa do Papagayo, prope Ayuruoca et Baependi. Brasil, América do Sul","hb","Voyage d'Auguste de Saint-Hilaire, de 1816 à 1821 . . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00684633' target='other'> <mi>dwc_moreinfo</mi></a>","P00684633","P00684633_01",NA,NA,"1","1",NA,"-44.66667",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1 489",NA,NA
