"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","relatedCatalogItem","occurrenceRemarks","barcode","imagecode","fieldNumber","preparationType","yearIdentified","monthIdentified","dayIdentified","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude"
"1","2020-02-08 10:04:46-03","NBC","NL-BOTANY","U 0004139","PreservedSpecimen","Plantae","Magnoliopsidae","Myrtales","Melastomataceae","Mouriri","micradenia","Mouriri micradenia","Ducke","Morley T","isotype","Ducke A","1931","10","23","Southern America","Brazil","Amazonas","Sao Paulo de Olivença (Rio Solimoes, civit. Amazonas)","17834 A","silva loco alto<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200004139 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0004139","NL-U0004139",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-04-19 15:35:14-03","MNHN","RECOLNAT_MNHN_P","P01168034","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Mouriri","micradenia","Mouriri micradenia","Ducke","Ducke","isotype","Ducke, A.","1931","10","23",NA,"Brasil","Amazonas","Saõ Paulo de Olivença (Rio Solimões, civit. Amazonas)",NA,"Reçu le 3 novembre 1935 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01168034' target='other'> <mi>dwc_moreinfo</mi></a>","P01168034","P01168034_01","25520","hb",NA,NA,NA,NA,NA,NA,NA
"3","2014-09-23 10:58:43-03","G","G","G00353971","S","Plantae",NA,NA,"Melastomataceae","Mouriri","micradenia","Mouriri micradenia","Ducke","Morley, T.","ISOTYPUS of Mouriri micradenia Ducke","Ducke, A.","1931","10","23","AMERIQUE DU SUD","Brazil",NA,NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: No picture available on the institution's web site","G00353971",NA,NA,NA,"1968","01","01","-53.08972222","-10.77305556","-53.08972222","-10.77305556"
