"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","fieldNumber","coordinatePrecision","geoFlag","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1738496","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","penduliflora","Miconia penduliflora","Cogn.","R. Goldenberg","1536","2011","02","10","South America","Brazil","Rio de Janeiro","Santa Maria Madalena","Alto do Desengano","-41.91122","-21.89972","1754","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568160' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738496","NY01738496_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:44:36-03","EAO","IAN","93789","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Miconia","penduliflora","Miconia penduliflora","Cogn.","Glaziou, AFM","13841",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN093789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:04:06-03","NBC","NL-BOTANY","L.2550881","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","penduliflora","Miconia penduliflora","Cogn.","Glaziou AFM",NA,"1888","01","01","Southern America","Brazil",NA,NA,"Prov. rio de Janeiro.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2550881 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2550881","NL-L2550881","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:34:42-03","UNICAMP","UEC","177868","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","penduliflora","Miconia penduliflora","Cogn.","Goldenberg, R; Michelangeli, FA; Caddah, MK; Reginato, R; Machado, N","1536","2011","02","10",NA,"Brazil","Rio de Janeiro","Santa Maria Madalena","Alto do Desengano.","-55.125","-21.910556","1754",NA,"Arbusto 1,5. Frutos verde-cinéreos, costados. O cálice 8-mero é caduco no fruto. Vegetação arbustiva, no cume.","UEC099265","UEC099265",NA,"-55.125","-21.910556","1754",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:34:44-03","MBM","MBM","406614","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","penduliflora","Miconia penduliflora","Cogn.","Völtz, R.R.; Brotto, M.L.; Brotto, M.L.","1008","2015","04","03","Southern America","Brazil","Rio de Janeiro","Santa Maria Madalena","Parque Estadual do Desengano, Pico do Desengano","-41.911111","-21.899444","1730",NA,"Arvoreta 2 m alt.; frutos; fisionomia herbáceo-arbustiva de topo de morro.; Refúgio Vegetacional Altomontano.","MBM406614","MBM406614",NA,"-41.911111","-21.899444","1730","Goldenberg, R.","2016","10","06",NA,NA,NA,NA,NA
"6","2020-11-17 15:41:29-03","MNHN","RECOLNAT_MNHN_P","P02442519","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","penduliflora","Miconia penduliflora","Cogn.","Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Rio de Janeiro",NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02442519' target='other'> <mi>dwc_moreinfo</mi></a>","P02442519","P02442519_01",NA,NA,NA,NA,NA,NA,NA,NA,"isosyntype","588",NA,NA,NA
"7","2016-11-29 14:38:20-02","MNHN","RECOLNAT_MNHN_P","P02442514","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","penduliflora","Miconia penduliflora","Cogn.","Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Rio de Janeiro",NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02442514' target='other'> <mi>dwc_moreinfo</mi></a>","P02442514","P02442514_01",NA,NA,NA,NA,NA,NA,NA,NA,"isosyntype","2992",NA,NA,NA
"8","2016-11-29 14:38:21-02","MNHN","RECOLNAT_MNHN_P","P02442515","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","penduliflora","Miconia penduliflora","Cogn.","Glaziou, A.",NA,"1883","1","6",NA,"Brésil",NA,NA,"Prov. Rio de Janeiro : sommet du Morro do Retiro, près de Petropolis",NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02442515' target='other'> <mi>dwc_moreinfo</mi></a>","P02442515","P02442515_01",NA,NA,NA,NA,NA,NA,NA,NA,"isosyntype","13845",NA,NA,NA
"9","2015-08-27 12:20:45-03","MNHN","RECOLNAT_MNHN_P","P02442516","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","penduliflora","Miconia penduliflora","Cogn.","Glaziou, A.",NA,"1883","1","6",NA,"Brésil",NA,NA,"Prov. Rio de Janeiro : sommet du Morro do Retiro, près de Petropolis",NA,NA,NA,"hb","Reçu le 6 octobre 1882 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02442516' target='other'> <mi>dwc_moreinfo</mi></a>","P02442516","P02442516_01",NA,NA,NA,NA,"Cogniaux",NA,NA,NA,"isosyntype","13845",NA,NA,NA
"10","2016-11-29 14:38:24-02","MNHN","RECOLNAT_MNHN_P","P02442517","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","penduliflora","Miconia penduliflora","Cogn.","Glaziou, A.",NA,"1877","4","6",NA,"Brésil",NA,NA,"Rio de Janeiro : sommet du pic du Retiro",NA,NA,"1400","hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02442517' target='other'> <mi>dwc_moreinfo</mi></a>","P02442517","P02442517_01",NA,NA,NA,NA,NA,NA,NA,NA,"isosyntype","8677",NA,NA,NA
"11","2016-11-21 16:33:07-02","MNHN","RECOLNAT_MNHN_P","P02442518","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","penduliflora","Miconia penduliflora","Cogn.","Glaziou, A.",NA,"1877","4","6",NA,"Brésil",NA,NA,"Rio de Janeiro : sommet du pic du Retiro",NA,NA,"1400","hb","Reçu le 23 octobre 1877 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02442518' target='other'> <mi>dwc_moreinfo</mi></a>","P02442518","P02442518_01",NA,NA,NA,NA,"Cogniaux",NA,NA,NA,"isosyntype","8677",NA,NA,NA
"12","2015-09-04 20:59:04-03","MNHN","RECOLNAT_MNHN_P","P05319656","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","penduliflora","Miconia penduliflora","Cogn.","Glaziou",NA,"1888","11","5",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Alto Macahé.","-42.5311012268066","-22.2819004058838",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05319656' target='other'> <mi>dwc_moreinfo</mi></a>","P05319656","P05319656_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17559","33190","auto",NA
"13","2015-09-04 20:59:04-03","MNHN","RECOLNAT_MNHN_P","P05319658","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","penduliflora","Miconia penduliflora","Cogn.","Glaziou",NA,"1887","12","20",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Alto Macahé.","-42.5311012268066","-22.2819004058838",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05319658' target='other'> <mi>dwc_moreinfo</mi></a>","P05319658","P05319658_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33190","auto",NA
"14","2015-09-04 20:59:04-03","MNHN","RECOLNAT_MNHN_P","P05319659","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","penduliflora","Miconia penduliflora","Cogn.","Glaziou, A.",NA,"1888","1","29",NA,"Brasil","Rio de Janeiro","Teresópolis","Serra dos Órgãos.","-42.9655990600586","-22.4122009277344",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05319659' target='other'> <mi>dwc_moreinfo</mi></a>","P05319659","P05319659_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16902","38539","auto",NA
