"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","typeStatus","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:47-03","UNESC","CRI","1578","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","strigipes","Myrcia strigipes","Mart.","M. Sobral","R. Negrelle","132","1992","03","11","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: arbórea","CRI005232","CRI005232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","1577","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","strigipes","Myrcia strigipes","Mart.","Marcos Sobral","R. Negrelle; C. Londero",NA,"1993","03","03","Brasil","Santa Catarina","Itapoá",NA,"-48.670556","-26.071667","48º40'14''W","26º4'18''S",NA,NA,NA,"CRI005233","CRI005233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:47-03","UNESC","CRI","1515","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","strigipes","Myrcia strigipes","Mart.","M. Sobral","R. Negrelle; C. Londero","826","1993","03","03","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: arbórea","CRI005231","CRI005231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","615535","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","spathulata","Marlierea spathulata","Berg","H. de F. Leitão Filho","H. M. de Souza","s.n.","1967","10","23","Brazil","São Paulo","Caraguatatuba","Alto da Serra do Mar, onde é nativa","-45.4097","-23.6203",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=279857' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615535","NY00615535_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2017-05-17 10:21:00-03","NY","NYBG","02173104","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","strigipes","Marlierea strigipes",NA,NA,"J. M. A. Braga","5409","1999","08","30","Brazil","Rio de Janeiro","Duque de Caxias","Garrão, Sítio Riacho dos Beijas-flores, próx. Barragem de Saracuruna. Reserva da Petrobras","-43.233333","-22.516667",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2847954' target='other'> <mi>dwc_moreinfo</mi></a>","NY02173104","NY02173104_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","615550","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","tomentosa","Marlierea tomentosa","Cambess.","C. M. D. E. Legrand","R. M. Klein","135","1950","03","10","Brazil","Santa Catarina","Brusque","Mata S. Pedro, Brusque","-48.93331","-27.068261",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272214' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615550","NY00615550_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","615545","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","tomentosa","Marlierea tomentosa","Cambess.","C. M. D. E. Legrand","R. M. Klein","1355","1955","05","06","Brazil","Santa Catarina","Itajaí","Morro da Ressacada, Itajaí","-48.6617","-26.9081",NA,NA,"250","250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272215' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615545","NY00615545_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","615546","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","tomentosa","Marlierea tomentosa","Cambess.","M. Sobral","S. A. Mori","14129","1981","05","27","Brazil","Bahia","Itanagra","Road from Itanagra to Subaúma, 8 km W of Itanagra","-38.0147177","-12.1961899",NA,NA,"50","50","Collection from two different plants <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272201' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615546","NY00615546_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","615543","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","tomentosa","Marlierea tomentosa","Cambess.","S. M. Silva","S. F. Athayde","115","1994","10","14","Brazil","Paraná","Guaraqueçaba","Morro do Quitumbê","-48.33","-25.28",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272216' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615543","NY00615543_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","517239","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","tomentosa","Marlierea tomentosa","Cambess.","M. Sobral","A. M. Amorim","449","1991","11","20","Brazil","Bahia","Itacaré","Ramal a esquerda na estrada Ubaitaba/Itacaré, a 4 km do loteamento da Marambaia","-38.9967","-14.2778",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272205' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517239","NY00517239_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","615547","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","tomentosa","Marlierea tomentosa","Cambess.","M. L. Kawasaki","P. K. H. Dusén","8136","1909","05","12","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272209' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615547","NY00615547_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","615544","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","tomentosa","Marlierea tomentosa","Cambess.","G. M. Barroso","D. S. D. de Araújo","5614","1983","05","18","Brazil","Espírito Santo",NA,"Praia dos Neves, ± 3 km ao Norte da divisa com RJ",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272208' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615544","NY00615544_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","615549","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","tomentosa","Marlierea tomentosa","Cambess.","M. L. Kawasaki","J. M. Silva","319","1974","06","06","Brazil","São Paulo","Ubatuba",NA,"-45.0697","-23.4303",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272211' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615549","NY00615549_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","517240","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","tomentosa","Marlierea tomentosa","Cambess.","M. Sobral","A. M. Amorim","449","1991","11","20","Brazil","Bahia","Itacaré","Ramal a esquerda na estrada Ubaitaba/Itacaré, a 4 km do loteamento da Marambaia","-38.9967","-14.2778",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272206' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517240","NY00517240_01","Magnoliophyta","Myrtales","South America","separate fruit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","615548","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","tomentosa","Marlierea tomentosa","Cambess.","M. L. Kawasaki","P. K. H. Dusén","6628","1908","09","28","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272210' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615548","NY00615548_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
