"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01114014","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Cyanocephalus","apertiflorus","Cyanocephalus apertiflorus","(Epling) Harley & J.F.B.Pastore","C. B. Poliquesi","673","1999","11","24","South America","Brazil","Paraná","Ponta Grossa","Buraco do Padre","-50.1617","-25.095","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1256945' target='other'> <mi>dwc_moreinfo</mi></a>","NY01114014","NY01114014_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00499632","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","apertiflora","Hyptis apertiflora","Epling","G. G. Hatschbach","35478","1974","12","14","South America","Brazil","Paraná","Castro","Carambei","-50.0117","-24.7911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=228556' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499632","NY00499632_01","R. M. Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00499634","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","apertiflora","Hyptis apertiflora","Epling","G. G. Hatschbach","17113","1967","09","07","South America","Brazil","Paraná","Ponta Grossa","Piriquitos","-50.1617","-25.095","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=228555' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499634","NY00499634_01","S. F. Smith; L. B. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00499633","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","apertiflora","Hyptis apertiflora","Epling","G. G. Hatschbach","33457","1973","12","11","South America","Brazil","Paraná","Ponta Grossa","Olho D'Agua","-50.1617","-25.095","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=228559' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499633","NY00499633_01","G. G. Hatschbach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00499636","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","apertiflora","Hyptis apertiflora","Epling","P. K. H. Dusén","3820","1904","02","20","South America","Brazil","Paraná","Curitiba","Curityba","-49.2731","-25.4281","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=228558' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499636","NY00499636_01","C. C. Epling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00499635","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","apertiflora","Hyptis apertiflora","Epling","P. K. H. Dusén","10842","1910","11","29","South America","Brazil","Paraná","Ponta Grossa","Ponta Grossa","-50.077154","-25.140873","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=228557' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499635","NY00499635_01","C. C. Epling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:20:01-03","UFRJ","RFA","30069","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","apertiflora","Hyptis apertiflora","Epling","G.G. Hatschbach","2675","1951","11","10",NA,"Brasil","Paraná","Palmeira","Rio do Salto","-50.0064010620117","-25.4293994903564",NA,"Flor lilás do campo.","RFA42282",NA,"Carl Epling","1954","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:25:17-03","PUCPR","HUCP","16132","S","Plantae","Eudicotiledonea",NA,"Lamiaceae","Cyanocephalus","apertiflorus","Cyanocephalus apertiflorus","(Epling) Harley & J.F.B. Pastore.","Sakuragui, CM","3874","2003","11","04",NA,"Brasil","Paraná","Ponta Grossa","Recanto Botuquara","-50.1618995666504","-25.0949993133545",NA,NA,"HUCP00012237","HUCP00012237","Buchoski, M.G.","2018","46557","auto","08","27",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:17:57-03","UFBA","ALCB","032438","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Hyptis","apertiflora","Hyptis apertiflora","Epling","Hatschbach, G; Silva, JM","50671","1986","10","26","Southern America","Brasil","Paraná","Ponta Grossa","Rod. BR-376, Km 134.","-50.15","-25.083333",NA,"Xilopodifera, intenso cheiro desagradavel. Flor lilas.; Campo limpo, seco.",NA,NA,"Hatschbach, G","1987",NA,NA,NA,NA,"-50.15","-25.083333",NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:32:24-03","NBC","NL-BOTANY","L.2779122","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","apertiflora","Hyptis apertiflora","Epling","Hatschbach GG; Pereira E",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Est. Parana, Mun. Ponta Grossa, Piriquito. *.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2779122 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2779122","NL-L2779122",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"11","2020-02-08 09:32:24-03","NBC","NL-BOTANY","L.2779123","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","apertiflora","Hyptis apertiflora","Epling","Hatschbach GG",NA,"1967","09","07","Southern America","Brazil",NA,NA,"Est. Parana, Mun. Ponta Grossa, Piriquito.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2779123 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2779123","NL-L2779123",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"12","2020-02-08 09:32:24-03","NBC","NL-BOTANY","WAG.1714639","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","apertiflora","Hyptis apertiflora","Epling","Hatschbach GG",NA,"1974","12","14","Southern America","Brazil",NA,NA,"Carambei (mun. Castro) Paraná.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1714639 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1714639","NL-WAG1714639",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"13","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0015071","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","apertiflora","Hyptis apertiflora","Epling","G. Hatschbach; J. M. Silva","50671","1986","10","26",NA,"Brazil","Paraná",NA,"Rod. Br-376, km 134 (mun. Ponta Grossa) Parana","-50.15","-25.0833",NA,"Xilopodifera, Intenso cheiro desagradavel. Flor Iilas, Campo limpo, seco.; Hyptis apertiflora Epling",NA,NA,"G. Hatschbach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0059218","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","apertiflora","Hyptis apertiflora","Epling","J. Cordeiro; L. Martin","3661","2009","11","19",NA,"Brazil","Parana",NA,"Itaiacoca (Mun. Ponta Grossa).","-49.9167","-25.1333",NA,"Subarbusto, 1.30 m, flor lilás.",NA,NA,"J. Cordeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-21 14:37:42-03","UFJF","CESJ","64827","PreservedSpecimen","Plantae","Angiosperma",NA,"Lamiaceae","Hyptis","apertiflora","Hyptis apertiflora","Epling","J.M. Silva; C.B. Poliquesi; L.T. Maranho; R. Ristow","8230","2012","03","21","América do Sul","Brasil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha","-50.1618995666504","-25.0949993133545",NA,"Subarbusto 80cm, flor lilás. Campo recém queimado.","CESJ064827",NA,"J. Cordeiro; E. Barbosa","2012","46557","auto","04",NA,NA,NA,NA,NA,NA,NA,NA,NA
