"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","geoFlag","identifiedBy","yearIdentified","locality","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","02210916","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","sulcata","Rhipsalis sulcata","F.A.C.Weber","J. A. Shafer","s.n.","1917","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2345457' target='other'> <mi>dwc_moreinfo</mi></a>","NY02210916","NY02210916_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02210917","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","sulcata","Rhipsalis sulcata","F.A.C.Weber","J. A. Shafer","s.n.","1917","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2345458' target='other'> <mi>dwc_moreinfo</mi></a>","NY02210917","NY02210917_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-04-02 09:30:52-03","URICER","HPBR","9809","S","Plantae",NA,NA,"Cactaceae","Rhipsalis","sulcata","Rhipsalis sulcata","Weber","ZANIN,E.",NA,"2004",NA,"Brasil",NA,NA,"HPBR009809",NA,"04","10","RS","Erechim","-52.2738990783691","-27.6341991424561","46790","1","auto",NA,NA,NA,NA,NA
"4","2020-08-20 20:38:24-03","UFSC","FLOR","18012","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Rhipsalis","sulcata","Rhipsalis sulcata","F.A.C.Weber","Bresolin, A.","771","1973",NA,"Brasil",NA,"epífito, flor branca","FLOR0018012",NA,"06","27","Santa Catarina","Paulo Lopes","-48.6836013793945","-27.9617004394531","23385",NA,"auto","Bravo, H.; Scheinvar, L.","1984","Bom Retiro.","250","250"
"5","2020-08-20 20:38:24-03","UFSC","FLOR","18019","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Rhipsalis","sulcata","Rhipsalis sulcata","F.A.C.Weber","Klein, R.M.","9528","1971",NA,"Brasil",NA,"epífito, flor branca","FLOR0018019",NA,"06","23","Santa Catarina","Paulo Lopes","-48.6836013793945","-27.9617004394531","23385",NA,"auto","Bravo, H.; Scheinvar, L.","1984","Costa do Morro de Paulo Lopes.","300","300"
