"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","year","month","day","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","fieldNumber","individualCount","relatedCatalogItem","infraspecificEpithet"
"1","2020-09-23 10:41:03-03","E","E","85322","PreservedSpecimen","Plantae","Loasaceae","Aosa","parviflora","Aosa parviflora","isotype","Martius","1904","12","31","E. Tropical South America","BR","Brasilia","herbarium specimen of unspecif","BGBASE:94601","<a href=http://data.rbge.org.uk/herb/E00085322 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00085322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:03-03","E","E","85321","PreservedSpecimen","Plantae","Loasaceae","Aosa","parviflora","Aosa parviflora",NA,"Riedel",NA,NA,NA,"E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:94602","<a href=http://data.rbge.org.uk/herb/E00085321 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00085321","728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:04-03","E","E","105320","PreservedSpecimen","Plantae","Loasaceae","Loasa","parviflora","Loasa parviflora",NA,"Gottsberger, I.S. & Gottsberger, G.K.","1971","04","15","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:114917","<a href=http://data.rbge.org.uk/herb/E00105320 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00105320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01095437","PreservedSpecimen","Plantae","Loasaceae","Aosa","parviflora","Aosa parviflora",NA,"A. M. Amorim","2004","07","29","South America","Brazil","Serra da Pedra Lascada. 13,7 km de Barro Preto, na estrada que passa pela Faz. São Miguel em direção a serra","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1390946' target='other'> <mi>dwc_moreinfo</mi></a>","NY01095437","4225","Magnoliophyta","Cornales","(Schrad. ex DC.) Weigend","M. Weigend","Bahia","Barro Preto","-39.2028","-14.7703","600","900","NY01095437_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","617829","PreservedSpecimen","Plantae","Loasaceae","Aosa","parviflora","Aosa parviflora",NA,"A. M. Amorim","1998","05","10","South America","Brazil","Município de Santa Luzia/Una, entrada a 11.3 km a E da Sede do município Serra da Onça ca. 4.5 km da estrada","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=622423' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617829","2443","Magnoliophyta","Cornales","(Schrad. ex DC.) Weigend",NA,"Bahia","Santa Luzia","-39.2569077","-15.3417536","510","510","NY00617829_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","416455","PreservedSpecimen","Plantae","Loasaceae","Aosa","parviflora","Aosa parviflora",NA,"W. W. Thomas","1999","02","01","South America","Brazil","Serra do Teimoso, 7.5 km N then W of Jussari on road to Palmira, then 2 km S to Fazenda Teimoso, Reserva da Fazenda Teimoso, southern end","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=622421' target='other'> <mi>dwc_moreinfo</mi></a>","NY00416455","11913","Magnoliophyta","Cornales","(Schrad. ex DC.) Weigend","M. Weigend","Bahia","Jussari","-39.5233","-15.155","300","300","NY00416455_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","03066071","PreservedSpecimen","Plantae","Loasaceae","Aosa","parviflora","Aosa parviflora",NA,"M. S. Wängler","2015","06","28","South America","Brazil","Rio Grande- Pedra do Urubu.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3287859' target='other'> <mi>dwc_moreinfo</mi></a>","NY03066071","1672","Magnoliophyta","Cornales","(Schrad. ex DC.) Weigend",NA,"Rio de Janeiro","Santa Maria Madalena","-42.0686111","-21.9377777","315","315","NY03066071_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02796067","PreservedSpecimen","Plantae","Loasaceae","Aosa","parviflora","Aosa parviflora",NA,"J. G. Jardim","2001","09","15","South America","Brazil","Entrada 7.5 km da Rod. Jussarí/Palmira. Faz. Teimoso 1.7 km da entrada. Reserva Particular do Patrimonio Natural (RPPN) Serra do Teimoso. Sede da Reserva. Pasto, área úmida.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2474910' target='other'> <mi>dwc_moreinfo</mi></a>","NY02796067","3931","Magnoliophyta","Cornales","(Schrad. ex DC.) Weigend","M. Weigend","Bahia","Jussari","-39.5286","-15.1561","450","600","NY02796067_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","810634","PreservedSpecimen","Plantae","Loasaceae","Aosa","parviflora","Aosa parviflora",NA,"W. W. Thomas","2001","10","30","South America","Brazil","11.2 km W of BR 101 on road from Aurelino Leal towards Laje do Banco","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=206613' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810634","12695","Magnoliophyta","Cornales","(Schrad. ex DC.) Weigend","M. Weigend","Bahia","Aurelino Leal","-39.381867","-14.34533","175","200","NY00810634_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","298183","PreservedSpecimen","Plantae","Loasaceae","Aosa","parviflora","Aosa parviflora",NA,"W. W. Thomas","1998","02","10","South America","Brazil","Serra do Teimoso, 7.5 km N of Jussari on road to Palmira, then 2 km W to Fazenda Teimoso, then 45 min. walk W to Reserva da Fazenda Teimoso.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280501' target='other'> <mi>dwc_moreinfo</mi></a>","NY00298183","11820","Magnoliophyta","Cornales","(Schrad. ex DC.) Weigend","R. H. Acuña-Castillo","Bahia","Jussari","-39.58","-15.17","450","800","NY00298183_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
