"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","month","day","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","312426","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardner","isotype","G. Gardner","5839","1836","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=146511' target='other'> <mi>dwc_moreinfo</mi></a>","NY00312426","NY00312426_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:42:36-03","JBP","HPL","13502","S","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nellumbifolia","Utricularia nellumbifolia",NA,NA,"L.S Leoni","1543","1991",NA,"Brasil","Serra da Grama - Pedra do Pato em meio as águas que acumulam entre as folhas de Bromeliaceae. GFJP.",NA,NA,NA,NA,"L.S. Leoni","1991","05","01","05","01","MG","Carangola","-42.466667","-20.733333","42° 28' W","20° 44' S","1200","1200",NA,NA,NA,NA
"3","2020-11-30 11:23:46-03","UFES","VIES","40216","S","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardner",NA,"Silva, L.A.; Freitas, J.; Oliveira, W. & Luber, J.","659","2015",NA,"Brasil","Parque Nacional do Caparaó.",NA,NA,"VIES040216","VIES040216","F.M. Guedes","2020","09","23","04","28","Minas Gerais","Alto Caparaó","-41.8683013916016","-20.4333000183105",NA,NA,"1874","1874","21645","auto",NA,NA
"4","2019-11-01 15:28:22-03","PUC-RIO","FCAB","3525","PreservedSpecimen","Plantae",NA,"Angiospermae","Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardner",NA,"R. Ribeiro","360","1983",NA,"Brasil","Vale dos Frades, Fa. Pio Maior, Pico Palito de Fós",NA,"Encontrada no tanque de <u>Vriesia imperialis</u>&nf;Flores violotas; pouco frequente","003525",NA,"G. Martinelli","1983","07",NA,"07","24","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,"38539","auto",NA,NA
"5","2020-12-11 11:37:10-03","UFMG","BHCB","67776","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia",NA,NA,"Magalhães, GM","2733",NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minas Gerais","Santa Bárbara","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,"33136","auto",NA,NA
"6","2020-12-11 11:37:10-03","UFMG","BHCB","40371","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia",NA,NA,NA,"s.n.",NA,"Southern America","Brasil","Pedra Azul, Parque Estadual da Pedra Azul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"48150","auto",NA,NA
"7","2021-02-11 17:19:22-03","UFPR","UPCB","66020","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardner",NA,"Fraga, C.N.","2372","2009",NA,"Brasil","BLOQUEADO",NA,"Erva insetivora, crescendo no interior de Alcantarea. Flores lilás com manchas verticais branco-amareladas..",NA,NA,NA,NA,NA,NA,"01","21","Espírito Santo","Castelo",NA,NA,"9999","9999","1500","1700",NA,NA,NA,NA
"8","2020-07-10 09:47:04-03","MBML","MBML-HERBARIO","39155",NA,"Plantae",NA,NA,"Lentibulariaceae","Utricularia","aff. nelumbifolia","Utricularia aff. nelumbifolia","Gardn.",NA,"D.R. Couto; Couto, T.R.","547","2008",NA,"Brasil","Pedra dos Pontões",NA,"Erva, vivendo em sisterna de Alcantharea sp. Cálice vinho escuro; corola lilás com duas listas amarelas. Jardim dos Pontões.","MBML039155","MBML039155","A.P.Fontana",NA,NA,NA,"06","22","Espírito Santo","Mimoso do Sul","-41.3664016723633","-21.0641994476318",NA,NA,"800","800","29430","auto",NA,NA
"9","2020-07-10 09:47:04-03","MBML","MBML-HERBARIO","1143",NA,"Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardn.",NA,"H. Q. Boudet Fernandes; W. Boone","1917","1986",NA,"Brasil","Pedra da Onça",NA,"Erva, brácteas azuladas, perianto lilás, heliófila, crescendo entre folhas de bromeliáceas, rupestre.","MBML001143","MBML001143","L. Kollmann/04-02-2002",NA,NA,NA,"04","16","Espírito Santo","Santa Teresa","-40.814722","-19.897778","40W48'53","19S53'52",NA,NA,NA,NA,NA,NA
"10","2020-07-24 17:21:06-03","MBML","MBML-HERBARIO","12553",NA,"Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardn.",NA,"V. Demuner; et al","1079","2000",NA,"Brasil","Pedra da Onça",NA,"Dentro das folhas de Bromeliacea, flores sépalas verde roxeadas, pétalas lilás claro, com duas faixas amarelas.","MBML012553","MBML012553","L. Kollmann/04-02-2002",NA,NA,NA,"05","16","Espírito Santo","Santa Teresa","-40.814722","-19.897778","40W48'53","19S53'52",NA,NA,NA,NA,NA,NA
