"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","year","month","day","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","sex"
"1","2020-09-23 10:39:32-03","E","E","373732","PreservedSpecimen","Plantae","Gramineae","Andropogon","goyazensis","Andropogon goyazensis","syntype","Glaziou, Auguste Francois Marie","22571","E. Tropical South America","BR","Goyaz","herbarium specimen of unspecif","BGBASE:434680","Cabeceivas do Rio Gama, au Riacho Fundo.<a href=http://data.rbge.org.uk/herb/E00373732 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00373732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00837677","PreservedSpecimen","Plantae","Poaceae","Agenium","leptocladum","Agenium leptocladum",NA,"H. S. Irwin","15945","South America","Brazil","Mato Grosso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931117' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837677","Magnoliophyta","Poales","(Hack.) Clayton","1966","05","24","Ca. 60 km. N. of Xavantina. Serra do Roncador.","-52.15","-14.13","550","550","NY00837677_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00837676","PreservedSpecimen","Plantae","Poaceae","Agenium","leptocladum","Agenium leptocladum",NA,"H. S. Irwin","13520","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931112' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837676","Magnoliophyta","Poales","(Hack.) Clayton","1966","03","05","Serra dos Cristais, ca. 10 km W. of Cristalina","-47.69379","-16.75","1200","1200","NY00837676_01","Cristalina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-11-01 11:27:00-02","NY","NYBG","00837680","PreservedSpecimen","Plantae","Poaceae","Agenium","leptocladum","Agenium leptocladum",NA,"M. A. Chase","11452","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931131' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837680","Magnoliophyta","Poales",NA,"1930","03","20","Vicinity of Goyaz capital, Goyaz","-49.2539","-16.6786","1000","1000","NY00837680_01","Goiânia","G. Guala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 20:49:00-03","NY","NYBG","00837658","PreservedSpecimen","Plantae","Poaceae","Agenium","leptocladum","Agenium leptocladum",NA,"N. Lima","154a","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931147' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837658","Magnoliophyta","Poales",NA,"1968","04","10","Universidade de Brasília, Estaçao Experimental do Instituto Central de Biologia","-47.9294","-15.7797",NA,NA,"NY00837658_01","Brasília","G. Guala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 15:32:00-03","NY","NYBG","641078","PreservedSpecimen","Plantae","Poaceae","Agenium","leptocladum","Agenium leptocladum",NA,"J. R. Swallen","8396","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=583893' target='other'> <mi>dwc_moreinfo</mi></a>","NY00641078","Magnoliophyta","Poales",NA,"1946","02","02","Estaçao Experimental, Ponta Grossa",NA,NA,NA,NA,"NY00641078_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","604770","PreservedSpecimen","Plantae","Poaceae","Agenium","leptocladum","Agenium leptocladum",NA,"R. Reitz","6076","South America","Brazil","Santa Catarina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=583891' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604770","Magnoliophyta","Poales","(Hack.) Clayton","1958","01","09","Morro do Iquererim, Campo Alegre","-49.2656","-26.1925","1300","1300","NY00604770_01","Campo Alegre","G. Guala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00837654","PreservedSpecimen","Plantae","Poaceae","Agenium","leptocladum","Agenium leptocladum",NA,"W. R. Anderson","8279","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931124' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837654","Magnoliophyta","Poales","(Hack.) Clayton","1973","04","06","Rio Cristal, 44 km by road SE of Cristalina.","-47.33","-16.88","980","980","NY00837654_01","Cristalina","G. Guala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-11-01 11:43:00-02","NY","NYBG","604769","PreservedSpecimen","Plantae","Poaceae","Agenium","leptocladum","Agenium leptocladum",NA,"L. B. Smith","14800","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=583892' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604769","Magnoliophyta","Poales",NA,"1965","01","18","Fazenda Cajurú, source of Rio Cajurú","-49.32","-24.17","1000","1100","NY00604769_01","Jaguariaíva","G. Guala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-11-01 11:27:00-02","NY","NYBG","00837656","PreservedSpecimen","Plantae","Poaceae","Agenium","leptocladum","Agenium leptocladum",NA,"J. A. Ratter","949","South America","Brazil","Mato Grosso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931137' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837656","Magnoliophyta","Poales",NA,"1968","04","10","8 km NE of base camp","-51.87","-12.9",NA,NA,"NY00837656_01",NA,"G. Guala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
