"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","910139","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K.Schum.","Y. E. J. Mexia","4645","1930","04","26","South America","Brazil","Minas Gerais","Viçosa","Viçosa. Road E. from Sha-Sha Valley. About 5 kilo. from Agricultural College.","-42.8817","-20.7542","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980877' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910139","NY00910139_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:54:37-03","EAO","IAN","107550","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K.Schum.","Magalhães, MG","5156","1951","06",NA,"Southern America","Brasil","Minas Gerais",NA,"26Km S de Matijó (zona da mata).",NA,NA,NA,NA,NA,"Herba 0,50 - 1,00m, frequente.&nf;Inflorescência.","IAN107550",NA,"Maas, PJM","1974",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:54:37-03","EAO","IAN","107550","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K.Schum.","Magalhães, MG","5156","1951","06",NA,"Southern America","Brasil","Minas Gerais",NA,"26Km S de Matijó (zona da mata).",NA,NA,NA,NA,NA,"Herba 0,50 - 1,00m, frequente.&nf;Inflorescência.","IAN107550",NA,"Maas, PJM","1974",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:54:37-03","EAO","IAN","91665","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K.Schum.","Pires, JM; Black, GA","6260","1956","12","14","Southern America","Brasil","Pará",NA,"Serra do Cachimbo.",NA,NA,NA,NA,NA,"Flores Vermelhas, pétalas amarelas.","IAN091665",NA,"Maas, H","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:54:37-03","EAO","IAN","82160","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K.Schum.","Mexia, Y","4645","1930","04","26","Southern America","Brasil","Minas Gerais","Viçosa","Road east from Cha-Cha Valley, about 5Km from Agricultural College; cut-over woods; in dense shade.","-42.8819007873535","-20.7539005279541","700","700",NA,"Perennial herb 2,5m high. Monocot with scarlet fruit. Foliage has pleasant odor of ripe apples. In colonies.","IAN082160",NA,"Maas, PJM","1974","13937","auto",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:54:37-03","EAO","IAN","82160","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K.Schum.","Mexia, Y","4645","1930","04","26","Southern America","Brasil","Minas Gerais","Viçosa","Road east from Cha-Cha Valley, about 5Km from Agricultural College; cut-over woods; in dense shade.","-42.8819007873535","-20.7539005279541","700","700",NA,"Perennial herb 2,5m high. Monocot with scarlet fruit. Foliage has pleasant odor of ripe apples. In colonies.","IAN082160",NA,"Maas, PJM","1974","13937","auto",NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:29:21-03","UFBA","ALCB","113578","PreservedSpecimen","Plantae","Monocotyledon",NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K.Schum.","Verger, P","s/n","1967",NA,NA,"Southern America","Brasil","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,"ALCB012681","ALCB012681",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:39:02-03","NBC","NL-BOTANY","U.1771499","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","brasilliensis","Renealmia brasilliensis","K.Schum.","Mexia YEJ",NA,"1930","04","26","Southern America","Brazil",NA,NA,"State of Minas Garaes, Vicosa, road east from Cha-Cha Valley, about 5 km from Agricultural College, cut-over woods, in dense shade.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1771499 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1771499","NL-U1771499",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:33:59-03","MN","R","50978","PreservedSpecimen","Plantae",NA,NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K. Schum.","Armond, A.F.N.","124",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Carmo","margem do Paquequer","-42.6086006164551","-21.9335994720459",NA,NA,NA,NA,"R010065447,R010065448","R010065447 R010065448","Maas, P.J.M.","1974","21959","auto",NA,"11","29",NA,NA,NA,NA
"10","2020-12-20 21:19:44-03","UFV","VIC","2046","PreservedSpecimen","Plantae",NA,NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K. Schum","Kuhlmann","s.n.","1935","03","26",NA,"Brasil","Minas Gerais","Viçosa","UFV","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"VIC002046","VIC002046","Alvim, P.T.","1942","13937","auto",NA,"03",NA,NA,NA,NA,NA
