"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","continentOcean","minimumElevationInMeters","individualCount","typeStatus","verbatimLongitude","verbatimLatitude"
"1","2021-02-11 17:20:58-03","UFPR","UPCB","93724","PreservedSpecimen","Plantae","Orchidaceae","Myoxanthus","seidelii","Myoxanthus seidelii","(Pabst) Luer","M. Bolson; D.C. Imig","2017","01","13","Bolson, M. | Imig, D.C.","630","2017","01","13","Brasil","Espírito Santo","Alfredo Chaves","Estrada de São Bento de Urania.","-40.749698638916","-20.6350002288818","32447","Floresta Ombrófila Densa. Amostra de DNA.. Erva epífita. Flores purpúreas.","UPCB0041824","UPCB0041824","auto",NA,NA,NA,NA,NA,NA
"2","2019-04-06 04:34:00-03","MO","MOBOT","100537499","PreservedSpecimen","Plantae","Orchidaceae","Myoxanthus","seidelii","Myoxanthus seidelii","(Pabst) Luer",NA,NA,NA,NA,"Carl A. Luer|Roberto Kautsky|A. L. V. Toscano","Luer 18059","1996","9","27","Brazil","Espírito Santo","Marechal Floriano","Sâo Bento de Vrânia.","-40.6831016540527","-20.4127998352051","23038",NA,NA,NA,"auto","South America","1000.00000000","1",NA,NA,NA
"3","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","25636",NA,"Plantae","Orchidaceae","Myoxanthus","conceicionensis","Myoxanthus conceicionensis","M.Frey & N.Sanson",NA,NA,NA,NA,"N. Sanson",NA,"2003","06","10","Brasil","Espírito Santo","Conceição do Castelo","Cachoeira da Fumaça","-41.2439002990723","-20.3682994842529","17824","Folhas verdes e flores de cor lilás e labelo roxo. Ocorre em mata densa de altitude aproximada de 620metros, epífita, em tronco de árvore e três metros do solo.","MBML025636","MBML025636","auto",NA,NA,NA,"HOLOTIPO",NA,NA
"4","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","3654",NA,"Plantae","Orchidaceae","Myoxanthus","seidelii","Myoxanthus seidelii","(Pabst) Luer","L. Kollmann/29-03-2004",NA,NA,NA,"H. Q. Boudet Fernandes; W.Boone",NA,"1986","10","16","Brasil","Espírito Santo","Pedro Canário","Fazenda São Joaquim","-39.803889","-18.263889",NA,"Flores roxas pontilhadas de vinácea, pêlos ross no ovário. Cultivo no MBML.(coleta herborizada em 13/08/2000).","MBML003654","MBML003654",NA,NA,NA,NA,NA,"39W48'14","18S15'50"
"5","2019-11-21 10:13:34-03","IBt","SP","491485","S","Plantae","Orchidaceae","Myoxanthus","seidelii","Myoxanthus seidelii","(Pabst) Luer","Rodrigues, G","2017","12","28","Silva, EF","s.n.",NA,NA,NA,"Brasil","Bahia",NA,"Planta em cultivo na coleção viva do Orquidário sob nº 13246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
