"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","day","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","66854","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Myristica","gracilis","Myristica gracilis","A.DC.","Unspecified Determiner","isotype","R. Spruce","1682","1851","10","South America","Brazil","Amazonas","Prope Barra [Manaus], Prov. Rio Negro.","-59.9953079","-3.0673242","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=140649' target='other'> <mi>dwc_moreinfo</mi></a>","NY00066854","NY00066854_01 NY00066854_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1595350","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.",NA,NA,"W. A. Archer","7910","1942","12","South America","Brazil","Pará","South forest of the I.A.N., Belém","-48.4447503","-1.4380977","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944634' target='other'> <mi>dwc_moreinfo</mi></a>","NY01595350","NY01595350_01","02","Belém",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1595452","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.",NA,NA,"B. A. Krukoff","4663","1933","06","South America","Brazil","Amazonas","Near mouth of Rio Embira (tributary of Rio Tarauaca)","-70.25","-7.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=972425' target='other'> <mi>dwc_moreinfo</mi></a>","NY01595452","NY01595452_01","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1595378","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.",NA,NA,"C. A. Cid Ferreira","3491","1982","11","South America","Brazil","Amazonas","Rio Japura, afluente do rio Solimoes, ao longo do rio Japura","-65.67","-1.833333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953922' target='other'> <mi>dwc_moreinfo</mi></a>","NY01595378","NY01595378_01","03","Maraã",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1595382","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.",NA,NA,"B. A. Krukoff","1000","1931","08","South America","Brazil","Pará","Para. Botanical Garden of the Goeldi Museum.","-48.4765479","-1.4534887","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954294' target='other'> <mi>dwc_moreinfo</mi></a>","NY01595382","NY01595382_01","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00894128","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.","W. A. Rodrigues",NA,"J. M. Pires","17071","1980","09","South America","Brazil","Mato Grosso","Poxoreu, Parque Lagoa",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980946' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894128","NY00894128_01","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1595363","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.",NA,NA,"G. T. Prance","16300","1971","11","South America","Brazil","Amazonas","Rio Purus between Arumã and Santa Luzia do Sacado.","-62.2553587","-4.7403974","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950366' target='other'> <mi>dwc_moreinfo</mi></a>","NY01595363","NY01595363_01","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1595397","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.",NA,NA,"W. C. Steward","165","1977","12","South America","Brazil","Roraima","Estrada Boa Vista-Venezuela, Rio Surumu.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971649' target='other'> <mi>dwc_moreinfo</mi></a>","NY01595397","NY01595397_01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","867139","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.","W. A. Rodrigues",NA,"D. C. Daly","7910","1993","10","South America","Brazil","Acre","Basin of Rio Purus, Rio Iaco, right bank, Nova Olinda, between Igarapé Santo Antõnio and Ig. Boa Esperança","-69.22","-10.12","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=154900' target='other'> <mi>dwc_moreinfo</mi></a>","NY00867139","NY00867139_01","25","Sena Madureira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1595342","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.",NA,NA,"S. A. Mori","16513","1983","10","South America","Brazil","Pará","Ilha do Pará, in Canal Norte of the Amazon River, S of Macapá.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=942068' target='other'> <mi>dwc_moreinfo</mi></a>","NY01595342","NY01595342_01","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1595399","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.",NA,NA,"M. Kuhlmann","246","1959","09","South America","Brazil","Paraná","Bel-Brasília, Km 97",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971651' target='other'> <mi>dwc_moreinfo</mi></a>","NY01595399","NY01595399_01","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1595418","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.",NA,NA,"B. V. Rabelo","444","1980","05","South America","Brazil","Amapá","Bom Nome, Igarapé Mangueiro, Cidade de Amapá.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971677' target='other'> <mi>dwc_moreinfo</mi></a>","NY01595418","NY01595418_01","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00894122","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.",NA,NA,"M. F. F. da Silva","1099","1983","04","South America","Brazil","Maranhão","BR 010, Transamazônica à 35 km da cidade de Carolina, lugarejo Pedra Caida.","-47.4692","-7.3331","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980910' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894122","NY00894122_01","15","Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1595417","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.",NA,NA,"I. L. do Amaral","1613","1984","02","South America","Brazil","Amazonas","Platô da Serra Aracá, parte SE da Serra Norte. Mata de galeria e campo rupestre ao longo do rio Grande.","-63.3745909","0.9016571","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971675' target='other'> <mi>dwc_moreinfo</mi></a>","NY01595417","NY01595417_01","16","Barcelos","1150","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","476486","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.","W. A. Rodrigues",NA,"D. C. Daly","9041","1996","05","South America","Brazil","Acre","Parque Nacional Serra do Divisor, Rio Moa.","-73","-7.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=154904' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476486","NY00476486_01","12","Mâncio Lima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1595392","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.",NA,NA,"G. L. Sobel","4559","1984","10","South America","Brazil","Pará","Ilha do Marajó, Sitio Campina on river Pracuuba-mirím, ca. 1 hour by boat upstream from São Sebastião de Boa Vista","-49.6395457","-1.6123151","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956659' target='other'> <mi>dwc_moreinfo</mi></a>","NY01595392","NY01595392_01","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1595376","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.",NA,NA,"R. Spruce","456","1849","08","South America","Brazil","Pará","Caripi, juxta Para.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953858' target='other'> <mi>dwc_moreinfo</mi></a>","NY01595376","NY01595376_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00894127","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.","A. C. Smith",NA,"R. de Lemos Fróes","1","1933","06","South America","Brazil","Maranhão","Near Gurupí River.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980929' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894127","NY00894127_01","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1595353","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.",NA,NA,"M. Silva","2285","1969","08","South America","Brazil","Pará","Km 35 da estrada do Palhão, Acampamento do Igarapé Curupira.","-54.7083","-2.44306","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=947750' target='other'> <mi>dwc_moreinfo</mi></a>","NY01595353","NY01595353_01","17","Santarém",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1595343","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.",NA,NA,"C. C. Berg","BG768","1977","10","South America","Brazil","Pará","Near EMBRAPA station, at km 23 on road Altamira-Itaituba","-52.3978758","-3.271835","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=942322' target='other'> <mi>dwc_moreinfo</mi></a>","NY01595343","NY01595343_01","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1595387","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.",NA,NA,"G. L. Sobel","4820","1984","10","South America","Brazil","Pará","Rio Mocões, ca. 2 km upstream from Anajás in center of Marajó Island","-49.9248254","-0.9697278","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955788' target='other'> <mi>dwc_moreinfo</mi></a>","NY01595387","NY01595387_01","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","1595366","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.",NA,NA,"G. A. Black","49-8437","1949","10","South America","Brazil","Amapá","Beira do Rio Oiapoque.","-52.349596","3.1316459","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951675' target='other'> <mi>dwc_moreinfo</mi></a>","NY01595366","NY01595366_01","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01528287","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.","N. Castaño Arboleda",NA,"M. A. Baker","6727","1986","03","South America","Ecuador","Morona-Santiago","10k al oeste de Rio Zamora y 2k al sur del Rio Bomboiza, alrededores de la Mision Salesiano","-78.53","-3.45","sheet","Programa Nacional Forestal - MAG. Herbarios QAME-QCNE-MO-NY <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1159270' target='other'> <mi>dwc_moreinfo</mi></a>","NY01528287",NA,"13",NA,"800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","1595414","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.",NA,NA,"K. Kubitzki","82-22","1982","03","South America","Brazil","Pará","Estr. Correa Pinto.","-55.5181","-1.9175","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971672' target='other'> <mi>dwc_moreinfo</mi></a>","NY01595414","NY01595414_01","16","Óbidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1595357","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.",NA,NA,"M. de N. do C. Bastos","118","1978","12","South America","Brazil","Pará","casa de campo do Sr. Natan, margem do igarapé Pau Cheiroso.","-47.619411","-1.120763","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950307' target='other'> <mi>dwc_moreinfo</mi></a>","NY01595357","NY01595357_01","11","Igarapé-açu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","1595389","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.",NA,NA,"A. da Silva","17","1944","01","South America","Brazil","Pará","Belem: on lands of Instituto Agronomico do Norte, 1 K. n. of Administration Building. At Utinga.","-48.448352","-1.4277294","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956005' target='other'> <mi>dwc_moreinfo</mi></a>","NY01595389","NY01595389_01","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00894126","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.","A. C. Smith",NA,"R. de Lemos Fróes","11891","1940",NA,"South America","Brazil","Maranhão","Island of Sao Luiz","-44.201115","-2.577323","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980925' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894126","NY00894126_01",NA,"São Luís",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","02595519","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","surinamensis","Virola surinamensis","(Rol. ex Rottb.) Warb.","B. M. Torke",NA,"T. L. P. Couvreur","162","2009","10","South America","Bolivia","La Paz","Ixiamas","-68.06885","-13.14111","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1306087' target='other'> <mi>dwc_moreinfo</mi></a>","NY02595519","NY02595519_01","18",NA,"193","193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
